Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.5128,0.6,0.5926,0.6,0.5263,0.6,0.5926,0.6,0.619,0.7541,0.6133,0.7213
0.4211,0.5952,0.5952,0.5952,0.4878,0.5952,0.5814,0.5952,0.6531,0.6441,0.6944,0.6562
0.4865,0.6329,0.6329,0.6329,0.5128,0.6329,0.6329,0.6329,0.7234,0.7636,0.6769,0.8
0.6818,0.6216,0.6053,0.6216,0.6512,0.6216,0.6579,0.6216,0.7083,0.7213,0.6667,0.6667
0.5882,0.5854,0.5926,0.5926,0.5294,0.5926,0.5926,0.5926,0.7143,0.6316,0.5833,0.6667
0.5946,0.6154,0.6076,0.6154,0.6667,0.6154,0.6154,0.6154,0.7727,0.697,0.6389,0.7541
0.6667,0.5783,0.5581,0.5783,0.6667,0.5783,0.5647,0.5783,0.7442,0.7667,0.5783,0.697
0.6111,0.7273,0.7273,0.7273,0.5946,0.7273,0.7273,0.7273,0.65,0.7925,0.6875,0.7778
0.5556,0.6316,0.6154,0.6316,0.6111,0.6316,0.6154,0.6316,0.5294,0.6667,0.6061,0.6667
0.5789,0.6154,0.6053,0.6076,0.6341,0.6234,0.6053,0.6076,0.6818,0.6563,0.6286,0.678
0.4242,0.6234,0.6154,0.6234,0.5,0.6234,0.6154,0.6234,0.5,0.6567,0.6471,0.7541
0.5714,0.6757,0.6579,0.6579,0.6842,0.6579,0.6579,0.6579,0.6667,0.6562,0.6575,0.6792
0.4615,0.6098,0.6098,0.6098,0.3784,0.6098,0.6098,0.6098,0.5366,0.6774,0.6494,0.7797
0.5263,0.641,0.6329,0.641,0.6667,0.641,0.641,0.641,0.7556,0.7213,0.64,0.7213
0.5714,0.6076,0.6,0.6076,0.6486,0.6076,0.6076,0.6076,0.6111,0.7667,0.6389,0.7241
0.6667,0.6857,0.6667,0.6769,0.7,0.6857,0.6857,0.6769,0.8333,0.7458,0.7059,0.7458
0.5854,0.5634,0.6076,0.5753,0.5854,0.5753,0.5753,0.5753,0.5854,0.5313,0.5455,0.5902
0.5641,0.5926,0.5783,0.5926,0.5641,0.5926,0.5926,0.5926,0.6512,0.7018,0.5926,0.7077
0.6154,0.6316,0.6316,0.6316,0.7143,0.6234,0.6316,0.6316,0.6341,0.7241,0.6462,0.7451
