Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.3659,0.5547,0.6,0.5735,0.3038,0.5507,0.5588,0.563,0.4318,0.5736,0.5695,0.5693
0.375,0.4861,0.4895,0.4762,0.2466,0.4895,0.5068,0.4795,0.3958,0.5478,0.5217,0.5442
0.4235,0.5306,0.56,0.5248,0.4096,0.5211,0.5417,0.5417,0.4828,0.5096,0.4966,0.5772
0.35,0.517,0.5581,0.5758,0.3158,0.5493,0.5564,0.5714,0.3953,0.5638,0.5692,0.5735
0.1795,0.5075,0.563,0.5926,0.1818,0.5672,0.5821,0.5821,0.2651,0.5235,0.506,0.5079
0.4,0.5778,0.5342,0.5778,0.3158,0.5714,0.5606,0.597,0.4773,0.5733,0.5638,0.5693
0.3,0.5161,0.5065,0.5395,0.2785,0.5135,0.5101,0.52,0.427,0.5957,0.5578,0.5316
0.4,0.5468,0.5522,0.5588,0.4235,0.5735,0.5672,0.5606,0.439,0.5571,0.5753,0.5714
0.3529,0.5294,0.5503,0.5828,0.3117,0.5986,0.5753,0.5946,0.382,0.5532,0.6027,0.566
0.3488,0.5797,0.5816,0.5882,0.3415,0.6087,0.597,0.5755,0.5149,0.6029,0.563,0.5946
0.2933,0.5669,0.5571,0.5693,0.2466,0.5441,0.5507,0.5571,0.3571,0.5693,0.5987,0.6275
0.2532,0.4925,0.4928,0.4776,0.2785,0.4627,0.4776,0.4776,0.3556,0.5043,0.56,0.5079
0.3765,0.5612,0.597,0.5612,0.321,0.5571,0.5693,0.5532,0.4494,0.5528,0.5469,0.5556
0.32,0.5366,0.5224,0.5397,0.25,0.5556,0.5556,0.5556,0.375,0.5333,0.5254,0.5556
0.3659,0.5286,0.5255,0.5185,0.3457,0.5075,0.5109,0.5333,0.4235,0.4961,0.4476,0.4967
0.4494,0.5772,0.5517,0.6069,0.3457,0.5634,0.5972,0.6027,0.4946,0.6391,0.6125,0.6316
0.3077,0.5109,0.5417,0.5753,0.3291,0.5594,0.5655,0.5655,0.4186,0.5638,0.5963,0.5753
0.3765,0.5139,0.5036,0.5429,0.3797,0.5248,0.5072,0.5248,0.4808,0.5352,0.5694,0.6027
0.3377,0.5468,0.5414,0.5674,0.3377,0.5775,0.5674,0.5811,0.4286,0.543,0.4638,0.4789
0.3294,0.5735,0.5839,0.6133,0.3294,0.6122,0.6164,0.6259,0.4848,0.604,0.5926,0.5935
0.2162,0.5775,0.5315,0.563,0.24,0.5547,0.5522,0.563,0.2133,0.5806,0.5405,0.5714
0.3614,0.5811,0.5547,0.5874,0.3038,0.6069,0.5775,0.5874,0.4494,0.5694,0.5526,0.5694
0.375,0.5479,0.549,0.5714,0.3544,0.5621,0.5638,0.5563,0.4545,0.5714,0.5697,0.5217
0.427,0.5811,0.5915,0.6014,0.4773,0.5874,0.5915,0.5833,0.5,0.5496,0.5248,0.539
0.381,0.5373,0.5468,0.5333,0.3,0.5481,0.5344,0.5401,0.4494,0.597,0.4921,0.5
0.4286,0.5816,0.5385,0.5147,0.3951,0.5625,0.5606,0.5294,0.4773,0.6107,0.5612,0.5946
0.1972,0.5839,0.5874,0.5714,0.2466,0.5735,0.5778,0.5672,0.4783,0.5733,0.5588,0.5985
0.3659,0.5865,0.5985,0.6111,0.3659,0.5942,0.6187,0.6286,0.4118,0.6144,0.6197,0.5986
0.2651,0.4265,0.403,0.406,0.2857,0.4328,0.3969,0.3939,0.3294,0.4714,0.3876,0.5
0.3797,0.5954,0.597,0.6338,0.3951,0.6043,0.5954,0.6043,0.4318,0.5857,0.5873,0.6087
0.3291,0.5594,0.5714,0.5839,0.3291,0.5735,0.5481,0.5693,0.4318,0.5694,0.52,0.5224
0.24,0.5538,0.5564,0.5469,0.2162,0.5246,0.5323,0.5556,0.2821,0.5667,0.5507,0.4957
0.3544,0.5882,0.6047,0.597,0.4,0.6202,0.5926,0.6,0.4146,0.5634,0.597,0.5821
0.4524,0.5641,0.5263,0.5455,0.4198,0.5526,0.543,0.5548,0.5474,0.585,0.5906,0.589
0.382,0.5429,0.5417,0.5479,0.3596,0.5306,0.5306,0.5379,0.4444,0.5248,0.5385,0.5468
0.2821,0.5906,0.5753,0.5972,0.2597,0.5634,0.5634,0.5775,0.3095,0.576,0.5874,0.5468
0.2597,0.4769,0.5075,0.5152,0.2632,0.5185,0.4962,0.4885,0.275,0.493,0.5306,0.4783
0.3797,0.5827,0.5714,0.5344,0.3846,0.6,0.5385,0.5606,0.4368,0.5634,0.563,0.6269
0.4,0.6364,0.6282,0.6405,0.3855,0.6225,0.6164,0.6133,0.5347,0.6228,0.6234,0.6447
0.4091,0.5655,0.5594,0.5,0.3908,0.5211,0.517,0.5106,0.413,0.5816,0.5844,0.5379
0.2857,0.6222,0.6015,0.5891,0.3704,0.6074,0.5909,0.6015,0.3704,0.5891,0.5522,0.5857
0.2133,0.5248,0.5532,0.5811,0.2133,0.5315,0.5455,0.5503,0.2439,0.5857,0.4793,0.507
0.4524,0.5755,0.5481,0.5294,0.4634,0.4962,0.5373,0.5441,0.4632,0.4895,0.5405,0.5442
0.4138,0.5899,0.5695,0.5755,0.4091,0.6131,0.5942,0.5797,0.5098,0.6202,0.5865,0.5652
0.3,0.5395,0.5694,0.5811,0.3571,0.5793,0.5676,0.5753,0.4,0.5612,0.5769,0.5816
0.275,0.5469,0.5581,0.5735,0.2785,0.5468,0.5588,0.5735,0.3636,0.5303,0.559,0.5548
0.3951,0.5103,0.5278,0.5315,0.3333,0.5103,0.5175,0.5241,0.4,0.5298,0.5616,0.5616
0.3659,0.5857,0.5789,0.5957,0.2857,0.6029,0.6143,0.5942,0.4681,0.5733,0.5652,0.5865
0.4524,0.5574,0.6316,0.597,0.4337,0.5736,0.5846,0.6074,0.4946,0.6,0.6143,0.6222
0.2368,0.5072,0.5248,0.5205,0.2133,0.4965,0.5493,0.5315,0.2927,0.585,0.5375,0.5352
0.3659,0.5874,0.5931,0.589,0.3421,0.5793,0.585,0.5811,0.5417,0.6122,0.5734,0.5693
0.3077,0.527,0.5638,0.5417,0.2564,0.5442,0.5455,0.5342,0.4091,0.5443,0.5375,0.4768
0.381,0.5733,0.5571,0.5694,0.3659,0.5714,0.5616,0.5674,0.5536,0.5658,0.5455,0.5286
0.3704,0.6259,0.5772,0.6154,0.359,0.6111,0.6069,0.6345,0.4842,0.589,0.6211,0.6358
0.4318,0.5143,0.5479,0.5517,0.4138,0.5379,0.5379,0.5417,0.6126,0.5655,0.5571,0.5882
0.4146,0.5532,0.5571,0.5816,0.35,0.5714,0.5652,0.5755,0.4286,0.5306,0.5797,0.5594
0.2564,0.4848,0.4962,0.4662,0.3,0.4697,0.4697,0.4812,0.4842,0.5649,0.5677,0.4885
0.2716,0.5946,0.5957,0.6207,0.2716,0.6164,0.6069,0.6099,0.3864,0.5109,0.5612,0.5547
0.2597,0.4769,0.5082,0.4921,0.2597,0.4628,0.4878,0.5203,0.321,0.5161,0.5,0.5303
