Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.6774,0.7183,0.7183,0.7361,0.672,0.7324,0.7297,0.7361,0.6829,0.7083,0.726,0.726
0.6897,0.7244,0.704,0.7692,0.6724,0.7634,0.7244,0.7692,0.6549,0.7576,0.7727,0.7597
0.5455,0.6179,0.5565,0.6116,0.5455,0.623,0.547,0.6066,0.5455,0.5763,0.6,0.5882
0.6992,0.75,0.7445,0.7681,0.7302,0.7801,0.777,0.7681,0.6992,0.7626,0.7714,0.7737
0.7231,0.7945,0.7832,0.7887,0.7187,0.7801,0.7887,0.7887,0.777,0.7857,0.7887,0.7943
0.6984,0.7556,0.7463,0.7556,0.6984,0.7556,0.75,0.7591,0.6875,0.7586,0.7218,0.7273
0.7218,0.7564,0.7582,0.7785,0.7273,0.7682,0.7582,0.7682,0.7176,0.7771,0.7582,0.7568
0.6949,0.7206,0.7259,0.7519,0.7167,0.7463,0.7259,0.7463,0.7669,0.7612,0.7794,0.7704
0.7097,0.7826,0.7704,0.7737,0.72,0.791,0.7612,0.7794,0.7097,0.7826,0.7536,0.7826
0.656,0.726,0.7397,0.7194,0.6667,0.7376,0.7143,0.7246,0.6719,0.75,0.7391,0.7606
0.6441,0.7442,0.7385,0.7576,0.6555,0.7538,0.7231,0.7634,0.661,0.791,0.7463,0.7313
0.5536,0.7273,0.7313,0.7176,0.5664,0.7231,0.7077,0.7231,0.6034,0.7606,0.7429,0.7391
0.7597,0.7746,0.7639,0.7692,0.7727,0.7746,0.7639,0.7639,0.7273,0.8056,0.7746,0.7692
0.7187,0.7591,0.7445,0.7626,0.7087,0.7626,0.7536,0.7626,0.7424,0.7534,0.7626,0.7518
0.5714,0.6763,0.6901,0.6519,0.5841,0.6714,0.6165,0.6667,0.5812,0.6512,0.6866,0.6565
0.7107,0.7832,0.7746,0.7801,0.7,0.7681,0.7714,0.7714,0.7132,0.7308,0.7246,0.7164
0.6491,0.7143,0.6667,0.7344,0.6552,0.7344,0.6777,0.7344,0.6724,0.7121,0.7059,0.7424
0.6984,0.75,0.7407,0.7445,0.7087,0.7353,0.7407,0.7445,0.6822,0.75,0.7407,0.7299
0.7941,0.8258,0.8312,0.8258,0.8058,0.8258,0.8312,0.8182,0.8235,0.8,0.7808,0.8108
0.6393,0.6963,0.6667,0.6917,0.6452,0.6866,0.6767,0.697,0.6774,0.7273,0.705,0.7059
0.7424,0.7808,0.7808,0.8027,0.7385,0.7862,0.7917,0.7945,0.7761,0.8243,0.8079,0.8299
0.5818,0.7023,0.7077,0.72,0.5946,0.7143,0.6984,0.7143,0.6316,0.6615,0.6977,0.6977
0.6667,0.7287,0.7176,0.7353,0.6774,0.7463,0.7299,0.7353,0.7143,0.7612,0.7429,0.7591
