Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.3846,0.5714,0.4762,0.6087,0.3846,0.5455,0.5306,0.5333,0.5333,0.5714,0.5217,0.7
0.4286,0.6122,0.55,0.4615,0.3846,0.5366,0.55,0.5581,0.5161,0.5,0.4737,0.4091
0.5185,0.6486,0.6977,0.6,0.5185,0.7,0.5957,0.6,0.5882,0.6512,0.64,0.625
0.3333,0.7111,0.6809,0.7143,0.2609,0.7143,0.7317,0.7143,0.625,0.6667,0.6809,0.7222
0.6207,0.6809,0.6522,0.6383,0.6667,0.6364,0.6122,0.6383,0.6286,0.6222,0.6957,0.6522
0.4615,0.5641,0.6154,0.6829,0.4615,0.6341,0.6512,0.6667,0.6111,0.6,0.6154,0.6316
0.3704,0.5641,0.5263,0.4865,0.3077,0.5,0.5405,0.5,0.5161,0.4118,0.5294,0.5556
0.4615,0.5854,0.6383,0.6364,0.5517,0.6154,0.6047,0.6047,0.5625,0.6,0.6154,0.5263
0.24,0.4737,0.55,0.5405,0.24,0.6,0.5854,0.55,0.3448,0.6383,0.5116,0.439
0.4828,0.6364,0.5957,0.5957,0.5,0.5957,0.5957,0.6087,0.6667,0.5714,0.6512,0.5
0.3704,0.6486,0.65,0.7179,0.3704,0.6842,0.6111,0.6316,0.625,0.5263,0.6829,0.75
0.4,0.6047,0.5217,0.6383,0.3333,0.5581,0.5581,0.5778,0.5,0.5789,0.6341,0.6667
0.4,0.5714,0.6154,0.5882,0.2609,0.5455,0.6316,0.5294,0.4,0.5,0.6154,0.5455
0.6452,0.6667,0.6383,0.6512,0.6452,0.7317,0.6818,0.7143,0.6286,0.6818,0.6792,0.6364
0.4615,0.4878,0.5455,0.5652,0.5,0.5714,0.5217,0.4889,0.5806,0.4762,0.5106,0.4651
0.5185,0.6667,0.6512,0.6364,0.5714,0.6047,0.6667,0.6818,0.5556,0.7179,0.6667,0.7179
0.24,0.5,0.4571,0.5614,0.3077,0.52,0.5357,0.5714,0.4571,0.5366,0.5128,0.5217
0.4444,0.65,0.65,0.6829,0.4444,0.65,0.65,0.6,0.5882,0.6667,0.6667,0.6829
0.3333,0.5556,0.6977,0.6316,0.4,0.6486,0.6415,0.6957,0.5185,0.6047,0.55,0.6486
0.4138,0.5333,0.5818,0.4651,0.4138,0.4878,0.5106,0.4651,0.4444,0.4783,0.5957,0.4783
0.32,0.6667,0.5152,0.6667,0.32,0.5,0.5231,0.5854,0.4444,0.5294,0.4,0.6154
0.3846,0.4878,0.4103,0.4211,0.32,0.4615,0.45,0.439,0.4828,0.6316,0.4103,0.6486
0.2609,0.6111,0.65,0.6486,0.1818,0.5455,0.5556,0.6286,0.3333,0.5405,0.6286,0.4571
0.3846,0.7273,0.6939,0.6818,0.3846,0.7317,0.7143,0.7143,0.5882,0.6522,0.6667,0.7619
0.5,0.7,0.5672,0.6809,0.5714,0.7143,0.64,0.6809,0.5806,0.6977,0.6364,0.6818
0.4615,0.4118,0.4571,0.5556,0.4,0.4848,0.4706,0.4706,0.4667,0.5,0.5641,0.5294
