Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.9231,0.5909,0.48,0.5652,0.9167,0.619,0.52,0.619,0.9231,0.6,0.619,0.8667
0.6667,0.3704,0.4615,0.4,0.7,0.4,0.3571,0.4,0.3889,0.3158,0.3667,0.3333
0.8571,0.5789,0.5217,0.6471,0.8333,0.5882,0.5238,0.6,0.6429,0.5,0.5882,0.6471
1.0,0.75,0.6923,0.7692,1.0,0.7273,0.7692,0.75,1.0,0.8,0.8182,0.875
0.9167,0.7647,0.5652,0.6842,0.9167,0.65,0.5417,0.65,0.9231,0.6667,0.65,0.7692
0.8889,0.7143,0.625,0.7333,0.875,0.6471,0.619,0.7333,0.9,0.75,0.6667,0.7273
0.8333,0.5909,0.5714,0.5714,0.8333,0.6111,0.5714,0.6,0.6667,0.5238,0.6,0.5789
0.8889,0.4737,0.55,0.5789,0.8571,0.5556,0.55,0.55,0.6667,0.625,0.5882,0.6667
0.7778,0.6667,0.5625,0.6,0.7778,0.7222,0.6364,0.6,0.6154,0.75,0.7059,0.6429
0.8125,0.6842,0.5909,0.619,0.7857,0.6842,0.619,0.619,0.7778,0.7647,0.65,0.75
0.8571,0.4545,0.4167,0.5217,0.8571,0.4762,0.4167,0.4762,0.8182,0.5,0.4091,0.45
0.75,0.5263,0.5,0.5882,0.75,0.5556,0.5789,0.5263,0.6923,0.625,0.5882,0.6
0.9091,0.6111,0.5417,0.5652,0.9,0.6111,0.5417,0.5789,0.75,0.5217,0.5417,0.7059
1.0,0.6471,0.6111,0.9231,1.0,0.8462,0.6667,0.9231,0.9,0.9091,0.625,0.7692
1.0,0.6429,0.6111,0.6667,1.0,0.6429,0.6111,0.6429,0.7778,0.6154,0.6,0.6667
0.7,0.6111,0.4583,0.5,0.7778,0.6111,0.4783,0.5,0.7273,0.6111,0.5789,0.5263
0.9091,0.7222,0.6842,0.7778,0.9,0.7647,0.7647,0.7368,0.8,0.65,0.8,0.75
0.8182,0.55,0.5455,0.6,0.9,0.6,0.5455,0.6471,0.7692,0.6667,0.6875,0.6923
1.0,0.619,0.5909,0.6316,1.0,0.6667,0.5909,0.5789,0.8333,0.6,0.6,0.5455
0.7,0.55,0.4706,0.55,0.8,0.5625,0.5,0.5294,0.6364,0.5833,0.6471,0.6
0.875,0.6111,0.5652,0.6471,0.875,0.625,0.5417,0.5556,0.7273,0.7059,0.7059,0.6875
0.875,0.6429,0.4545,0.6,0.75,0.5882,0.5,0.5294,0.6,0.5882,0.5882,0.5
0.8182,0.4615,0.4,0.5217,0.8,0.5,0.4615,0.5217,0.6875,0.5882,0.4615,0.6111
0.8889,0.6667,0.5,0.6875,0.8889,0.6471,0.5714,0.6471,0.75,0.6429,0.5714,0.6875
0.8182,0.6471,0.5455,0.5789,0.8,0.6667,0.6,0.6471,0.8182,0.75,0.5789,0.6875
1.0,0.75,0.6316,0.8125,1.0,0.7647,0.7222,0.7222,0.8333,0.6471,0.7333,0.8462
0.7143,0.5263,0.6111,0.6111,0.6667,0.5882,0.6111,0.6111,0.5833,0.5833,0.5882,0.6364
0.8182,0.5714,0.6316,0.5455,0.8,0.6316,0.5385,0.5714,0.6923,0.5714,0.6,0.7059
0.8,0.6875,0.619,0.7692,0.7778,0.7143,0.6,0.7143,0.8333,0.6429,0.5263,0.6154
0.9167,0.75,0.619,0.6842,0.9231,0.6875,0.5652,0.6842,0.9231,0.8571,0.7059,0.7333
0.9091,0.7059,0.5833,0.5909,0.8889,0.7647,0.5909,0.6842,0.9091,0.5625,0.7647,0.7059
0.8,0.3636,0.4,0.3913,0.7778,0.4286,0.3846,0.4348,0.6667,0.5385,0.4,0.3571
0.7692,0.5455,0.44,0.6,0.8333,0.5714,0.4615,0.5714,0.7333,0.6667,0.5714,0.6111
0.9167,0.6316,0.5417,0.65,0.9167,0.65,0.52,0.65,0.8462,0.7222,0.7059,0.7333
0.7778,0.625,0.6471,0.6667,0.75,0.5882,0.5714,0.625,0.6667,0.5625,0.5789,0.5625
0.7,0.5625,0.5556,0.5,0.6667,0.5333,0.45,0.5625,0.7,0.5789,0.6842,0.6
1.0,0.7222,0.5,0.6875,1.0,0.7333,0.6842,0.6875,0.8889,0.6471,0.5714,0.6667
0.8889,0.5789,0.6,0.6,0.8571,0.6111,0.6471,0.6667,0.6923,0.7,0.5294,0.625
0.8333,0.6667,0.6364,0.7,0.8182,0.6842,0.6087,0.7368,0.6875,0.7333,0.6,0.6667
0.75,0.5909,0.52,0.6316,0.8571,0.7333,0.619,0.6875,0.75,0.5455,0.4706,0.6429
