Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.5714,0.3929,0.4643,0.375,0.8,0.3871,0.3636,0.3939,0.5833,0.4583,0.4063,0.4667
1.0,0.3871,0.5,0.4783,1.0,0.4762,0.4348,0.4783,0.6667,0.5833,0.3929,0.4091
1.0,0.5,0.4667,0.56,1.0,0.5,0.4667,0.5833,0.9,0.5714,0.4783,0.6667
0.4,0.3077,0.3448,0.2917,0.3333,0.36,0.3103,0.375,0.375,0.2857,0.2963,0.4231
0.4286,0.4375,0.4,0.4194,0.5,0.4516,0.4286,0.4583,0.5455,0.5,0.44,0.4444
0.4444,0.2727,0.3333,0.3143,0.75,0.3143,0.2903,0.2727,0.3684,0.36,0.4091,0.4118
0.8,0.4333,0.4231,0.3704,1.0,0.5455,0.4,0.5,0.375,0.5,0.5,0.5385
0.8333,0.5,0.4615,0.5161,0.8333,0.5357,0.5357,0.5357,0.7333,0.4783,0.4167,0.5556
0.0,0.4074,0.4074,0.3871,0.0,0.4762,0.4615,0.4231,0.3333,0.2,0.3214,0.3333
0.4,0.3611,0.3529,0.3438,0.25,0.3125,0.3793,0.3125,0.3846,0.2609,0.3704,0.375
0.6667,0.4783,0.4545,0.5,0.8,0.4762,0.4545,0.4783,0.6667,0.5,0.5,0.4375
0.75,0.4,0.3846,0.3667,1.0,0.3929,0.3871,0.3793,0.6923,0.4118,0.2963,0.4706
0.5,0.3571,0.325,0.3667,0.5556,0.3548,0.2813,0.3,0.2941,0.4783,0.28,0.4074
1.0,0.5,0.619,0.4615,1.0,0.5263,0.4643,0.44,0.6,0.625,0.4,0.5
1.0,0.3571,0.4194,0.4063,1.0,0.4,0.4286,0.4,0.8889,0.4667,0.3704,0.3913
0.4286,0.5,0.4688,0.3793,0.6,0.4643,0.4333,0.4643,0.4444,0.4583,0.3871,0.3846
0.5,0.3947,0.4054,0.4167,0.3333,0.4118,0.4167,0.4,0.5556,0.3636,0.5217,0.4444
0.5,0.4545,0.3929,0.4783,0.8,0.4286,0.4348,0.4783,0.75,0.4737,0.5,0.5333
0.6667,0.4118,0.3939,0.4516,0.6667,0.4688,0.4667,0.4516,0.5625,0.381,0.5,0.48
0.5,0.3548,0.3056,0.3143,0.8,0.3462,0.3438,0.3333,0.2941,0.2963,0.2857,0.3
0.4444,0.3793,0.3939,0.4615,0.8,0.5,0.4,0.4615,0.5,0.3913,0.4231,0.3913
0.75,0.4688,0.4412,0.4545,0.8333,0.4839,0.4412,0.4848,0.5,0.5909,0.4839,0.4118
0.6,0.3333,0.3429,0.3462,1.0,0.3793,0.3571,0.3462,0.4,0.32,0.3529,0.3043
0.5714,0.375,0.44,0.375,1.0,0.4074,0.48,0.3913,0.6667,0.4444,0.3448,0.375
0.7143,0.52,0.4286,0.4444,0.7143,0.4138,0.4286,0.4643,0.7273,0.48,0.5217,0.4
0.6,0.3514,0.4783,0.3667,0.5556,0.3333,0.3704,0.3793,0.5455,0.2692,0.4615,0.4545
0.7143,0.3871,0.359,0.3548,0.5714,0.3667,0.3667,0.3514,0.5455,0.4615,0.3448,0.3462
0.6667,0.4063,0.4516,0.4,0.8,0.4074,0.4194,0.4286,0.6364,0.381,0.4091,0.4118
0.6667,0.4194,0.3429,0.4643,0.6,0.4828,0.375,0.4286,0.6154,0.5,0.28,0.4286
1.0,0.3462,0.3846,0.3333,0.6667,0.3889,0.4286,0.375,0.6,0.2222,0.3871,0.3158
0.8,0.5,0.4667,0.4231,0.6667,0.4333,0.4667,0.4,0.6667,0.4,0.4091,0.4211
0.7143,0.4615,0.4667,0.5,0.8,0.52,0.4483,0.5217,0.6364,0.4667,0.4194,0.5882
1.0,0.4583,0.3226,0.3913,1.0,0.4348,0.3846,0.375,0.8333,0.4706,0.2857,0.6
0.8333,0.4828,0.4,0.4375,0.875,0.4194,0.4333,0.4333,0.6923,0.5789,0.4783,0.5
