Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.7778,0.5075,0.4776,0.4925,0.8,0.5238,0.4848,0.5077,0.5714,0.4857,0.4648,0.4789
0.4375,0.5161,0.5,0.5152,0.6061,0.5313,0.4706,0.5152,0.5217,0.5738,0.55,0.5397
0.8333,0.4921,0.4638,0.4923,0.6154,0.5161,0.5,0.5,0.7419,0.5,0.5,0.4918
0.4,0.55,0.5574,0.5667,0.25,0.5636,0.5439,0.5763,0.6296,0.5818,0.566,0.566
1.0,0.6066,0.5574,0.5833,1.0,0.5932,0.6167,0.5862,0.7,0.6491,0.6275,0.6034
0.8333,0.5965,0.614,0.5625,0.8333,0.5667,0.6032,0.5645,0.6757,0.5932,0.614,0.5932
1.0,0.4821,0.5,0.4833,0.6452,0.4906,0.4912,0.4483,0.5385,0.4643,0.52,0.4706
0.5,0.5517,0.5574,0.5645,0.5556,0.5667,0.55,0.5738,0.6667,0.5161,0.5893,0.5424
0.7273,0.4638,0.5075,0.4595,0.5882,0.4521,0.4928,0.4722,0.6786,0.5349,0.4902,0.551
1.0,0.5303,0.5484,0.5211,1.0,0.5294,0.5075,0.5139,0.5625,0.5238,0.5536,0.5323
0.4,0.4848,0.4925,0.5147,0.25,0.5294,0.5082,0.4923,0.6429,0.4677,0.5926,0.4921
0.5455,0.4861,0.5522,0.5211,0.5385,0.5143,0.5455,0.5362,0.6216,0.5161,0.5238,0.5143
0.6,0.5441,0.5,0.5143,0.8,0.5217,0.5333,0.5147,0.5862,0.5263,0.5556,0.5082
0.5714,0.4638,0.4267,0.4928,0.5,0.4706,0.4324,0.4783,0.6875,0.5156,0.4783,0.4783
0.8,0.45,0.5172,0.4516,0.75,0.4746,0.5,0.4516,0.5217,0.5,0.4643,0.4912
1.0,0.6316,0.625,0.65,1.0,0.6441,0.6207,0.661,0.7419,0.6604,0.6538,0.6207
0.75,0.5818,0.5167,0.5926,0.7143,0.5849,0.5536,0.5849,0.625,0.58,0.58,0.6078
0.9,0.5303,0.5469,0.5645,0.8571,0.5625,0.5075,0.5538,0.7931,0.5345,0.55,0.5424
1.0,0.5079,0.5082,0.4853,0.3333,0.4769,0.5082,0.4853,0.6216,0.4928,0.5079,0.4769
1.0,0.5574,0.5484,0.5593,1.0,0.569,0.5667,0.5593,0.7333,0.5614,0.5574,0.5517
0.7778,0.6232,0.5753,0.6029,0.6,0.6176,0.5873,0.6,0.7778,0.5972,0.7234,0.6111
0.8,0.4605,0.4722,0.4605,1.0,0.4667,0.4521,0.4533,0.6667,0.5,0.4493,0.5714
0.8,0.4853,0.5,0.4648,0.7143,0.4853,0.5,0.4648,0.5667,0.459,0.4828,0.5172
0.5556,0.5283,0.5472,0.5556,0.5,0.5556,0.4915,0.5455,0.7,0.56,0.5741,0.5625
0.7273,0.5246,0.5167,0.5156,0.7143,0.55,0.5082,0.5323,0.68,0.5577,0.5254,0.5741
0.7143,0.5606,0.5625,0.5507,0.8571,0.5556,0.5781,0.5429,0.6897,0.5938,0.5781,0.5714
