Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.6667,0.4286,0.4211,0.4286,0.7143,0.4286,0.4211,0.4286,0.7222,0.6216,0.451,0.5946
0.6154,0.4237,0.4237,0.4237,0.625,0.4237,0.4098,0.4237,0.6667,0.5588,0.5319,0.5385
0.75,0.463,0.463,0.463,0.7143,0.463,0.463,0.463,0.7727,0.7,0.55,0.8
0.7895,0.4694,0.451,0.4694,0.7778,0.4694,0.4902,0.4694,0.7391,0.6111,0.5106,0.5227
1.0,0.4138,0.4211,0.4211,0.9,0.4211,0.4211,0.4211,0.8333,0.5455,0.4375,0.5556
0.8462,0.4444,0.4364,0.4444,0.8667,0.4444,0.4444,0.4444,0.85,0.5476,0.4792,0.6216
0.8667,0.4068,0.3871,0.4068,0.8667,0.4068,0.3934,0.4068,0.8421,0.6389,0.4068,0.5476
0.9167,0.5714,0.5714,0.5714,0.8462,0.5714,0.5714,0.5714,0.8125,0.7241,0.55,0.7
0.8333,0.4615,0.4444,0.4615,0.9167,0.4615,0.4444,0.4615,0.9,0.5385,0.4762,0.6
0.7857,0.4444,0.4423,0.4364,0.7647,0.4528,0.4423,0.4364,0.75,0.525,0.4783,0.5714
0.7778,0.4528,0.4444,0.4528,0.75,0.4528,0.4444,0.4528,0.75,0.5116,0.5,0.6216
1.0,0.5102,0.4902,0.4902,1.0,0.4902,0.4902,0.4902,0.9286,0.5385,0.5,0.6429
0.6429,0.4386,0.4386,0.4386,0.5833,0.4386,0.4386,0.4386,0.6875,0.5676,0.4808,0.6765
0.7692,0.4717,0.463,0.4717,0.8235,0.4717,0.4717,0.4717,0.85,0.6111,0.48,0.6111
0.9091,0.4364,0.4286,0.4364,0.9231,0.4364,0.4364,0.4364,0.9167,0.6389,0.4792,0.6176
0.8667,0.5217,0.5,0.5366,0.875,0.5217,0.5217,0.5366,0.8333,0.6286,0.5455,0.6286
0.7059,0.4255,0.4364,0.4286,0.7059,0.4286,0.4286,0.4286,0.7059,0.425,0.4286,0.4865
0.7333,0.4211,0.4068,0.4211,0.7333,0.4211,0.4211,0.4211,0.7368,0.6061,0.4211,0.561
0.8,0.4615,0.4615,0.4615,0.8333,0.4528,0.4615,0.4615,0.7647,0.6176,0.5122,0.7037
0.6667,0.3934,0.3898,0.3934,0.6667,0.3934,0.3898,0.3934,0.6364,0.4762,0.4694,0.5641
0.7857,0.4211,0.4182,0.4211,0.8571,0.4211,0.4182,0.4211,0.7647,0.55,0.561,0.5405
0.6667,0.4032,0.4032,0.4032,0.6667,0.4032,0.4032,0.4032,0.75,0.4667,0.4386,0.5455
0.8571,0.5319,0.5208,0.5319,0.8824,0.5319,0.5319,0.5319,0.9375,0.5854,0.5319,0.6364
0.8235,0.4902,0.4902,0.4902,0.8235,0.4902,0.4902,0.4902,0.7273,0.5405,0.4808,0.6111
0.8,0.3871,0.3871,0.3871,0.7333,0.3871,0.3871,0.3871,0.6667,0.4151,0.5882,0.4865
0.6667,0.5217,0.5,0.5217,0.6667,0.5217,0.5106,0.5217,0.7368,0.6364,0.5,0.6
0.7692,0.4528,0.4444,0.4615,0.9091,0.4615,0.4528,0.4615,0.75,0.55,0.5,0.6364
1.0,0.4706,0.4706,0.4706,0.8571,0.4706,0.4706,0.4706,0.9286,0.6897,0.5789,0.6471
0.8,0.381,0.375,0.381,0.7857,0.381,0.381,0.381,0.8,0.55,0.4107,0.5789
0.8462,0.5217,0.5,0.5217,0.8889,0.5217,0.5,0.5217,0.8889,0.6897,0.6176,0.6897
0.6875,0.4138,0.4068,0.4138,0.6111,0.4138,0.4068,0.4138,0.7778,0.5,0.4375,0.449
0.75,0.4808,0.4902,0.4468,0.8462,0.4808,0.4808,0.4468,0.7895,0.5581,0.5897,0.5455
1.0,0.5,0.4902,0.5,1.0,0.5,0.5,0.5,0.8421,0.5946,0.5333,0.6
0.7059,0.4464,0.4464,0.4464,0.7619,0.4464,0.4464,0.4464,0.85,0.6667,0.4545,0.7586
0.7222,0.4286,0.4286,0.4286,0.6842,0.4286,0.4286,0.4286,0.72,0.5946,0.48,0.4884
0.6842,0.4286,0.4286,0.4286,0.6875,0.4286,0.4286,0.4286,0.6667,0.6286,0.4762,0.5
0.7273,0.4528,0.4528,0.4615,0.9,0.4615,0.4528,0.4615,0.8889,0.5581,0.4894,0.5116
0.9286,0.48,0.4694,0.48,0.9231,0.48,0.46,0.48,0.9375,0.6129,0.4884,0.6111
0.9,0.5217,0.5,0.5217,0.8182,0.5217,0.5,0.5217,0.7059,0.5862,0.561,0.6429
0.5294,0.3934,0.3871,0.3934,0.6875,0.3934,0.3934,0.3934,0.5556,0.5405,0.4681,0.5238
0.6923,0.4068,0.4,0.4068,0.6923,0.4068,0.4,0.4068,0.5714,0.6111,0.525,0.6053
0.8182,0.5208,0.5,0.5102,0.9,0.5208,0.5319,0.5102,0.875,0.5833,0.5641,0.6875
0.5333,0.4098,0.4167,0.4098,0.5625,0.4032,0.4032,0.4098,0.6333,0.5641,0.4423,0.575
0.7273,0.431,0.431,0.4386,0.8,0.4386,0.4386,0.4386,0.6842,0.5682,0.575,0.5319
0.75,0.4364,0.4364,0.4364,0.7857,0.4364,0.4364,0.4364,0.7647,0.4865,0.434,0.68
0.7778,0.4314,0.4259,0.4314,0.7778,0.4314,0.434,0.4314,0.6818,0.5641,0.5385,0.4878
0.9231,0.4444,0.4364,0.4364,0.9333,0.4364,0.4364,0.4364,0.8125,0.5882,0.5714,0.7333
0.8824,0.4528,0.4528,0.4528,0.8235,0.4528,0.4528,0.4528,0.8889,0.6552,0.5333,0.6552
0.9091,0.5333,0.5333,0.5128,0.9286,0.5333,0.5333,0.5476,1.0,0.6129,0.5526,0.5588
0.8235,0.4706,0.4706,0.4706,1.0,0.4706,0.4706,0.4706,0.8824,0.5641,0.5,0.8095
0.7273,0.4286,0.4286,0.4286,0.7692,0.4286,0.4286,0.4286,0.65,0.6061,0.5122,0.6207
0.8,0.5,0.4902,0.5,0.7895,0.5,0.5,0.5,0.7083,0.4889,0.5526,0.5897
0.5556,0.5102,0.5,0.5208,0.5556,0.5319,0.5208,0.5208,0.7692,0.5938,0.5106,0.5588
0.7273,0.5102,0.5102,0.5102,0.9091,0.5102,0.5,0.5102,0.8,0.5455,0.5217,0.6897
0.7059,0.4068,0.4068,0.4068,0.7222,0.4068,0.4068,0.4068,0.7647,0.5714,0.434,0.5106
0.8824,0.5217,0.5106,0.5217,0.8889,0.5217,0.5217,0.5217,0.9048,0.7188,0.5897,0.7333
0.8125,0.4211,0.4107,0.4211,0.8,0.4107,0.4107,0.4211,0.8824,0.5227,0.5714,0.5897
0.7143,0.4211,0.4211,0.4211,0.75,0.4211,0.4211,0.4211,0.8333,0.625,0.4364,0.6333
0.6471,0.3934,0.3934,0.3934,0.7143,0.3934,0.3934,0.3934,0.65,0.5714,0.5217,0.5349
0.7647,0.4444,0.4444,0.4231,0.8235,0.4444,0.4364,0.4231,0.8421,0.6471,0.5217,0.6563
0.75,0.4444,0.4364,0.4444,0.75,0.4444,0.4444,0.4444,0.8421,0.5714,0.5581,0.6176
0.6923,0.4386,0.431,0.4386,0.6875,0.4386,0.4386,0.4386,0.8,0.625,0.525,0.561
0.7778,0.5102,0.5,0.5102,0.8235,0.5102,0.5,0.5102,0.7778,0.6,0.6774,0.6316
0.6667,0.4032,0.3846,0.4032,0.7143,0.4032,0.4032,0.4032,0.8,0.46,0.4706,0.4468
0.7778,0.4,0.3934,0.4,0.8,0.4,0.3934,0.4,0.7143,0.5588,0.4259,0.3913
0.9167,0.5217,0.5217,0.5106,1.0,0.5217,0.5217,0.5217,0.9231,0.6053,0.6316,0.6389
0.6667,0.4615,0.451,0.451,0.7059,0.4615,0.4615,0.451,0.6667,0.5135,0.5217,0.5556
