Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.6667,0.4286,0.4167,0.44,0.6667,0.4583,0.4545,0.4444,0.5385,0.5263,0.4737,0.4706
0.625,0.5,0.381,0.381,0.6667,0.4762,0.381,0.3889,0.4615,0.3913,0.381,0.4737
0.8571,0.2903,0.4737,0.2857,0.625,0.2963,0.381,0.2667,0.5385,0.3043,0.4118,0.3333
0.6667,0.44,0.4286,0.3929,0.5556,0.4167,0.4583,0.4074,0.5,0.3333,0.36,0.4783
0.75,0.4783,0.6111,0.4783,0.75,0.5,0.5,0.5,0.7,0.5,0.48,0.4348
0.5,0.4286,0.5294,0.5333,0.625,0.4737,0.45,0.4737,0.5556,0.3684,0.4706,0.4444
0.6364,0.5,0.5385,0.5,0.6364,0.52,0.5556,0.5172,0.5833,0.5556,0.6538,0.4194
0.5385,0.44,0.3846,0.4,0.5385,0.4167,0.4167,0.4091,0.5385,0.4,0.3448,0.4231
0.5714,0.4118,0.5417,0.5455,0.5714,0.5,0.5455,0.5185,0.6667,0.4,0.4667,0.3846
0.5714,0.5417,0.48,0.52,0.4286,0.5652,0.5909,0.5652,0.5,0.5217,0.5455,0.5417
0.6667,0.619,0.625,0.6,0.8,0.65,0.5556,0.5714,0.7143,0.625,0.5238,0.5882
0.5556,0.56,0.52,0.56,0.5556,0.5769,0.5833,0.5833,0.6667,0.4483,0.6,0.4762
0.5,0.2308,0.3182,0.2857,0.3333,0.2692,0.3478,0.2857,0.3333,0.2593,0.2917,0.32
0.4444,0.4762,0.4,0.4348,0.4444,0.4545,0.4783,0.4348,0.3846,0.44,0.4545,0.4545
0.8333,0.4828,0.5652,0.4615,0.6667,0.4828,0.4815,0.4643,0.6923,0.4783,0.5,0.5217
1.0,0.5714,0.5556,0.5294,1.0,0.6,0.6364,0.5882,0.7,0.6429,0.6,0.5
