Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.75,0.5067,0.5385,0.527,0.7059,0.5,0.5135,0.5205,0.7308,0.5522,0.4831,0.52
0.8333,0.4268,0.4321,0.4118,0.8182,0.4321,0.4405,0.4167,0.5588,0.4526,0.4737,0.4706
0.7826,0.4588,0.4773,0.4684,0.8095,0.4625,0.4756,0.4756,0.84,0.4211,0.4253,0.4943
0.7778,0.4471,0.5373,0.5429,0.8571,0.4875,0.5211,0.5352,0.7083,0.4828,0.5441,0.527
0.4375,0.4722,0.5205,0.5479,0.4667,0.5278,0.5417,0.5417,0.5238,0.4483,0.4038,0.5
0.8889,0.5342,0.4643,0.5342,0.8571,0.5352,0.5286,0.5556,0.8077,0.4886,0.4828,0.52
0.6667,0.4301,0.4239,0.4556,0.6471,0.4419,0.4368,0.4432,0.7037,0.5316,0.4824,0.4375
0.8889,0.4935,0.5139,0.5135,0.7826,0.527,0.5278,0.5286,0.9,0.5,0.5,0.5128
0.6522,0.4865,0.4713,0.4944,0.8,0.5176,0.5,0.5116,0.6296,0.4937,0.5238,0.4639
0.625,0.5263,0.519,0.5405,0.7,0.5526,0.5556,0.5195,0.6667,0.5541,0.5205,0.5116
0.8462,0.5538,0.5,0.52,0.8182,0.5,0.5,0.5,0.6818,0.52,0.4947,0.5275
0.5882,0.4583,0.4474,0.4444,0.6471,0.4306,0.4444,0.4444,0.5714,0.5472,0.4773,0.5
0.6957,0.5065,0.5556,0.5065,0.6842,0.5,0.52,0.4937,0.7407,0.5574,0.5303,0.4878
0.9231,0.541,0.4861,0.5313,0.9,0.5469,0.5469,0.5469,0.8333,0.5517,0.5536,0.5469
0.75,0.4744,0.48,0.4795,0.7368,0.4722,0.4667,0.4932,0.7826,0.4776,0.3951,0.4176
0.7407,0.4943,0.4819,0.5301,0.7368,0.5,0.5244,0.5238,0.7419,0.5047,0.5,0.4954
0.75,0.4667,0.4756,0.5,0.7647,0.4938,0.494,0.494,0.75,0.4828,0.4848,0.5
0.6957,0.4512,0.4545,0.4872,0.8824,0.4684,0.4605,0.4684,0.5952,0.475,0.5,0.5238
0.8667,0.4935,0.507,0.5063,0.8667,0.5125,0.5063,0.5,0.5833,0.4607,0.4211,0.425
0.6087,0.527,0.5333,0.5227,0.6087,0.5294,0.5357,0.5412,0.6486,0.5172,0.48,0.4946
0.6667,0.5125,0.4691,0.5205,0.6923,0.5067,0.5139,0.5205,0.6154,0.4839,0.4651,0.4783
0.7143,0.5,0.5067,0.5185,0.7059,0.5301,0.5125,0.5185,0.7407,0.5,0.4667,0.5
0.8333,0.4762,0.4615,0.4783,0.8235,0.4725,0.4828,0.4719,0.7692,0.4646,0.4563,0.4737
0.7037,0.5,0.525,0.5309,0.8077,0.5185,0.525,0.5122,0.7059,0.5217,0.4684,0.481
0.7273,0.5,0.4935,0.4932,0.6667,0.5068,0.5072,0.4933,0.7407,0.5556,0.4844,0.4848
0.8182,0.519,0.5147,0.473,0.8421,0.5455,0.5286,0.4865,0.8077,0.5797,0.5065,0.5116
0.7778,0.5333,0.5185,0.5128,0.8182,0.527,0.5342,0.5278,0.7333,0.4886,0.5135,0.5467
0.75,0.5493,0.5467,0.5366,0.75,0.5395,0.5584,0.5641,0.525,0.5165,0.55,0.5176
0.5238,0.3919,0.375,0.3803,0.5455,0.4028,0.3768,0.3714,0.6087,0.4231,0.3731,0.4487
0.8824,0.5652,0.5556,0.5625,0.8421,0.5455,0.5652,0.5455,0.7308,0.5256,0.5781,0.5526
0.7647,0.4938,0.5352,0.5333,0.7647,0.527,0.5068,0.52,0.7308,0.5,0.4432,0.4861
0.6923,0.5294,0.5211,0.5303,0.6667,0.5333,0.5323,0.5469,0.6875,0.5862,0.5,0.5273
0.8235,0.5405,0.5821,0.5556,0.8889,0.597,0.5479,0.5735,0.85,0.5,0.5556,0.5417
0.8636,0.4681,0.4444,0.4565,0.8947,0.4667,0.4607,0.4624,0.7879,0.5059,0.5057,0.5119
0.6296,0.4872,0.4756,0.4762,0.5926,0.4588,0.4588,0.4699,0.5946,0.4684,0.4468,0.4935
0.6875,0.5057,0.5,0.5244,0.6667,0.5,0.5,0.5125,0.5909,0.5714,0.5185,0.4935
0.6667,0.4559,0.4722,0.4857,0.7143,0.4795,0.4648,0.4638,0.6111,0.4375,0.4588,0.4342
0.8824,0.5692,0.5352,0.5072,0.9375,0.5735,0.5147,0.5286,0.76,0.5,0.5205,0.5833
0.7391,0.5326,0.5213,0.5385,0.7619,0.5281,0.5357,0.5227,0.6923,0.4952,0.5217,0.5444
0.6923,0.494,0.4938,0.4487,0.68,0.4625,0.4471,0.4557,0.6333,0.519,0.4891,0.4699
0.7333,0.5753,0.5634,0.5672,0.7895,0.5616,0.5571,0.5634,0.7895,0.5672,0.5139,0.5256
0.6154,0.4684,0.4937,0.5,0.6154,0.4691,0.4815,0.4713,0.5,0.5256,0.4915,0.45
0.8636,0.5195,0.5068,0.4865,0.95,0.4648,0.5,0.5,0.6667,0.4321,0.4651,0.4706
0.72,0.5325,0.4831,0.5195,0.6923,0.56,0.5395,0.5263,0.65,0.597,0.5493,0.5132
0.6667,0.4556,0.5,0.5,0.6818,0.506,0.4884,0.5,0.7391,0.5065,0.4787,0.519
0.6111,0.5303,0.5373,0.527,0.6471,0.4935,0.5135,0.527,0.6154,0.5,0.4545,0.4624
0.8421,0.4458,0.4634,0.4691,0.8125,0.4458,0.4568,0.4578,0.7391,0.4494,0.4881,0.4881
0.75,0.5256,0.4889,0.5316,0.7333,0.5541,0.5513,0.5395,0.6875,0.4886,0.5132,0.5493
0.8636,0.5667,0.5915,0.5556,0.8571,0.5522,0.5588,0.5616,0.7419,0.5735,0.5513,0.5753
0.6429,0.4605,0.4684,0.4524,0.6154,0.443,0.4875,0.4691,0.6,0.5059,0.4388,0.475
0.75,0.5185,0.5181,0.5119,0.9286,0.506,0.5059,0.5,0.7647,0.5294,0.5062,0.52
0.75,0.4535,0.4828,0.4756,0.625,0.4706,0.4815,0.4643,0.6923,0.4479,0.4388,0.4045
0.7273,0.4886,0.5,0.5,0.75,0.4941,0.4881,0.5063,0.62,0.4778,0.4565,0.4744
0.7895,0.5412,0.4943,0.5432,0.875,0.5366,0.5301,0.5542,0.697,0.5119,0.5051,0.5393
0.7308,0.4615,0.4762,0.4819,0.72,0.4699,0.4699,0.4756,0.6939,0.494,0.5,0.4945
0.85,0.4937,0.5,0.519,0.7778,0.5128,0.5132,0.5195,0.8182,0.4588,0.5263,0.4938
0.625,0.4571,0.4648,0.4366,0.6667,0.4429,0.4429,0.4507,0.697,0.5362,0.4731,0.4638
0.5789,0.5116,0.5316,0.5422,0.5789,0.5357,0.5301,0.5443,0.6538,0.4667,0.5065,0.5067
0.6667,0.4559,0.5167,0.4844,0.6667,0.4746,0.4918,0.5246,0.6842,0.5161,0.4595,0.5
0.875,0.5429,0.5147,0.5342,0.875,0.5507,0.5294,0.5417,0.8571,0.5714,0.5063,0.527
0.75,0.5,0.5294,0.4937,0.7143,0.4938,0.481,0.475,0.6563,0.475,0.4651,0.4938
