Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.8571,0.7612,0.7612,0.7681,0.84,0.7761,0.7397,0.7681,0.875,0.7391,0.7465,0.7465
0.9524,0.8679,0.8627,0.8929,0.9286,0.8772,0.8679,0.8929,0.9487,0.8621,0.8793,0.8909
0.8333,0.7755,0.7805,0.7872,0.8333,0.7917,0.7442,0.7708,0.8333,0.7727,0.7826,0.7778
0.8776,0.8226,0.8095,0.8281,0.8846,0.8209,0.8308,0.8281,0.8776,0.8154,0.8182,0.8413
0.8393,0.8056,0.8116,0.8235,0.8519,0.8209,0.8235,0.8235,0.8308,0.8333,0.8235,0.8358
0.8462,0.8361,0.8333,0.8361,0.8462,0.8361,0.8226,0.8254,0.8148,0.7746,0.8136,0.8276
0.8136,0.7195,0.7342,0.7733,0.8276,0.7532,0.7342,0.7532,0.8246,0.7349,0.7342,0.7568
0.9318,0.7903,0.8033,0.8475,0.9348,0.8333,0.8033,0.8333,0.8644,0.85,0.8548,0.8525
0.898,0.8571,0.8667,0.8548,0.9,0.8983,0.8644,0.8689,0.898,0.8571,0.8254,0.8571
0.82,0.7465,0.7606,0.7813,0.8235,0.7879,0.7692,0.7937,0.8113,0.7826,0.8095,0.806
0.8837,0.8889,0.8727,0.8772,0.8864,0.8909,0.8545,0.8929,0.907,0.8983,0.8475,0.8305
0.8158,0.8276,0.8167,0.8246,0.8205,0.8393,0.8214,0.8393,0.8333,0.7941,0.7879,0.7969
0.8909,0.8088,0.7857,0.7971,0.8793,0.8088,0.7857,0.7857,0.8276,0.8286,0.8088,0.7971
0.8519,0.8254,0.8095,0.8154,0.8491,0.8154,0.8125,0.8154,0.8448,0.7639,0.8154,0.791
0.8421,0.7231,0.7206,0.7213,0.8462,0.7121,0.6949,0.7188,0.7907,0.7636,0.7667,0.7544
0.9149,0.8116,0.8088,0.8209,0.913,0.8281,0.8182,0.8182,0.8364,0.6951,0.7813,0.8
0.925,0.8654,0.8367,0.8704,0.9048,0.8704,0.8723,0.8704,0.9286,0.8103,0.7742,0.8448
0.8462,0.8226,0.8197,0.8095,0.8491,0.8065,0.8197,0.8095,0.8,0.7714,0.8197,0.7937
0.8852,0.8,0.8101,0.8,0.875,0.8,0.8101,0.7975,0.918,0.8,0.8028,0.8219
0.8298,0.7833,0.7719,0.7931,0.8163,0.7797,0.7759,0.807,0.8571,0.7647,0.7656,0.7869
0.8596,0.8028,0.8028,0.8194,0.8727,0.8143,0.8261,0.8169,0.8814,0.8356,0.8026,0.8472
0.8889,0.807,0.8214,0.8824,0.8919,0.8654,0.8462,0.8654,0.9,0.7679,0.8182,0.8182
0.8367,0.8545,0.8246,0.8065,0.84,0.8333,0.7937,0.8065,0.8654,0.85,0.7879,0.8254
0.8571,0.7571,0.7612,0.7681,0.8889,0.7681,0.75,0.7681,0.7536,0.8,0.7429,0.7727
0.9048,0.9038,0.92,0.8889,0.9048,0.902,0.9038,0.9038,0.9091,0.8704,0.8704,0.8727
0.8478,0.7619,0.7619,0.75,0.8478,0.7612,0.7538,0.75,0.7692,0.75,0.7612,0.75
0.86,0.8594,0.8615,0.8571,0.86,0.8571,0.8571,0.8571,0.8462,0.8594,0.8462,0.8361
0.8679,0.8088,0.7681,0.7971,0.8491,0.8088,0.7568,0.7971,0.898,0.7971,0.7887,0.7941
0.8182,0.8197,0.7966,0.8254,0.8605,0.8254,0.8036,0.8125,0.8261,0.8167,0.7619,0.8095
0.8444,0.7455,0.7679,0.7544,0.8372,0.7778,0.7719,0.7544,0.7778,0.7818,0.7857,0.7679
0.8444,0.7903,0.807,0.8033,0.8636,0.8136,0.807,0.8136,0.8636,0.725,0.7273,0.7541
0.8868,0.8261,0.8358,0.8286,0.8889,0.8406,0.8382,0.8406,0.8889,0.8615,0.8286,0.8182
0.8367,0.8033,0.8103,0.8103,0.82,0.8167,0.8167,0.8136,0.8367,0.791,0.8154,0.8214
0.9286,0.8136,0.8182,0.8136,0.9286,0.8393,0.8214,0.8136,0.8864,0.8958,0.86,0.8103
0.8868,0.8438,0.8308,0.8209,0.9057,0.8,0.8235,0.8209,0.8,0.8462,0.8438,0.8594
0.8475,0.8429,0.8358,0.8289,0.8387,0.8406,0.8382,0.8378,0.8525,0.8333,0.8286,0.8219
0.878,0.7963,0.7963,0.7857,0.8605,0.8,0.7963,0.7857,0.925,0.7869,0.7833,0.8
0.8113,0.7692,0.7353,0.7692,0.7963,0.7576,0.7313,0.7576,0.8036,0.7391,0.7576,0.7692
0.8605,0.8545,0.8571,0.8621,0.8667,0.8727,0.8364,0.8571,0.8444,0.8333,0.8727,0.8627
0.878,0.8033,0.7903,0.791,0.9048,0.791,0.7903,0.791,0.8723,0.7671,0.7778,0.726
0.8627,0.7286,0.7391,0.7465,0.8654,0.7391,0.7391,0.7429,0.8333,0.7237,0.7286,0.7162
0.8409,0.8269,0.8113,0.8393,0.8222,0.8393,0.8077,0.8393,0.8605,0.8519,0.8519,0.8246
0.9286,0.9138,0.9123,0.8983,0.9535,0.9138,0.8814,0.9138,0.9167,0.8947,0.8909,0.8793
0.8519,0.8281,0.8361,0.8209,0.8571,0.8308,0.8154,0.8209,0.8393,0.8261,0.831,0.8108
0.8846,0.806,0.7606,0.803,0.88,0.806,0.791,0.806,0.8361,0.8169,0.8358,0.8308
0.7857,0.7377,0.7458,0.7586,0.7907,0.7692,0.7455,0.7586,0.7955,0.7027,0.7679,0.7273
0.8511,0.8209,0.8125,0.8182,0.8542,0.8308,0.8254,0.8182,0.88,0.8644,0.8235,0.7879
0.898,0.8525,0.8254,0.8571,0.9149,0.8571,0.8281,0.8571,0.9184,0.8182,0.8116,0.8125
0.8182,0.7797,0.8,0.7833,0.8298,0.7705,0.8,0.7833,0.8222,0.8,0.8,0.8095
0.8246,0.7746,0.8,0.806,0.8197,0.803,0.8065,0.806,0.8136,0.7714,0.7534,0.7429
0.8654,0.7656,0.7742,0.7742,0.86,0.7742,0.7742,0.7742,0.8654,0.7538,0.7778,0.7778
0.8491,0.8281,0.8154,0.8154,0.8679,0.8281,0.8154,0.8154,0.88,0.8033,0.8276,0.8254
0.8947,0.8704,0.8367,0.8571,0.9,0.8704,0.8367,0.8571,0.8837,0.8571,0.791,0.8519
0.78,0.7206,0.7246,0.7619,0.7963,0.7206,0.7206,0.7206,0.7885,0.7143,0.7121,0.7692
0.9268,0.8214,0.8246,0.85,0.9048,0.8475,0.8246,0.85,0.9487,0.8475,0.8364,0.8772
0.8776,0.7692,0.7391,0.7612,0.8627,0.7727,0.7576,0.7846,0.8723,0.7391,0.7619,0.7846
0.8364,0.8413,0.8438,0.8438,0.8364,0.8571,0.8571,0.8438,0.8596,0.7333,0.8095,0.8281
0.88,0.8438,0.8358,0.8333,0.8846,0.8333,0.8281,0.8333,0.8519,0.831,0.8,0.8088
0.8542,0.8154,0.803,0.8154,0.8367,0.8281,0.8182,0.8154,0.8654,0.8358,0.8421,0.8413
