Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
1.0,0.5714,0.4762,0.56,1.0,0.5217,0.4643,0.5,0.8889,0.5714,0.48,0.7368
0.8571,0.5357,0.5789,0.5,1.0,0.55,0.5789,0.5455,0.8,0.5263,0.5294,0.3913
1.0,0.7059,0.6522,0.5,1.0,0.7,0.5185,0.5,0.7143,0.6087,0.5333,0.5357
1.0,0.64,0.5926,0.6818,1.0,0.6818,0.7143,0.6818,0.8333,0.75,0.5926,0.8125
1.0,0.5926,0.5769,0.5556,1.0,0.5833,0.5172,0.5556,0.7333,0.56,0.6154,0.5769
1.0,0.5789,0.6316,0.6667,1.0,0.619,0.6087,0.6364,0.6875,0.6,0.6316,0.6667
0.7143,0.5789,0.5556,0.5294,0.6667,0.5625,0.5882,0.5625,0.7273,0.5,0.6429,0.625
1.0,0.5714,0.5556,0.5833,0.8889,0.6316,0.5652,0.5652,0.75,0.6,0.6316,0.5556
0.6,0.5,0.55,0.5882,0.6,0.6,0.5714,0.55,0.5556,0.5556,0.4783,0.4286
0.7778,0.5833,0.5185,0.5185,0.875,0.5185,0.5185,0.5385,0.8462,0.5455,0.6087,0.4583
0.7143,0.7059,0.65,0.7368,0.7143,0.7222,0.6875,0.6667,0.8333,0.5556,0.6667,0.75
1.0,0.5652,0.4615,0.5556,1.0,0.5217,0.5217,0.52,0.6667,0.6111,0.619,0.6364
1.0,0.6667,0.6316,0.7143,1.0,0.6923,0.6667,0.6429,1.0,0.5625,0.6316,0.6923
0.9091,0.6364,0.5556,0.6087,0.9091,0.7143,0.625,0.6818,0.7333,0.625,0.5455,0.5833
1.0,0.4762,0.5,0.5,0.875,0.5455,0.4615,0.44,0.8182,0.4545,0.4444,0.4348
1.0,0.6842,0.6087,0.5833,1.0,0.5652,0.6364,0.625,0.625,0.7368,0.6364,0.7368
0.75,0.4444,0.3265,0.4444,0.8,0.4483,0.4286,0.4571,0.5714,0.55,0.5556,0.48
1.0,0.6842,0.6842,0.7,1.0,0.6842,0.6842,0.6316,0.7692,0.7222,0.8,0.7
1.0,0.625,0.6522,0.6667,1.0,0.7059,0.5152,0.6154,1.0,0.5652,0.55,0.7059
0.6667,0.48,0.4571,0.4348,0.6667,0.4762,0.4444,0.4348,0.5,0.4231,0.5185,0.4231
0.8,0.6842,0.3696,0.6364,0.8,0.6667,0.3778,0.5714,0.8571,0.6429,0.6,0.6316
0.8333,0.4762,0.4211,0.4444,0.8,0.4737,0.45,0.4286,0.7778,0.6667,0.4211,0.7059
1.0,0.6875,0.65,0.7059,1.0,0.6923,0.625,0.7333,1.0,0.5882,0.7333,0.5333
0.8333,0.6667,0.5862,0.625,0.8333,0.7143,0.6818,0.6818,0.7143,0.5769,0.6,0.7273
0.875,0.7,0.4043,0.5926,1.0,0.6818,0.5333,0.5926,0.8182,0.6522,0.5833,0.625
1.0,0.5,0.5333,0.625,1.0,0.6154,0.5714,0.5714,0.7,0.6667,0.5789,0.6429
