Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.4167,1.0,1.0,1.0,0.4167,1.0,1.0,1.0,0.5417,0.9583,0.9583,0.9167
0.32,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.64,0.76,1.0,0.84
0.36,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.68,0.84,0.88,0.8
0.6,0.92,0.92,0.92,0.56,0.92,1.0,0.92,0.68,0.88,0.96,0.92
0.4167,1.0,1.0,1.0,0.375,1.0,1.0,1.0,0.625,0.75,0.875,0.8333
0.4583,1.0,1.0,1.0,0.5417,1.0,1.0,1.0,0.7083,0.9583,0.9583,0.9583
0.5417,1.0,1.0,1.0,0.5417,1.0,1.0,1.0,0.6667,0.9583,1.0,0.9583
0.4583,1.0,1.0,1.0,0.4583,1.0,1.0,1.0,0.5417,0.875,0.9167,0.875
0.4167,1.0,1.0,1.0,0.4583,1.0,1.0,1.0,0.375,0.875,0.8333,0.75
0.4583,1.0,0.9583,1.0,0.5417,1.0,0.9583,1.0,0.625,0.875,0.9167,0.8333
0.2917,1.0,1.0,1.0,0.375,1.0,1.0,1.0,0.375,0.9167,0.9167,0.9583
0.4,1.0,1.0,1.0,0.52,1.0,1.0,1.0,0.52,0.84,0.96,0.72
0.36,1.0,1.0,1.0,0.28,1.0,1.0,1.0,0.44,0.84,1.0,0.92
0.4,1.0,1.0,1.0,0.56,1.0,1.0,1.0,0.68,0.88,0.96,0.88
0.4167,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.4583,0.9583,0.9583,0.875
0.5417,1.0,1.0,0.9167,0.5833,1.0,1.0,0.9167,0.8333,0.9167,1.0,0.9167
0.5,0.8333,1.0,0.875,0.5,0.875,0.875,0.875,0.5,0.7083,0.75,0.75
0.4583,1.0,1.0,1.0,0.4583,1.0,1.0,1.0,0.5833,0.8333,1.0,0.9583
0.5,1.0,1.0,1.0,0.625,1.0,1.0,1.0,0.5417,0.875,0.875,0.7917
0.25,1.0,0.9583,1.0,0.3333,1.0,0.9583,1.0,0.5833,0.8333,0.9583,0.9167
0.4583,1.0,0.9583,1.0,0.5,1.0,0.9583,1.0,0.5417,0.9167,0.9583,0.8333
0.56,1.0,1.0,1.0,0.56,1.0,1.0,1.0,0.6,0.84,1.0,0.72
0.48,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.6,0.96,1.0,0.84
0.56,1.0,1.0,1.0,0.56,1.0,1.0,1.0,0.64,0.8,1.0,0.88
0.3333,1.0,1.0,1.0,0.4583,1.0,1.0,1.0,0.4167,0.9167,0.8333,0.75
0.4167,1.0,1.0,1.0,0.4167,1.0,1.0,1.0,0.5833,0.875,0.9167,0.875
0.4167,1.0,1.0,1.0,0.4167,1.0,1.0,1.0,0.5,0.9167,0.9583,0.875
0.375,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5417,0.8333,0.9167,0.9167
0.5,1.0,1.0,1.0,0.4583,1.0,1.0,1.0,0.6667,0.9167,0.9583,0.9167
0.4583,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,0.6667,0.8333,0.875,0.8333
0.4583,1.0,1.0,1.0,0.4583,1.0,1.0,1.0,0.5833,0.9583,0.875,0.9167
0.48,1.0,1.0,0.84,0.44,1.0,1.0,0.84,0.6,0.96,0.92,0.96
0.32,1.0,1.0,1.0,0.32,1.0,1.0,1.0,0.64,0.88,0.96,0.84
0.48,1.0,1.0,1.0,0.64,1.0,1.0,1.0,0.68,0.96,1.0,0.88
0.5417,1.0,1.0,1.0,0.5417,1.0,1.0,1.0,0.75,0.9167,1.0,0.875
0.5417,1.0,1.0,1.0,0.4583,1.0,1.0,1.0,0.5833,0.9167,0.8333,0.875
0.3333,1.0,1.0,1.0,0.375,1.0,1.0,1.0,0.6667,1.0,0.9583,0.9167
0.5417,1.0,0.9583,1.0,0.5,1.0,0.9583,1.0,0.625,0.7917,0.875,0.9167
0.375,1.0,1.0,1.0,0.375,1.0,1.0,1.0,0.5,0.7083,0.9583,0.75
0.375,1.0,1.0,1.0,0.4583,1.0,1.0,1.0,0.4167,0.8333,0.9167,0.9167
0.375,1.0,1.0,1.0,0.375,1.0,1.0,1.0,0.5,0.9167,0.875,0.9583
0.36,1.0,1.0,1.0,0.36,1.0,1.0,1.0,0.56,0.84,0.88,0.88
0.32,1.0,1.0,1.0,0.36,1.0,1.0,1.0,0.76,0.88,0.92,0.92
0.32,1.0,1.0,1.0,0.32,1.0,1.0,1.0,0.52,1.0,0.92,1.0
0.5,1.0,1.0,1.0,0.4583,1.0,1.0,1.0,0.5417,0.75,0.9583,0.7083
0.5833,0.9167,0.9583,0.9167,0.5833,0.9167,0.9583,0.9167,0.625,0.9167,0.875,0.8333
0.5,1.0,1.0,1.0,0.5833,1.0,1.0,1.0,0.5417,0.8333,1.0,0.9167
0.625,1.0,1.0,1.0,0.5833,1.0,1.0,1.0,0.6667,0.7917,1.0,0.7917
0.4167,1.0,1.0,0.8333,0.5417,1.0,1.0,0.9583,0.625,0.7917,0.875,0.7917
0.5833,1.0,1.0,1.0,0.5833,1.0,1.0,1.0,0.625,0.9167,1.0,0.7083
0.3333,1.0,1.0,1.0,0.4167,1.0,1.0,1.0,0.5417,0.8333,0.875,0.75
0.48,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.68,0.88,0.84,0.92
0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,0.76,0.96,0.76
0.32,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.64,0.96,0.96,0.8
