Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.5625,0.8125,0.875,0.75,0.5625,0.8125,0.875,0.8125,0.5625,0.75,0.75,0.6875
0.3125,0.5625,0.5625,0.5625,0.375,0.4375,0.5625,0.5625,0.4375,0.5,0.5625,0.5
0.375,0.625,0.75,0.6875,0.3125,0.75,0.75,0.75,0.3125,0.5625,0.625,0.375
0.5333,0.6,0.6667,0.6667,0.4667,0.6667,0.6667,0.7333,0.5333,0.4,0.5333,0.6667
0.6667,0.8667,0.9333,0.8667,0.6,0.8667,0.9333,0.8667,0.6667,0.6667,0.8667,0.6667
0.375,0.75,0.75,0.8125,0.4375,0.75,0.75,0.75,0.5625,0.6875,0.6875,0.625
0.5625,0.625,0.75,0.6875,0.5,0.6875,0.75,0.75,0.625,0.6875,0.75,0.625
0.4375,0.5625,0.5625,0.625,0.4375,0.5625,0.5625,0.5,0.5,0.5625,0.625,0.6875
0.5,0.5625,0.625,0.75,0.375,0.6875,0.75,0.6875,0.375,0.5625,0.6875,0.625
0.25,0.625,0.625,0.625,0.25,0.625,0.75,0.625,0.5,0.5625,0.4375,0.375
0.5,0.5625,0.5625,0.625,0.5625,0.5625,0.5625,0.5625,0.375,0.5,0.6875,0.4375
0.4375,0.75,0.75,0.6875,0.3125,0.75,0.8125,0.75,0.4375,0.5625,0.8125,0.5
0.4375,0.75,0.8125,0.75,0.5625,0.75,0.75,0.75,0.625,0.625,0.6875,0.6875
0.625,0.5,0.875,0.6875,0.5,0.6875,0.8125,0.6875,0.5625,0.5,0.8125,0.5625
0.3125,0.5625,0.6875,0.625,0.375,0.625,0.625,0.625,0.3125,0.4375,0.4375,0.375
0.25,0.375,0.6875,0.4375,0.25,0.375,0.5625,0.375,0.25,0.4375,0.625,0.375
0.4375,0.6875,0.75,0.6875,0.375,0.6875,0.625,0.6875,0.5625,0.625,0.625,0.625
0.4375,0.625,0.625,0.5625,0.5,0.625,0.6875,0.5625,0.375,0.5,0.625,0.4375
0.6,0.8,0.8,0.8,0.6,0.8,0.8,0.8,0.6667,0.6667,0.7333,0.5333
0.3333,0.6667,0.6667,0.6667,0.4667,0.6667,0.6667,0.6667,0.4667,0.6667,0.6667,0.6
0.5,0.5625,0.625,0.625,0.4375,0.625,0.75,0.6875,0.625,0.5,0.6875,0.625
0.5,0.5,0.5625,0.5625,0.5,0.5,0.5625,0.5625,0.5,0.625,0.5625,0.4375
0.25,0.5625,0.5625,0.625,0.25,0.4375,0.625,0.6875,0.4375,0.3125,0.4375,0.6875
0.6667,0.8667,0.8667,0.8667,0.5333,0.8667,0.8667,0.8667,0.7333,0.7333,0.8667,0.8
0.2,0.7333,0.8667,0.7333,0.4,0.8,0.8667,0.6667,0.2667,0.4,0.6,0.5333
0.5,0.5625,0.6875,0.75,0.375,0.6875,0.6875,0.75,0.5,0.4375,0.5625,0.5625
0.375,0.6875,0.6875,0.6875,0.375,0.6875,0.6875,0.6875,0.4375,0.625,0.75,0.4375
0.625,0.6875,0.8125,0.625,0.6875,0.6875,0.8125,0.6875,0.5625,0.6875,0.8125,0.375
0.625,0.9375,0.9375,0.9375,0.5,0.75,0.9375,0.875,0.6875,0.875,0.875,0.875
0.3125,0.5625,0.75,0.5625,0.3125,0.625,0.625,0.625,0.5,0.5,0.5625,0.4375
0.4375,0.875,0.9375,0.8125,0.3125,0.75,0.8125,0.8125,0.625,0.625,0.5625,0.6875
0.375,0.625,0.625,0.5625,0.25,0.625,0.625,0.625,0.4375,0.5,0.5625,0.5
0.3125,0.5,0.4375,0.5,0.1875,0.4375,0.4375,0.5,0.3125,0.3125,0.5,0.375
0.4,0.5333,0.6,0.4667,0.3333,0.6,0.6,0.6,0.2667,0.5333,0.5333,0.4667
0.4667,0.6,0.6,0.6,0.5333,0.6,0.6,0.6,0.4,0.6,0.6667,0.3333
0.4375,0.5625,0.5625,0.625,0.4375,0.625,0.625,0.5625,0.4375,0.5,0.875,0.6875
0.375,0.5,0.5625,0.5625,0.3125,0.6875,0.6875,0.5625,0.4375,0.4375,0.5625,0.625
0.75,0.9375,1.0,0.9375,0.6875,1.0,1.0,0.9375,0.8125,0.75,0.875,0.9375
0.5,0.625,0.75,0.625,0.625,0.625,0.625,0.625,0.5625,0.625,0.6875,0.5
0.4375,0.5,0.5625,0.5,0.5,0.5625,0.5,0.5,0.375,0.4375,0.625,0.5625
0.5625,0.6875,0.75,0.6875,0.5,0.6875,0.75,0.6875,0.6875,0.5625,0.5625,0.625
0.25,0.75,0.6875,0.8125,0.25,0.6875,0.8125,0.75,0.4375,0.5,0.6875,0.5
0.375,0.5625,0.5625,0.5625,0.3125,0.5625,0.5625,0.5625,0.375,0.5,0.6875,0.5625
0.375,0.5625,0.6875,0.5625,0.3125,0.5,0.625,0.5625,0.375,0.4375,0.4375,0.5
0.375,0.5625,0.6875,0.4375,0.25,0.5625,0.5625,0.4375,0.375,0.5,0.625,0.375
0.3125,0.625,0.5625,0.5,0.3125,0.5625,0.5625,0.5,0.4375,0.4375,0.5625,0.625
0.5,0.875,0.8125,0.625,0.5,0.625,0.625,0.5625,0.5,0.625,0.625,0.625
0.5,0.875,0.875,0.8125,0.5,0.75,0.8125,0.8125,0.5,0.625,0.6875,0.6875
0.4667,0.8,0.6667,0.7333,0.5333,0.7333,0.6667,0.6667,0.5333,0.7333,0.6,0.6667
0.4667,0.9333,0.8,0.8667,0.4,0.7333,0.9333,0.8667,0.4667,0.7333,0.8667,0.5333
0.625,0.6875,0.6875,0.6875,0.625,0.6875,0.75,0.75,0.625,0.625,0.8125,0.6875
0.5,0.625,0.625,0.625,0.5,0.625,0.625,0.625,0.5,0.5,0.5,0.5
0.375,0.4375,0.5,0.5625,0.375,0.5,0.5625,0.5,0.5625,0.4375,0.5625,0.6875
0.375,0.5625,0.5,0.5625,0.4375,0.625,0.5625,0.5625,0.5,0.4375,0.6875,0.5625
0.25,0.625,0.8125,0.5625,0.25,0.6875,0.75,0.625,0.25,0.5625,0.5625,0.4375
0.5,0.625,0.75,0.6875,0.5625,0.6875,0.6875,0.6875,0.5,0.625,0.5625,0.5
0.25,0.625,0.6875,0.625,0.1875,0.4375,0.8125,0.625,0.3125,0.375,0.5625,0.25
0.3125,0.8125,0.6875,0.8125,0.3125,0.625,0.75,0.6875,0.4375,0.6875,0.6875,0.6875
0.6,0.7333,0.6667,0.8,0.6,0.7333,0.7333,0.8,0.8,0.7333,0.7333,0.7333
0.4667,0.7333,0.8,0.8,0.5333,0.8667,0.8,0.8667,0.4667,0.5333,0.6667,0.6
0.5,0.75,0.75,0.6875,0.4375,0.6875,0.75,0.6875,0.625,0.6875,0.8125,0.5625
0.5625,0.625,0.6875,0.6875,0.5,0.5625,0.75,0.625,0.4375,0.4375,0.5,0.375
0.4375,0.5625,0.6875,0.625,0.375,0.5625,0.6875,0.5625,0.375,0.5625,0.5,0.5
0.25,0.5625,0.625,0.5625,0.375,0.5625,0.625,0.5625,0.4375,0.5625,0.5625,0.625
0.625,0.625,0.75,0.625,0.5625,0.625,0.75,0.625,0.625,0.75,0.625,0.6875
0.25,0.8125,0.875,0.6875,0.3125,0.75,0.875,0.75,0.25,0.5,0.625,0.5
0.3125,0.5,0.5625,0.5625,0.1875,0.5,0.5625,0.5625,0.3125,0.4375,0.4375,0.5625
0.25,0.625,0.625,0.5625,0.25,0.625,0.6875,0.5625,0.5,0.75,0.6875,0.4375
0.6,0.9333,0.9333,0.8667,0.6,0.9333,0.9333,0.8667,0.6667,0.8,0.8667,0.7333
0.4667,0.8,0.8,0.8667,0.4667,0.8,0.8,0.8,0.6,0.7333,0.4667,0.5333
0.625,0.8125,1.0,0.8125,0.5625,0.875,0.875,0.8125,0.75,0.75,0.75,0.6875
0.5625,0.75,0.8125,0.75,0.5625,0.75,0.75,0.75,0.5625,0.5625,0.75,0.6875
0.375,0.375,0.5,0.4375,0.375,0.375,0.5625,0.4375,0.375,0.5625,0.5,0.4375
0.3333,0.5333,0.6,0.6,0.4,0.6,0.6,0.6,0.3333,0.4667,0.6,0.5333
0.4,0.4667,0.5333,0.4667,0.4,0.4667,0.5333,0.4667,0.3333,0.4667,0.4667,0.4667
0.3125,0.5,0.625,0.625,0.375,0.5,0.5,0.625,0.4375,0.5625,0.25,0.5
0.5,0.8125,0.6875,0.8125,0.5625,0.6875,0.6875,0.75,0.625,0.625,0.6875,0.625
0.5625,0.8125,0.8125,0.8125,0.4375,0.6875,0.6875,0.6875,0.5,0.5625,0.6875,0.5625
0.5,0.6875,0.8125,0.8125,0.5,0.8125,0.8125,0.8125,0.6875,0.6875,0.625,0.6875
0.5,0.6875,0.75,0.625,0.4375,0.6875,0.8125,0.625,0.5625,0.5625,0.625,0.6875
0.5625,0.625,0.75,0.6875,0.625,0.75,0.75,0.6875,0.5,0.5625,0.75,0.5625
0.4375,0.5625,0.6875,0.625,0.4375,0.625,0.6875,0.625,0.3125,0.3125,0.5,0.5625
0.4375,0.5625,0.8125,0.5625,0.5,0.625,0.75,0.6875,0.4375,0.6875,0.625,0.5625
0.375,0.4375,0.4375,0.5625,0.3125,0.4375,0.5625,0.4375,0.375,0.5625,0.5625,0.5625
0.375,0.625,0.625,0.6875,0.3125,0.5,0.6875,0.5,0.4375,0.375,0.625,0.4375
0.375,0.5,0.5625,0.5625,0.3125,0.5625,0.625,0.5625,0.3125,0.5,0.625,0.375
0.5,0.75,0.875,0.8125,0.5,0.8125,0.875,0.8125,0.4375,0.625,0.625,0.5625
0.4375,0.6875,0.8125,0.6875,0.375,0.6875,0.75,0.6875,0.5625,0.5625,0.625,0.5625
0.6,0.8,0.8,0.7333,0.4667,0.8,0.8,0.7333,0.6,0.6667,0.6667,0.6
0.4667,0.6667,0.6667,0.7333,0.4,0.7333,0.7333,0.6667,0.5333,0.6667,0.6667,0.6667
0.5625,0.6875,0.625,0.6875,0.5,0.6875,0.6875,0.6875,0.625,0.75,0.6875,0.75
0.4375,0.625,0.6875,0.75,0.375,0.6875,0.75,0.6875,0.5625,0.6875,0.4375,0.5625
0.5625,0.75,0.75,0.6875,0.5,0.6875,0.75,0.625,0.625,0.5,0.8125,0.625
0.4667,0.6667,0.8,0.7333,0.4,0.7333,0.8,0.7333,0.4667,0.4667,0.4667,0.5333
0.3333,0.5333,0.6,0.6,0.4667,0.4667,0.6,0.5333,0.3333,0.5333,0.4667,0.5333
0.5,0.6875,0.75,0.6875,0.5625,0.625,0.75,0.6875,0.4375,0.5,0.625,0.5625
0.4375,0.6875,0.75,0.8125,0.4375,0.6875,0.8125,0.8125,0.5625,0.8125,0.6875,0.6875
0.375,0.5625,0.625,0.5625,0.25,0.5625,0.5625,0.5,0.5,0.3125,0.4375,0.5
0.5625,0.6875,0.6875,0.6875,0.375,0.625,0.6875,0.75,0.5625,0.625,0.75,0.5625
0.5,0.75,0.6875,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.8125,0.6875
0.375,0.6875,0.625,0.5625,0.25,0.625,0.6875,0.625,0.4375,0.6875,0.5625,0.5
0.375,0.6875,0.8125,0.75,0.375,0.8125,0.8125,0.6875,0.5625,0.5625,0.75,0.5625
0.625,0.6875,0.75,0.75,0.5625,0.6875,0.75,0.75,0.5625,0.5625,0.625,0.375
0.6667,0.8667,0.8,0.8667,0.6667,0.8667,0.8667,0.8667,0.6,0.6667,0.8,0.6667
0.4,0.6667,0.6,0.6667,0.4667,0.6667,0.6667,0.6667,0.6,0.4,0.6667,0.4667
0.5,0.5625,0.6875,0.6875,0.5,0.625,0.6875,0.75,0.4375,0.5625,0.75,0.5625
0.5,0.6875,0.5625,0.5625,0.4375,0.5625,0.5625,0.5625,0.625,0.625,0.625,0.625
0.4375,0.6875,0.6875,0.6875,0.5,0.625,0.75,0.5625,0.4375,0.3125,0.5625,0.375
0.1875,0.625,0.5625,0.5,0.25,0.5625,0.5625,0.4375,0.5,0.5,0.5625,0.375
0.375,0.75,0.8125,0.6875,0.3125,0.75,0.75,0.8125,0.4375,0.4375,0.5625,0.5625
0.4375,0.6875,0.9375,0.875,0.4375,0.875,1.0,0.9375,0.4375,0.3125,0.75,0.75
