,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,4,22,40,21,8,23,7,16,4,1,14
ROS,4,26,44,24,10,25,8,17,5,1,16
RUS,3,19,38,19,7,21,6,16,4,1,13
Smote,13,47,143,48,22,181,22,182,19,6,68
Bag,26,107,125,78,40,100,44,62,26,8,61
ROSBag,33,142,156,100,54,125,56,69,32,10,77
RUSBag,20,76,100,54,28,88,34,61,21,7,48
SmoteBag,103,351,1154,316,178,1720,196,1722,174,57,597
Boost,204,582,606,556,88,483,317,297,121,55,330
ROSBoost,210,733,566,544,114,360,388,268,170,55,340
RUSBoost,197,733,597,519,112,341,385,252,163,55,335
SmoteBoost,374,1742,2390,2500,566,2414,723,1813,424,134,1308

