,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,14,51,129,37,38,99,22,67,24,13,49
ROS,19,74,175,60,58,118,29,75,29,16,65
RUS,7,24,67,21,16,65,12,55,14,7,28
Smote,32,109,306,99,87,301,51,263,50,24,132
Bag,111,345,940,229,305,718,169,501,198,113,362
ROSBag,180,686,1510,491,475,1032,269,649,283,172,574
RUSBag,64,126,429,87,104,503,97,430,128,77,204
SmoteBag,308,987,2887,853,743,2907,486,2636,477,251,1253
Boost,131,435,1183,507,405,791,202,790,221,141,480
ROSBoost,143,474,1300,557,386,843,221,763,222,140,504
RUSBoost,89,231,816,177,170,635,144,525,163,88,303
SmoteBoost,393,2309,6536,2805,1271,4476,706,3010,580,269,2235

