,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,13,77,403,41,30,157,30,54,15,6,82
ROS,29,258,500,261,92,202,63,55,21,8,148
RUS,7,23,52,25,10,52,12,31,8,3,22
Smote,30,167,511,216,84,370,60,215,31,12,169
Bag,124,753,5048,310,297,1598,293,492,146,71,913
ROSBag,277,2614,4871,2489,876,2020,611,443,195,77,1447
RUSBag,56,120,247,139,53,398,90,196,53,27,137
SmoteBag,280,1567,4808,2053,825,3613,607,2023,295,116,1618
Boost,116,535,1146,488,205,980,248,334,108,48,420
ROSBoost,399,2964,1599,6401,469,1911,632,349,191,48,1496
RUSBoost,70,225,290,111,77,321,161,219,68,22,156
SmoteBoost,458,2823,2967,4970,641,3254,829,2439,345,90,1881

