@relation 'MyAnt-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute commit_hour numeric
@attribute cumulative_bug_count numeric
@attribute nd numeric
@attribute nf numeric
@attribute SEXP numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode_delta numeric
@attribute CountStmtExe_delta numeric
@attribute CountDeclmethodNamePrivate_delta numeric
@attribute s11 numeric
@attribute s13 numeric
@attribute s22 numeric
@attribute s27 numeric
@attribute s47 numeric
@attribute s58 numeric
@attribute s61 numeric
@attribute s90 numeric
@attribute s130 numeric
@attribute s178 numeric
@attribute s270 numeric
@attribute s289 numeric
@attribute s348 numeric
@attribute s456 numeric
@attribute s649 numeric
@attribute s656 numeric
@attribute s678 numeric
@attribute s703 numeric
@attribute s759 numeric
@attribute s768 numeric
@attribute s856 numeric
@attribute s1082 numeric
@attribute s1119 numeric
@attribute s1123 numeric
@attribute s1303 numeric
@attribute s1695 numeric
@attribute s1773 numeric
@attribute s1785 numeric
@attribute s1973 numeric
@attribute s1982 numeric
@attribute s1989 numeric
@attribute s2130 numeric
@attribute s2176 numeric
@attribute s2192 numeric
@attribute s2332 numeric
@attribute s2375 numeric
@attribute s2578 numeric
@attribute s2978 numeric
@attribute s3490 numeric
@attribute s3554 numeric
@attribute s3794 numeric
@attribute s4204 numeric
@attribute s4733 numeric
@attribute s4982 numeric
@attribute s4994 numeric
@attribute s5053 numeric
@attribute s5182 numeric
@attribute s5305 numeric
@attribute s5531 numeric
@attribute s5575 numeric
@attribute s6876 numeric
@attribute s7684 numeric
@attribute bug_introducing {0,1}

@data
13,20,1,1,634,0.46,1,2,0,0,141,56,1,4,0,5,2,20,13,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,9,3,14,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,2,1,2,578,4,0,0,0,0,111,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,1,2,578,0.49,1,10,0,0,171,77,1,4,0,1,4,18,31,0,0,0,0,0,0,2,0,0,5,0,8,0,0,0,0,0,0,0,1,12,0,21,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,1,635,1.63,1,2,0,0,121,151,1,12,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,1,1,397,1.4,0,0,0,0,121,61,1,0,0,0,4,5,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,20,1,1,636,0.46,0,0,0,0,141,53,1,4,0,5,4,20,13,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,9,3,14,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,1,637,4.81,0,0,0,0,121,48,1,12,1,0,14,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,2,2,4,580,0.75,0,7,0,0,131,617,1,0,0,0,2,26,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,2,4,580,5.04,0,0,0,0,1,638,1,3,0,0,2,217,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,2,4,580,1.14,-1,-2,0,0,1,646,1,3,0,0,14,211,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,16,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,2,4,580,1.07,1,10,0,0,1,659,1,3,0,0,4,212,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,2,1,1,584,1.07,0,0,0,0,1,156,1,3,0,0,4,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,3,638,2.65,0,0,0,0,111,32,1,13,1,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,9,1,3,638,2.32,0,0,0,0,1171,54,1,11,1,4,4,19,2,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,3,8,0,10,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,1,3,638,1.04,0,0,0,0,131,19,1,1,1,0,2,5,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,1,2,641,0.84,0,0,0,0,151,134,1,14,0,1,14,6,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,9,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,1,2,641,0.67,1,9,1,0,151,144,1,14,0,0,16,8,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,9,1,1,643,2.32,0,0,0,0,1171,52,1,1,0,4,4,19,12,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,3,8,0,10,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,2,3,644,0.73,7,90,2,0,181,232,1,14,1,0,10,82,36,0,2,8,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,4,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,1,2,3,644,1.71,5,10,0,0,1141,144,1,12,1,2,14,18,46,0,0,6,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,8,0,2,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,1,2,3,644,0.72,6,12,0,0,131,22,1,1,1,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,1,1,647,0.85,13,52,1,0,121,92,1,0,0,0,10,12,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
