@relation 'MyFlink-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute cumulative_bug_count numeric
@attribute changed_LOC numeric
@attribute AGE numeric
@attribute EXP numeric
@attribute CountStmtExe_delta numeric
@attribute s6 numeric
@attribute s57 numeric
@attribute s182 numeric
@attribute s239 numeric
@attribute s257 numeric
@attribute s258 numeric
@attribute s364 numeric
@attribute s565 numeric
@attribute s581 numeric
@attribute s609 numeric
@attribute s820 numeric
@attribute s1028 numeric
@attribute s1607 numeric
@attribute s1672 numeric
@attribute s2109 numeric
@attribute s2130 numeric
@attribute s2193 numeric
@attribute s3091 numeric
@attribute s3174 numeric
@attribute s4460 numeric
@attribute s5323 numeric
@attribute s6185 numeric
@attribute s6994 numeric
@attribute s7084 numeric
@attribute s8621 numeric
@attribute s9029 numeric
@attribute s9208 numeric
@attribute s9716 numeric
@attribute s11601 numeric
@attribute s11966 numeric
@attribute s12063 numeric
@attribute s12502 numeric
@attribute s12679 numeric
@attribute s12787 numeric
@attribute s13056 numeric
@attribute s15946 numeric
@attribute s16702 numeric
@attribute s16784 numeric
@attribute s18842 numeric
@attribute s19322 numeric
@attribute s20288 numeric
@attribute s20573 numeric
@attribute s20574 numeric
@attribute bug_introducing {0,1}

@data
14,12,13898,1434,5,11,0,0,0,0,0,0,0,0,2,4,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,67004,1435,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,9728,1436,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13,15046,1436,4,1,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,17,9728,1436,75,0,0,0,0,0,2,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,32,86057,1439,292,1,0,0,0,5,0,0,0,0,0,1,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,6781,1439,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,131,0,1439,21,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,5369,1439,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,6065,1439,0,11,0,0,0,0,0,0,0,0,2,2,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
