@relation 'MyJedit-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 200 -T 0-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 60 -T 0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 60 -T 0'

@attribute cumulative_bug_count numeric
@attribute change_log_length numeric
@attribute changed_LOC numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute CountLineCodeExe_delta numeric
@attribute AvgLine_delta numeric
@attribute CountDeclInstanceVariable_delta numeric
@attribute CountStmtExe_delta numeric
@attribute CountLineComment_delta numeric
@attribute CountDeclInstancemethodName_delta numeric
@attribute CountDeclmethodName_delta numeric
@attribute CountLineBlank_delta numeric
@attribute SumEssential_delta numeric
@attribute SumCyclomaticStrict_delta numeric
@attribute AvgLineBlank_delta numeric
@attribute s13 numeric
@attribute s29 numeric
@attribute s70 numeric
@attribute s91 numeric
@attribute s98 numeric
@attribute s139 numeric
@attribute s145 numeric
@attribute s200 numeric
@attribute s219 numeric
@attribute s259 numeric
@attribute s262 numeric
@attribute s263 numeric
@attribute s264 numeric
@attribute s266 numeric
@attribute s269 numeric
@attribute s334 numeric
@attribute s390 numeric
@attribute s639 numeric
@attribute s701 numeric
@attribute s788 numeric
@attribute s859 numeric
@attribute s909 numeric
@attribute s910 numeric
@attribute s1092 numeric
@attribute s1520 numeric
@attribute s1736 numeric
@attribute s2159 numeric
@attribute s2473 numeric
@attribute s2752 numeric
@attribute s3313 numeric
@attribute s3871 numeric
@attribute s4914 numeric
@attribute s5303 numeric
@attribute s6036 numeric
@attribute s6336 numeric
@attribute s6363 numeric
@attribute s6569 numeric
@attribute s6949 numeric
@attribute s7559 numeric
@attribute s9135 numeric
@attribute s9227 numeric
@attribute s9439 numeric
@attribute s11467 numeric
@attribute bug_introducing {0,1}

@data
46,165,17,22,0.24,6,0,0,4,2,1,1,1,1,3,0,1,42,0,0,0,0,0,0,1,2,0,0,1,0,0,23,0,2,4,23,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,165,28,26,0.21,11,-2,0,5,7,2,2,2,2,4,0,1,26,0,0,0,0,0,0,0,1,0,0,1,0,0,16,0,0,0,0,2,11,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,147,1,22,0.23,1,0,0,1,0,0,0,0,0,1,0,1,42,0,0,0,0,0,0,1,2,0,0,1,0,0,21,0,2,4,23,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,147,21,28,0.2,11,2,0,6,0,0,0,1,0,4,0,1,25,0,0,0,0,0,0,0,1,0,0,1,0,0,14,0,0,0,0,2,14,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,187,23,54,0.17,-4,-1,0,-4,0,0,0,-1,0,-1,0,1,122,0,0,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,187,17,22,0.23,2,0,0,0,0,0,0,0,0,0,0,1,142,0,0,0,0,0,0,1,2,0,0,1,0,0,21,0,2,4,23,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,187,4,28,0.2,2,0,0,1,0,0,0,0,0,0,0,1,125,0,0,0,0,0,0,0,1,0,0,1,0,0,14,0,0,0,0,2,12,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,187,9,66,0.27,6,1,0,3,0,0,0,1,1,1,0,1,118,0,0,1,1,0,0,1,1,0,0,1,0,0,18,0,0,0,0,2,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,187,10,19,0.38,0,0,0,0,-4,-1,-1,-2,-1,-1,0,1,186,0,0,1,691,0,0,4,5,0,0,3,0,0,225,0,8,0,0,2,70,1,0,3,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,176,37,8,1.18,5,0,0,4,24,2,2,2,2,2,0,1,20,0,0,0,0,0,0,0,1,0,0,1,0,0,14,0,0,0,0,1,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,176,36,36,0.27,21,5,0,11,0,0,0,8,5,10,2,1,7,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,3,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,176,128,19,0.23,17,-3,-1,5,8,7,7,-1,4,4,-1,1,54,0,0,0,0,0,0,1,2,0,0,1,0,0,33,0,2,4,23,2,8,1,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,176,30,19,0.35,0,0,0,0,-2,-1,0,-2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,176,3,20,0.23,0,0,0,0,0,0,0,0,0,0,0,1,73,0,0,4,0,0,0,2,2,0,0,1,0,0,47,0,2,0,2,2,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,176,105,26,0.47,30,-4,0,21,36,0,3,6,7,9,-1,1,9,0,0,0,2,0,0,0,2,0,0,0,0,0,17,0,2,0,0,2,2,1,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
