@relation 'MyLucene-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute commit_hour numeric
@attribute cumulative_bug_count numeric
@attribute change_log_length numeric
@attribute changed_LOC numeric
@attribute nd numeric
@attribute entropy numeric
@attribute la numeric
@attribute AGE {7938632.0,138.0,9707.0,8300.0,3937699.0,243437.0,243505.0,259621.0,2.8470231E7,242.0,582042.0,93843.0,0.0,2335332.0,1064838.0,712043.0,2276333.0,961875.0,4451746.0,774853.0,6931638.0,431175.0,5287162.0,5286572.0,1.2041838E7,4760979.0,2113213.0,1575119.0,4290911.0,2868435.0,4703288.0,544814.0,3254401.0,1283829.0,3491681.0,null}
@attribute CountDeclClassVariable_delta numeric
@attribute CountSemicolon_delta numeric
@attribute CountDeclmethodNameDefault_delta numeric
@attribute SumCyclomaticModified_delta numeric
@attribute CountLineCodeDecl_delta numeric
@attribute CountLineCode_delta numeric
@attribute CountDeclInstancemethodName_delta numeric
@attribute CountLineBlank_delta numeric
@attribute CountLine_delta numeric
@attribute CountDeclClassmethodName_delta numeric
@attribute CountDeclmethodNamePrivate_delta numeric
@attribute CountDeclmethodNamePublic_delta numeric
@attribute CountDeclClass_delta numeric
@attribute CountDeclmethodNameProtected_delta numeric
@attribute CountStmt_delta numeric
@attribute s13 numeric
@attribute s18 numeric
@attribute s46 numeric
@attribute s50 numeric
@attribute s75 numeric
@attribute s94 numeric
@attribute s112 numeric
@attribute s118 numeric
@attribute s145 numeric
@attribute s162 numeric
@attribute s174 numeric
@attribute s252 numeric
@attribute s263 numeric
@attribute s286 numeric
@attribute s319 numeric
@attribute s344 numeric
@attribute s370 numeric
@attribute s394 numeric
@attribute s418 numeric
@attribute s423 numeric
@attribute s464 numeric
@attribute s487 numeric
@attribute s500 numeric
@attribute s562 numeric
@attribute s569 numeric
@attribute s620 numeric
@attribute s755 numeric
@attribute s768 numeric
@attribute s782 numeric
@attribute s783 numeric
@attribute s792 numeric
@attribute s980 numeric
@attribute s1095 numeric
@attribute s1262 numeric
@attribute s1267 numeric
@attribute s1275 numeric
@attribute s1277 numeric
@attribute s1306 numeric
@attribute s1308 numeric
@attribute s1351 numeric
@attribute s1420 numeric
@attribute s1427 numeric
@attribute s1631 numeric
@attribute s1733 numeric
@attribute s2030 numeric
@attribute s2218 numeric
@attribute s2245 numeric
@attribute s2584 numeric
@attribute s2959 numeric
@attribute s2984 numeric
@attribute s3207 numeric
@attribute s3266 numeric
@attribute s3336 numeric
@attribute s3719 numeric
@attribute s4101 numeric
@attribute s5029 numeric
@attribute s5652 numeric
@attribute s6776 numeric
@attribute s6826 numeric
@attribute s6890 numeric
@attribute s6960 numeric
@attribute s7053 numeric
@attribute s7068 numeric
@attribute s7237 numeric
@attribute s7729 numeric
@attribute s9832 numeric
@attribute bug_introducing {0,1}

@data
19,5,163,60,1,0,48,7938632.0,0,10,0,5,5,24,3,2,36,0,3,0,0,0,15,1,141,0,0,0,8,3,0,1,36,4,15,0,0,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,11,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,6,154,2,1,0,1,138.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,241,0,0,0,7,3,0,1,29,3,15,0,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,11,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,3,170,15,1,0,0,9707.0,0,-7,0,-3,-4,-13,-1,-2,-15,0,0,-1,0,0,-10,1,111,0,0,0,4,0,0,0,12,0,21,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,18,189,2,1,0,1,8300.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2181,0,0,0,12,0,1,8,30,1,33,0,0,3,14,0,28,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16,43,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,3,217,27,1,0,19,3937699.0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,111,0,0,0,3,0,0,6,11,0,7,0,0,0,2,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,177,9,1,0,3,243437.0,0,0,0,0,-3,-3,0,1,-2,0,0,0,0,0,0,1,161,0,0,1,8,2,0,0,20,1,39,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15,183,21,1,0,11,243505.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,121,0,0,0,9,1,0,4,31,3,21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,316,38,1,0,19,259621.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,161,0,0,0,8,2,0,0,22,1,35,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,297,4,1,0,2,2.8470231E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121,0,0,0,11,1,0,5,27,0,11,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,154,4,1,0,2,242.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121,0,0,0,11,1,0,5,7,0,11,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,19,247,21,1,0,13,582042.0,0,1,0,2,0,5,0,0,5,0,0,0,0,0,3,1,1161,0,0,0,12,0,1,8,34,1,33,0,0,3,14,0,30,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,38,57,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,20,155,25,1,0,15,93843.0,0,0,0,0,0,3,0,2,5,0,0,0,0,0,0,1,1181,0,0,0,12,0,1,8,40,1,33,0,0,3,14,0,28,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,21,48,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1,162,135,1,0.789636,135,0.0,2,15,0,7,22,27,7,18,135,0,0,7,2,0,18,1,121,0,0,0,28,0,0,2,16,0,126,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1,162,378,1,0.789636,378,0.0,0,146,6,58,79,281,14,33,378,0,0,8,2,0,211,1,1101,0,0,0,12,2,0,2,76,14,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,22,14,0,4,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,4,162,8,1,0.789636,6,2335332.0,0,4,0,4,0,4,0,0,4,0,0,0,0,0,8,1,111,0,0,0,9,0,0,8,30,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
