@relation 'MyTomcat-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 200 -T 0-weka.filters.unsupervised.attribute.Remove-R1'

@attribute cumulative_bug_count numeric
@attribute change_log_length numeric
@attribute changed_LOC numeric
@attribute CountDeclmethodName_delta numeric
@attribute CountDeclClassVariable_delta numeric
@attribute AvgLineCode_delta numeric
@attribute CountDeclmethodNameProtected_delta numeric
@attribute CountLine_delta numeric
@attribute CountStmt_delta numeric
@attribute CountLineComment_delta numeric
@attribute CountLineBlank_delta numeric
@attribute CountLineCodeExe_delta numeric
@attribute CountStmtExe_delta numeric
@attribute CountLineCode_delta numeric
@attribute s26 numeric
@attribute s29 numeric
@attribute s128 numeric
@attribute s249 numeric
@attribute s289 numeric
@attribute s321 numeric
@attribute s442 numeric
@attribute s498 numeric
@attribute s615 numeric
@attribute s641 numeric
@attribute s777 numeric
@attribute s862 numeric
@attribute s867 numeric
@attribute s981 numeric
@attribute s1097 numeric
@attribute s1133 numeric
@attribute s1197 numeric
@attribute s1201 numeric
@attribute s1375 numeric
@attribute s1659 numeric
@attribute s1941 numeric
@attribute s1951 numeric
@attribute s2233 numeric
@attribute s2603 numeric
@attribute s2698 numeric
@attribute s2987 numeric
@attribute s3139 numeric
@attribute s3158 numeric
@attribute s3586 numeric
@attribute s3761 numeric
@attribute s3821 numeric
@attribute s6023 numeric
@attribute s7477 numeric
@attribute bug_introducing {0,1}

@data
8,312,4,1,0,0,0,4,2,0,1,1,1,3,1,1,2,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,312,120,6,0,0,-1,16,27,-7,-5,16,7,27,11,1,3,48,3,35,0,0,0,2,1,1,0,0,0,0,0,0,8,0,31,25,0,0,0,0,0,0,0,0,0,0,0,1
32,224,89,2,0,0,0,5,10,-2,-1,9,4,8,1,1,3,49,3,29,0,0,0,2,1,1,0,0,0,0,0,0,8,0,29,33,8,0,0,0,0,0,0,0,0,0,0,1
7,224,25,2,0,0,0,18,5,7,5,3,2,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1
7,182,5,0,0,1,0,5,2,1,1,2,1,3,0,1,1,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,313,32,0,0,1,0,29,11,5,4,15,10,20,0,1,3,40,0,18,2,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,193,19,4,0,0,0,19,10,0,5,6,6,14,0,1,2,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,193,16,4,0,0,0,14,10,6,2,6,4,6,1,1,3,46,3,24,0,0,0,2,1,1,0,0,0,0,0,0,8,0,29,28,4,0,0,0,0,0,0,0,0,0,0,0
32,141,6,0,0,0,0,0,1,2,0,0,1,0,1,1,3,48,3,24,0,0,0,2,1,1,0,0,0,0,0,0,8,0,29,28,4,0,0,0,0,0,0,0,0,0,0,0
33,164,4,0,0,0,0,0,0,0,0,0,0,0,1,1,3,46,3,24,0,0,0,2,1,1,0,0,0,0,0,0,8,0,29,28,4,0,0,0,0,0,0,0,0,0,0,1
34,231,49,2,0,0,1,27,21,1,0,20,18,27,1,1,3,52,3,34,0,0,0,2,1,1,0,0,0,0,0,0,8,0,31,28,4,0,0,0,0,0,0,0,0,0,0,1
