ns,nd,nf,entropy,la,ld,lt,fix,NEDV,AGE,NUC,EXP,REXP,SEXP,bug_introducing
1,1,1,0,17,9,-8,0,7,8078,29,638,13,634,1
1,1,2,0.637388,1,4,3,0,3,78633,3,578,0,578,0
1,1,2,0.637388,21,5,-16,0,7,3041,30,578,13,578,0
1,1,1,0,12,2,-10,0,3,82448,5,639,2,635,0
1,1,1,0,1,3,2,1,2,85479,6,397,4,397,0
1,1,1,0,2,1,-1,1,7,219,30,640,14,636,0
1,1,1,0,106,0,-106,0,1,0,1,641,0,637,1
1,2,4,0.929368,25,0,-25,1,5,5260,9,580,2,580,0
1,2,4,0.929368,9,0,-9,1,2,5260,3,580,1,580,0
1,2,4,0.929368,7,12,5,1,3,54190,4,580,1,580,0
1,2,4,0.929368,32,3,-29,1,2,5260,3,580,1,580,1
1,1,1,0,1,1,0,0,2,345,4,584,2,584,0
1,1,3,0.554382,0,0,0,0,1,82504,2,642,1,638,0
1,1,3,0.554382,3,11,8,0,2,82504,16,642,14,638,0
1,1,3,0.554382,17,16,-1,0,1,85926,6,642,5,638,0
1,1,2,0.303375,1,1,0,0,2,22678,13,645,9,641,0
1,1,2,0.303375,28,7,-21,0,2,10514,5,645,2,641,1
1,1,1,0,3,1,-2,0,2,74413,17,647,15,643,0
1,2,3,0.710325,528,0,-528,0,1,0,1,648,0,644,1
1,2,3,0.710325,310,0,-310,0,1,0,1,648,0,644,1
1,2,3,0.710325,25,3,-22,0,1,5286,3,648,2,644,0
1,1,1,0,254,0,-254,0,1,0,1,651,0,647,1
1,1,1,0,29,1,-28,0,5,85660,10,585,2,585,1
1,1,1,0,5,2,-3,0,4,4528,17,586,2,586,0
1,1,2,0.998636,11,0,-11,0,3,81491,5,587,2,587,1
1,1,2,0.998636,12,0,-12,0,2,351,3,587,1,587,1
1,1,1,0,1,1,0,0,12,42875,53,589,7,589,1
1,1,1,0,57,6,-51,1,3,47248,14,590,5,590,1
1,1,1,0,7,0,-7,0,1,64287,16,591,15,591,1
1,1,2,0.557561,185,9,-176,0,2,65746,9,592,5,592,1
1,1,2,0.557561,28,1,-27,0,2,65746,6,592,2,592,0
1,1,1,0,302,127,-175,0,2,73275,5,594,3,594,1
1,1,2,0.764205,13,11,-2,0,1,73929,3,595,2,595,0
1,1,2,0.764205,54,30,-24,0,1,73929,3,595,2,595,0
1,1,1,0,8,0,-8,0,6,2641,18,2,0,2,0
1,3,3,0.45263,97,9,-88,0,5,79905,10,597,3,597,1
1,3,3,0.45263,9,0,-9,0,2,74651,14,597,3,597,0
1,3,3,0.45263,8,0,-8,0,3,84814,6,597,3,597,0
1,1,1,0,14,1,-13,1,1,18129,5,600,4,600,0
1,1,1,0,0,10,10,0,3,85196,14,601,5,601,0
1,1,1,0,28,2,-26,0,6,77364,44,29,3,29,0
1,1,5,0.934402,101,0,-101,0,1,0,1,363,0,268,0
1,1,5,0.934402,140,0,-140,0,1,0,1,363,0,268,1
1,1,5,0.934402,43,0,-43,0,1,0,1,363,0,268,1
1,1,5,0.934402,43,0,-43,0,1,0,1,363,0,268,1
1,1,5,0.934402,71,0,-71,0,1,0,1,363,0,268,1
1,1,13,0.906282,87,0,-87,0,1,0,1,368,0,273,0
1,1,13,0.906282,33,0,-33,0,1,0,1,368,0,273,1
1,1,13,0.906282,96,0,-96,0,1,0,1,368,0,273,1
1,1,13,0.906282,183,0,-183,0,1,0,1,368,0,273,1
1,1,13,0.906282,32,0,-32,0,1,0,1,368,0,273,1
1,1,13,0.906282,32,0,-32,0,1,0,1,368,0,273,1
1,1,13,0.906282,32,0,-32,0,1,0,1,368,0,273,1
1,1,13,0.906282,35,0,-35,0,1,0,1,368,0,273,1
1,1,13,0.906282,32,0,-32,0,1,0,1,368,0,273,1
1,1,13,0.906282,32,0,-32,0,1,0,1,368,0,273,1
1,1,13,0.906282,32,0,-32,0,1,0,1,368,0,273,1
1,1,13,0.906282,32,0,-32,0,1,0,1,368,0,273,1
1,1,13,0.906282,33,0,-33,0,1,0,1,368,0,273,1
1,1,1,0,22,0,-22,0,1,0,1,381,0,286,1
1,1,2,0.956035,43,0,-43,0,1,0,1,382,0,287,0
1,1,2,0.956035,71,0,-71,0,1,0,1,382,0,287,0
1,1,3,0.627079,8,9,1,0,1,3702,9,384,8,289,1
1,1,3,0.627079,1,2,1,0,1,3702,6,384,5,289,0
1,1,3,0.627079,1,1,0,0,1,3702,8,384,7,289,1
1,2,9,0,3,3,0,0,1,3757,2,387,1,292,0
1,3,11,0.942103,4,3,-1,0,1,4218,3,388,2,293,0
1,3,11,0.942103,2,1,-1,0,1,0,1,388,0,293,0
1,3,11,0.942103,1,1,0,0,1,0,1,388,0,293,0
1,3,11,0.942103,2,1,-1,0,1,0,1,388,0,293,0
1,3,11,0.942103,3,1,-2,0,1,0,1,388,0,293,0
1,3,11,0.942103,1,1,0,0,1,0,1,388,0,293,0
1,3,11,0.942103,1,1,0,0,1,0,1,388,0,293,0
1,3,11,0.942103,2,2,0,0,1,4402,2,388,1,293,0
1,3,11,0.942103,3,4,1,0,1,4273,10,388,9,293,1
1,3,11,0.942103,4,4,0,0,1,4273,7,388,6,293,0
1,3,11,0.942103,1,1,0,0,1,4273,9,388,8,293,1
1,1,1,0,10,0,-10,0,6,38641,11,3,0,3,0
1,1,1,0,2,0,-2,1,4,41214,10,4,0,4,0
1,1,1,0,5,1,-4,1,2,60957,4,398,2,398,0
1,1,1,0,36,17,-19,0,2,63002,5,399,3,399,0
1,1,1,0,24,11,-13,0,6,4492,11,102,0,102,0
1,1,1,0,1,1,0,0,2,59482,6,602,3,602,0
1,1,1,0,1,1,0,0,6,31167,12,603,4,603,0
1,1,2,0.597598,24,29,5,1,2,69884,2,604,0,604,0
1,1,2,0.597598,8,1,-7,1,2,69884,2,604,0,604,0
1,1,1,0,14,5,-9,0,4,80515,18,606,3,606,0
1,1,4,0.766396,0,2,2,1,1,82127,8,607,7,607,0
1,1,4,0.766396,5,4,-1,1,2,82127,14,607,12,607,0
1,1,4,0.766396,14,6,-8,1,2,82127,14,607,12,607,0
1,1,4,0.766396,27,10,-17,1,1,17840,17,607,16,607,0
1,2,2,0.954434,6,0,-6,0,3,72654,13,611,2,611,0
1,2,2,0.954434,10,0,-10,0,2,6307,7,611,3,611,0
1,1,1,0,4,6,2,0,2,5259,8,613,4,613,0
1,1,1,0,1,1,0,0,3,77631,5,614,2,614,0
1,7,15,0.855124,0,10,10,0,3,1139,14,615,5,615,0
1,7,15,0.855124,14,5,-9,0,4,80667,18,615,3,615,0
1,7,15,0.855124,6,0,-6,0,3,80590,13,615,2,615,0
1,7,15,0.855124,28,2,-26,0,6,70515,44,615,13,615,1
1,7,15,0.855124,11,1,-10,0,6,76732,12,615,4,615,0
1,7,15,0.855124,1,1,0,0,2,76418,6,615,3,615,0
1,7,15,0.855124,0,2,2,0,1,78764,8,615,7,615,0
1,7,15,0.855124,5,4,-1,0,2,78764,14,615,12,615,0
1,7,15,0.855124,14,6,-8,0,2,78764,14,615,12,615,0
1,7,15,0.855124,14,6,-8,0,2,14243,7,615,3,615,0
1,7,15,0.855124,27,10,-17,0,1,14477,17,615,16,615,1
1,7,15,0.855124,1,1,0,0,3,79989,5,615,2,615,1
1,7,15,0.855124,24,29,5,0,2,70080,2,615,0,615,1
1,7,15,0.855124,8,1,-7,0,2,70080,2,615,0,615,1
1,7,15,0.855124,2,0,-2,0,3,83101,10,615,2,615,0
1,3,3,0.788776,5,1,-4,0,2,60621,4,630,1,630,0
1,3,3,0.788776,36,17,-19,0,2,60621,5,630,1,630,0
1,3,3,0.788776,24,11,-13,0,6,11557,13,630,5,630,0
1,1,1,0,40,6,-34,0,6,1759,14,633,6,633,0
1,1,1,0,40,6,-34,0,6,2376,13,634,5,634,0
1,1,1,0,231,69,-162,0,2,83278,4,635,1,635,0
1,1,1,0,2,2,0,0,3,85617,6,30,2,30,0
1,1,1,0,7,4,-3,0,3,10833,14,636,3,636,0
1,1,1,0,3,0,-3,0,1,2575,18,637,17,637,0
1,10,19,0.690958,5,1,-4,0,3,56535,4,0,0,0,0
1,10,19,0.690958,36,17,-19,0,3,56535,5,0,0,0,0
1,10,19,0.690958,0,10,10,0,4,83594,14,0,0,0,0
1,10,19,0.690958,14,5,-9,0,5,76722,18,0,0,0,0
1,10,19,0.690958,13,4,-9,0,4,76645,13,0,0,0,0
1,10,19,0.690958,28,2,-26,0,7,66570,44,0,0,0,0
1,10,19,0.690958,68,11,-57,0,6,77279,11,0,0,0,0
1,10,19,0.690958,1,1,0,0,3,72473,6,0,0,0,0
1,10,19,0.690958,0,2,2,0,2,74819,8,0,0,0,0
1,10,19,0.690958,5,4,-1,0,3,74819,14,0,0,0,0
1,10,19,0.690958,14,6,-8,0,3,74819,14,0,0,0,0
1,10,19,0.690958,14,6,-8,0,3,10298,7,0,0,0,0
1,10,19,0.690958,30,10,-20,0,2,10532,17,0,0,0,0
1,10,19,0.690958,2,2,0,0,4,76044,6,0,0,0,0
1,10,19,0.690958,1,1,0,0,4,76044,5,0,0,0,0
1,10,19,0.690958,24,29,5,0,2,66135,2,0,0,0,0
1,10,19,0.690958,8,1,-7,0,2,66135,2,0,0,0,0
1,10,19,0.690958,231,69,-162,0,3,76044,4,0,0,0,0
1,10,19,0.690958,2,0,-2,0,4,79156,10,0,0,0,0
1,1,1,0,4,3,-1,0,4,43538,11,652,6,648,0
1,1,1,0,4,3,-1,1,3,4078,11,653,6,649,1
1,1,1,0,1,1,0,1,1,1633,6,638,5,638,0
1,1,1,0,6,0,-6,1,3,80727,15,639,4,639,0
1,2,2,0.574636,19,0,-19,0,3,44299,15,640,6,640,0
1,2,2,0.574636,2,1,-1,0,2,2035,8,640,1,640,0
1,1,1,0,26,3,-23,1,7,36872,48,642,10,642,0
1,1,1,0,0,0,0,0,5,82370,9,5,0,5,0
2,43,313,0.474345,5,1,-4,0,3,63842,4,19,0,19,0
2,43,313,0.474345,36,17,-19,0,3,63842,5,19,0,19,0
1,5,8,0.395482,19,0,-19,0,3,40216,15,643,6,643,1
1,5,8,0.395482,26,3,-23,0,7,39252,48,643,10,643,0
1,5,8,0.395482,13,4,-9,0,3,4363,14,643,3,643,0
1,5,8,0.395482,2,1,-1,0,2,84352,8,643,1,643,0
1,5,8,0.395482,1,1,0,0,1,83127,6,643,5,643,0
1,5,8,0.395482,3,0,-3,0,1,4363,18,643,17,643,1
1,5,8,0.395482,2,2,0,0,3,84352,6,643,2,643,1
1,5,8,0.395482,231,69,-162,0,2,84352,4,643,1,643,0
1,1,1,0,30,0,-30,1,7,85254,45,6,0,6,0
1,1,1,0,22,54,32,0,7,5477,46,7,1,7,0
1,1,2,0.995727,6,1,-5,0,6,1586,15,651,7,651,0
1,1,2,0.995727,6,0,-6,0,7,942,31,651,3,651,0
1,2,5,0.739698,28,1,-27,0,2,85256,6,400,4,400,0
1,2,5,0.739698,7,1,-6,0,2,85256,5,400,3,400,0
1,2,5,0.739698,423,0,-423,0,1,0,1,400,0,400,0
1,2,5,0.739698,327,0,-327,0,1,0,1,400,0,400,0
1,2,5,0.739698,189,0,-189,0,1,0,1,400,0,400,0
1,1,1,0,8,1,-7,0,7,3519,49,653,11,653,0
1,1,1,0,4,0,-4,1,1,4184,4,654,3,650,0
1,2,4,0.828871,7,3,-4,0,1,20935,8,399,7,304,0
1,2,4,0.828871,1,1,0,0,1,0,1,399,0,304,0
1,2,4,0.828871,1,1,0,0,1,0,1,399,0,304,0
1,2,4,0.828871,2,2,0,0,1,0,1,399,0,304,0
1,1,1,0,1,1,0,0,1,307,9,403,8,308,0
1,1,3,0.977248,28,0,-28,0,1,0,1,404,0,309,0
1,1,3,0.977248,35,0,-35,0,1,0,1,404,0,309,0
1,1,3,0.977248,20,0,-20,0,1,0,1,404,0,309,0
1,1,1,0,1,0,-1,0,1,7556,2,407,1,312,0
1,1,1,0,1,1,0,0,7,70310,47,655,16,651,0
1,1,1,0,4,0,-4,0,7,78606,32,656,15,652,0
1,1,1,0,1,1,0,0,1,82089,19,654,18,654,1
1,1,1,0,12,8,-4,1,1,81773,3,655,2,655,0
1,1,1,0,1,1,0,0,4,752,12,656,2,656,0
1,11,27,0.729333,5,1,-4,0,3,63447,4,21,0,21,0
1,11,27,0.729333,36,17,-19,0,3,63447,5,21,0,21,0
1,11,27,0.729333,19,0,-19,0,4,38820,15,21,0,21,0
1,11,27,0.729333,0,10,10,0,4,4106,14,21,0,21,0
1,11,27,0.729333,0,0,0,0,5,82956,9,21,0,21,0
1,11,27,0.729333,32,2,-30,0,8,37856,48,21,0,21,0
1,11,27,0.729333,14,5,-9,0,5,83634,18,21,0,21,0
1,11,27,0.729333,19,4,-15,0,4,83557,13,21,0,21,0
1,11,27,0.729333,2,1,-1,0,3,82956,8,21,0,21,0
1,11,27,0.729333,51,27,-24,0,7,73482,44,21,0,21,0
1,11,27,0.729333,74,12,-62,0,6,84191,11,21,0,21,0
1,11,27,0.729333,10,0,-10,0,8,423,31,21,0,21,0
1,11,27,0.729333,1,1,0,0,3,79385,6,21,0,21,0
1,11,27,0.729333,1,1,0,0,2,81731,6,21,0,21,0
1,11,27,0.729333,0,2,2,0,2,81731,8,21,0,21,0
1,11,27,0.729333,5,4,-1,0,3,81731,14,21,0,21,0
1,11,27,0.729333,14,6,-8,0,3,81731,14,21,0,21,0
1,11,27,0.729333,14,6,-8,0,3,17210,7,21,0,21,0
1,11,27,0.729333,31,11,-20,0,2,17444,17,21,0,21,0
