ns,nd,nf,entropy,la,ld,lt,fix,NEDV,AGE,NUC,EXP,REXP,SEXP,bug_introducing
1,1,1,0,10,2,-8,1,3,13898,32,1434,27,1362,0
1,1,1,0,9,0,-9,0,2,67004,6,1435,3,1363,0
1,2,3,0.946492,7,0,-7,0,2,9728,9,1436,6,1364,0
1,2,3,0.946492,13,0,-13,0,2,15046,16,1436,13,1364,1
1,2,3,0.946492,17,0,-17,0,3,9728,18,1436,14,1364,0
1,6,8,0.571348,32,0,-32,0,2,86057,33,1439,30,1367,0
1,6,8,0.571348,4,2,-2,0,1,6781,3,1439,2,1367,0
1,6,8,0.571348,131,0,-131,0,1,0,1,1439,0,1367,0
1,6,8,0.571348,6,5,-1,0,2,5369,7,1439,4,1367,0
1,6,8,0.571348,3,1,-2,0,3,6065,33,1439,28,1367,0
1,6,8,0.571348,3,1,-2,0,2,6781,14,1439,11,1367,0
1,6,8,0.571348,3,1,-2,0,1,6781,5,1439,4,1367,0
1,6,8,0.571348,5,2,-3,0,2,6781,5,1439,2,1367,0
1,2,4,0.862084,7,3,-4,0,1,10313,4,1357,3,1132,0
1,2,4,0.862084,101,0,-101,0,1,0,1,1357,0,1132,1
1,2,4,0.862084,103,0,-103,0,1,0,1,1357,0,1132,0
1,2,4,0.862084,96,28,-68,0,1,10313,4,1357,3,1132,0
1,1,1,0,40,0,-40,0,2,10523,2,4,0,4,1
1,5,6,0.932309,17,2,-15,0,2,3245,34,1447,31,1375,0
1,5,6,0.932309,34,0,-34,0,6,19465,48,1447,39,1375,0
1,5,6,0.932309,18,0,-18,0,2,261,5,1447,2,1375,0
1,5,6,0.932309,2,2,0,0,2,3245,6,1447,3,1375,0
1,5,6,0.932309,25,1,-24,0,4,208,35,1447,28,1375,1
1,5,6,0.932309,23,5,-18,0,1,82313,9,1447,8,1375,0
1,13,40,0.651776,2,2,0,1,2,1581,2,358,0,343,0
1,13,40,0.651776,3,3,0,1,2,1581,2,358,0,343,0
1,13,40,0.651776,6,6,0,1,1,0,1,358,0,343,0
1,13,40,0.651776,4,4,0,1,1,0,1,358,0,343,0
1,13,40,0.651776,202,0,-202,1,1,0,1,358,0,343,0
1,13,40,0.651776,148,0,-148,1,1,0,1,358,0,343,0
1,13,40,0.651776,90,0,-90,1,1,0,1,358,0,343,0
1,13,40,0.651776,3,3,0,1,1,0,1,358,0,343,0
1,13,40,0.651776,19,23,4,1,1,0,1,358,0,343,0
1,13,40,0.651776,1,1,0,1,1,0,1,358,0,343,0
1,13,40,0.651776,1,1,0,1,1,0,1,358,0,343,0
1,13,40,0.651776,2,2,0,1,1,0,1,358,0,343,0
1,13,40,0.651776,1,1,0,1,1,0,1,358,0,343,0
1,13,40,0.651776,1,1,0,1,1,0,1,358,0,343,0
1,13,40,0.651776,1,1,0,1,1,0,1,358,0,343,0
1,13,40,0.651776,12,5,-7,1,4,21033,25,358,6,343,0
1,13,40,0.651776,17,5,-12,1,2,1581,8,358,3,343,0
1,13,40,0.651776,22,11,-11,1,4,30529,28,358,7,343,0
1,13,40,0.651776,2,1,-1,1,3,1581,8,358,2,343,0
1,13,40,0.651776,5,5,0,1,2,18315,11,358,3,343,0
1,13,40,0.651776,6,2,-4,1,2,1581,8,358,2,343,0
1,13,40,0.651776,2,2,0,1,3,20948,14,358,9,343,0
1,13,40,0.651776,2,2,0,1,2,20948,13,358,9,343,0
1,13,40,0.651776,2,2,0,1,2,20948,7,358,5,343,0
1,13,40,0.651776,1,1,0,1,5,3830,16,358,6,343,0
1,13,40,0.651776,2,2,0,1,2,1581,4,358,2,343,0
1,13,40,0.651776,1,1,0,1,3,18193,13,358,7,343,0
1,13,40,0.651776,1,1,0,1,2,3570,3,358,0,343,0
1,13,40,0.651776,1,1,0,1,2,3570,3,358,0,343,0
1,13,40,0.651776,1,1,0,1,2,18661,4,358,1,343,0
1,13,40,0.651776,1,1,0,1,2,3570,3,358,0,343,0
1,13,40,0.651776,1,1,0,1,2,11117,4,358,0,343,0
1,13,40,0.651776,1,1,0,1,2,11117,3,358,0,343,0
1,13,40,0.651776,2,2,0,1,2,20948,12,358,8,343,0
1,13,40,0.651776,3,3,0,1,4,85262,19,358,5,343,0
1,13,40,0.651776,2,2,0,1,4,1581,17,358,8,343,0
1,13,40,0.651776,1,1,0,1,3,33480,5,358,0,343,0
1,13,40,0.651776,1,1,0,1,3,32357,8,358,0,343,0
1,13,40,0.651776,1,1,0,1,3,33480,5,358,0,343,0
1,13,40,0.651776,1,1,0,1,4,32379,13,358,4,343,0
1,1,1,0,75,0,-75,0,1,0,1,398,0,15,0
1,1,6,0.869778,50,0,-50,0,1,0,1,399,0,383,0
1,1,6,0.869778,239,0,-239,0,1,0,1,399,0,383,0
1,1,6,0.869778,50,0,-50,0,1,0,1,399,0,383,0
1,1,6,0.869778,42,0,-42,0,1,0,1,399,0,383,0
1,1,6,0.869778,210,0,-210,0,1,0,1,399,0,383,0
1,1,6,0.869778,227,0,-227,0,1,0,1,399,0,383,0
1,1,1,0,96,0,-96,0,1,0,1,0,0,0,1
1,6,16,0.490151,4,8,4,0,1,85166,5,1361,4,1136,0
