ns,nd,nf,entropy,la,ld,lt,fix,NEDV,AGE,NUC,EXP,REXP,SEXP,bug_introducing
1,3,4,0.306709,1,1,0,1,2,63348,2,1427,0,1427,1
1,3,4,0.306709,1,1,0,1,2,63348,2,1427,0,1427,1
1,3,4,0.306709,8,1,-7,1,5,73310,9,1427,1,1427,1
1,3,4,0.306709,79,31,-48,1,8,81620,30,1427,1,1427,1
1,3,4,0.306709,1,1,0,1,2,573,3,1431,1,1431,1
1,3,4,0.306709,1,1,0,1,2,573,3,1431,1,1431,1
1,3,4,0.306709,1,8,7,1,5,573,10,1431,2,1431,1
1,3,4,0.306709,31,79,48,1,8,573,31,1431,2,1431,1
1,1,1,0,9,9,0,1,6,76595,11,237,1,237,1
1,1,1,0,9,9,0,1,5,71943,10,238,1,238,0
1,1,1,0,9,9,0,1,5,19334,10,239,1,239,1
1,5,6,0.845724,2,14,12,1,5,640,5,276,0,276,1
1,5,6,0.845724,0,9,9,1,7,7087,26,276,8,276,0
1,5,6,0.845724,0,5,5,1,4,7087,10,276,5,276,0
1,5,6,0.845724,0,6,6,1,5,85177,11,276,4,276,0
1,5,6,0.845724,0,5,5,1,2,85177,5,276,3,276,0
1,5,6,0.845724,28,5,-23,1,8,7087,19,276,6,276,0
1,2,3,0.840367,31,0,-31,1,1,0,1,73,0,73,0
1,2,3,0.840367,34,0,-34,1,3,20318,4,73,0,73,1
1,2,3,0.840367,4,2,-2,1,5,42674,114,73,7,73,1
1,1,1,0,4,1,-3,1,11,74237,51,59,1,59,1
1,1,1,0,4,1,-3,1,11,73549,51,60,1,60,1
1,1,1,0,4,1,-3,1,10,74146,37,61,0,61,0
1,1,1,0,7,4,-3,1,5,1471,20,979,12,979,0
1,1,3,0.676822,38,0,-38,1,1,0,1,238,0,238,0
1,1,3,0.676822,6,4,-2,1,4,2379,6,238,2,238,0
1,1,3,0.676822,2,2,0,1,6,73959,14,238,4,238,0
1,1,3,0.676822,38,0,-38,1,1,0,1,241,0,241,0
1,1,3,0.676822,6,4,-2,1,4,2824,6,241,2,241,0
1,1,3,0.676822,2,2,0,1,6,74404,14,241,4,241,0
1,1,3,0.676822,38,0,-38,1,1,0,1,244,0,244,0
1,1,3,0.676822,6,4,-2,1,4,2726,6,244,2,244,0
