ns,nd,nf,entropy,la,ld,lt,fix,NEDV,AGE,NUC,EXP,REXP,SEXP,bug_introducing
1,1,1,0,3,3,0,0,2,8646,7,42,0.5,42,0
1,4,43,0.725145,1,1,0,0,2,64616,61,3062,34.75,3062,0
1,4,43,0.725145,10,0,-10,0,1,130,40,3062,13.8333,3062,0
1,4,43,0.725145,46,0,-46,0,1,84433,41,3062,13.75,3062,1
1,4,43,0.725145,274,22,-252,0,1,130,8,3062,6,3062,1
1,4,43,0.725145,90,0,-90,0,1,130,35,3062,16.4167,3062,0
1,4,43,0.725145,1,2,1,0,1,83355,17,3062,6.25,3062,0
1,4,43,0.725145,11,2,-9,0,1,130,28,3062,12.25,3062,0
1,4,43,0.725145,8,0,-8,0,1,130,5,3062,3.5,3062,0
1,4,43,0.725145,2,2,0,0,1,130,15,3062,7,3062,0
1,4,43,0.725145,15,0,-15,0,1,130,5,3062,3.5,3062,0
1,4,43,0.725145,2,0,-2,0,2,130,18,3062,7.08333,3062,0
1,4,43,0.725145,1,1,0,0,1,83355,5,3062,1.83333,3062,0
1,4,43,0.725145,19,12,-7,0,2,130,47,3062,21.9167,3062,1
1,4,43,0.725145,5,3,-2,0,1,130,8,3062,5.5,3062,0
1,4,43,0.725145,25,0,-25,0,1,130,2,3062,1,3062,0
1,4,43,0.725145,22,0,-22,0,1,130,2,3062,1,3062,1
1,4,43,0.725145,67,11,-56,0,3,130,134,3062,53.0833,3062,1
1,4,43,0.725145,1,1,0,0,1,130,6,3062,3,3062,0
1,4,43,0.725145,0,5,5,0,1,130,2,3062,1,3062,0
1,4,43,0.725145,0,10,10,0,1,60368,2,3062,0.5,3062,0
1,4,43,0.725145,1,0,-1,0,1,76411,2,3062,1,3062,0
1,4,43,0.725145,0,5,5,0,2,130,21,3062,10,3062,0
1,4,43,0.725145,2,2,0,0,1,5482,4,3062,2,3062,0
1,4,43,0.725145,32,4,-28,0,2,130,35,3062,15.5,3062,0
1,4,43,0.725145,22,0,-22,0,1,71162,21,3062,9,3062,0
1,4,43,0.725145,27,21,-6,0,1,76411,9,3062,4.08333,3062,0
1,4,43,0.725145,102,4,-98,0,1,64616,28,3062,17.1667,3062,1
1,4,43,0.725145,7,0,-7,0,1,60368,2,3062,0.5,3062,0
1,4,43,0.725145,4,0,-4,0,1,130,5,3062,3.5,3062,1
1,4,43,0.725145,50,2,-48,0,1,130,12,3062,9,3062,1
1,4,43,0.725145,2,2,0,0,2,65271,19,3062,6.91667,3062,0
1,4,43,0.725145,1,0,-1,0,2,5482,20,3062,7.83333,3062,0
1,4,43,0.725145,279,9,-270,0,2,130,62,3062,27.5833,3062,0
1,4,43,0.725145,22,0,-22,0,1,0,1,3062,0,3062,0
1,4,43,0.725145,25,0,-25,0,1,65271,11,3062,5.5,3062,0
1,4,43,0.725145,5,0,-5,0,1,130,2,3062,1,3062,0
1,4,43,0.725145,10,0,-10,0,1,130,30,3062,13.8333,3062,0
1,4,43,0.725145,9,0,-9,0,2,130,30,3062,12.5,3062,0
1,4,43,0.725145,3,3,0,0,1,71162,4,3062,3,3062,0
1,4,43,0.725145,1,1,0,0,1,84433,6,3062,5,3062,0
1,4,43,0.725145,2,2,0,0,2,77926,8,3062,3.83333,3062,0
1,4,43,0.725145,3,3,0,0,2,77884,8,3062,3.83333,3062,0
1,4,43,0.725145,2,6,4,0,2,77969,46,3062,14.8333,3062,0
1,1,3,0.65525,231,0,-231,0,1,0,1,3105,0,3105,0
1,1,3,0.65525,1211,0,-1211,0,1,0,1,3105,0,3105,0
1,1,3,0.65525,81,78,-3,0,1,10859,36,3105,12.4167,3105,0
1,1,2,0.0551828,309,6,-303,0,1,75190,2,3108,1,3108,0
1,1,2,0.0551828,2,0,-2,0,1,75190,2,3108,1,3108,0
1,1,3,0.767573,143,139,-4,0,1,5286,3,3110,2,3110,0
1,1,3,0.767573,282,0,-282,0,1,0,1,3110,0,3110,0
1,1,3,0.767573,22,4,-18,0,1,5286,3,3110,2,3110,0
1,1,3,0.907388,3,3,0,0,2,18415,9,43,1.5,43,0
1,1,3,0.907388,4,4,0,0,2,18415,9,43,1.5,43,0
1,1,3,0.907388,14,3,-11,0,2,18415,47,43,12.5,43,0
1,1,1,0,4,0,-4,1,2,6348,21,46,3,46,1
1,1,1,0,2,0,-2,0,1,74332,42,3113,13.3333,3113,0
1,4,18,0.557341,1,1,0,0,2,1675,62,3114,32.0833,3114,0
1,4,18,0.557341,143,6,-137,0,2,1805,73,3114,26.75,3114,1
1,4,18,0.557341,1,1,0,0,1,1675,29,3114,13.0833,3114,0
1,4,18,0.557341,10,0,-10,0,2,1675,48,3114,20.75,3114,0
1,4,18,0.557341,1,1,0,0,1,1675,3,3114,2,3114,0
1,4,18,0.557341,325,265,-60,0,3,1675,135,3114,51.25,3114,1
1,4,18,0.557341,1,0,-1,0,2,86108,18,3114,7.75,3114,0
1,4,18,0.557341,2,0,-2,0,2,1675,36,3114,15.3333,3114,0
1,4,18,0.557341,62,0,-62,0,1,12559,25,3114,10.3333,3114,0
1,4,18,0.557341,120,0,-120,0,1,1675,22,3114,9.83333,3114,1
1,4,18,0.557341,10,0,-10,0,1,1675,29,3114,17,3114,0
1,4,18,0.557341,97,24,-73,0,1,8835,17,3114,5.58333,3114,0
1,4,18,0.557341,42,1,-41,0,2,1675,63,3114,26.4167,3114,0
1,4,18,0.557341,2,0,-2,0,1,1675,31,3114,14.6667,3114,0
1,4,18,0.557341,0,4,4,0,1,1675,7,3114,4.5,3114,0
1,4,18,0.557341,2,2,0,0,2,69660,10,3114,4.33333,3114,1
1,4,18,0.557341,2,2,0,0,2,69660,10,3114,4.33333,3114,1
1,4,18,0.557341,6,4,-2,0,2,69660,48,3114,15,3114,0
1,1,1,0,11,2,-9,0,1,17698,19,3132,7,3132,0
1,1,1,0,1,0,-1,0,2,69991,19,47,2,47,1
1,1,1,0,4,1,-3,0,2,63680,22,48,3.5,48,0
1,1,1,0,1,0,-1,0,2,135,20,49,3,49,1
1,1,1,0,19,0,-19,0,2,72711,15,50,1,50,0
1,3,33,0.653625,4,4,0,0,1,82974,26,3133,8.83333,3133,0
1,3,33,0.653625,2,0,-2,0,1,79082,11,3133,3.25,3133,0
1,3,33,0.653625,4,0,-4,0,1,80877,35,3133,12.25,3133,0
1,3,33,0.653625,28,1,-27,0,2,81169,63,3133,30,3133,1
1,3,33,0.653625,20,0,-20,0,1,82844,9,3133,5.5,3133,1
1,3,33,0.653625,2,2,0,0,1,82974,5,3133,3,3133,0
1,3,33,0.653625,11,2,-9,0,1,82844,36,3133,14.6667,3133,0
1,3,33,0.653625,1,1,0,0,1,82974,2,3133,1,3133,0
1,3,33,0.653625,5,0,-5,0,1,81169,30,3133,13.5,3133,0
1,3,33,0.653625,12,5,-7,0,1,82974,6,3133,2.5,3133,0
1,3,33,0.653625,3,0,-3,0,1,82844,6,3133,3.5,3133,0
1,3,33,0.653625,8,6,-2,0,1,82974,7,3133,3.5,3133,0
1,3,33,0.653625,1,1,0,0,1,82974,5,3133,2.16667,3133,0
1,3,33,0.653625,1,1,0,0,1,67606,6,3133,3,3133,0
1,3,33,0.653625,1,0,-1,0,2,82844,19,3133,7.08333,3133,0
1,3,33,0.653625,1,1,0,0,2,81169,49,3133,20,3133,1
1,3,33,0.653625,2,2,0,0,1,82844,9,3133,5.5,3133,0
1,3,33,0.653625,66,0,-66,0,1,82844,3,3133,2,3133,0
