ns,nd,nf,entropy,la,ld,lt,fix,NEDV,AGE,NUC,EXP,REXP,SEXP,bug_introducing
1,1,2,0.956457,14,3,-11,0,2,60229,127,4738,112.5,4300,0
1,1,2,0.956457,27,1,-26,0,3,13966,68,4738,51,4300,0
1,1,2,0.266765,1,0,-1,0,1,1662,45,4742,44,4304,0
1,1,2,0.266765,18,3,-15,0,1,1662,19,4742,18,4304,1
1,1,2,0.266765,1,0,-1,0,2,1662,128,4742,113.5,4304,0
1,1,2,0.266765,18,3,-15,0,3,1662,69,4742,52,4304,1
1,3,5,0.911197,10,13,3,0,1,73995,14,4746,13,4308,0
1,3,5,0.911197,10,7,-3,0,1,69464,46,4746,45,4308,1
1,3,5,0.911197,3,1,-2,0,1,69464,20,4746,19,4308,1
1,3,5,0.911197,9,0,-9,0,1,34967,28,4746,27,4308,1
1,3,5,0.911197,0,10,10,0,1,79571,144,4746,143,4308,0
1,3,5,0.911197,10,13,3,0,2,73995,43,4746,26.5,4308,0
1,3,5,0.911197,10,7,-3,0,2,69464,129,4746,114.5,4308,1
1,3,5,0.911197,3,1,-2,0,3,69464,70,4746,53,4308,1
1,3,5,0.911197,9,0,-9,0,1,34967,58,4746,57,4308,1
1,3,5,0.911197,0,10,10,0,5,79571,518,4746,363.5,4308,0
1,5,10,0.845726,36,1,-35,0,1,1632,9,4756,8,4318,1
1,5,10,0.845726,35,1,-34,0,1,46350,11,4756,10,4318,0
1,5,10,0.845726,86,42,-44,0,1,8461,47,4756,46,4318,1
1,5,10,0.845726,13,17,4,0,1,59266,15,4756,14,4318,1
1,5,10,0.845726,2,1,-1,0,1,9072,55,4756,54,4318,0
1,5,10,0.845726,95,10,-85,0,1,63064,14,4756,13,4318,1
1,5,10,0.845726,6,35,29,0,1,34042,6,4756,5,4318,1
1,5,10,0.845726,6,0,-6,0,1,57506,24,4756,23,4318,1
1,5,10,0.845726,18,9,-9,0,1,1632,6,4756,5,4318,1
1,5,10,0.845726,16,8,-8,0,1,1632,13,4756,12,4318,0
1,5,10,0.845726,36,1,-35,0,3,1632,33,4756,24,4318,1
1,5,10,0.845726,35,1,-34,0,2,46350,34,4756,27,4318,0
1,5,10,0.845726,86,42,-44,0,2,8461,130,4756,115.5,4318,1
1,5,10,0.845726,13,17,4,0,2,59266,49,4756,40,4318,1
1,5,10,0.845726,2,1,-1,0,4,9072,174,4756,131.5,4318,0
1,5,10,0.845726,95,10,-85,0,3,63064,61,4756,43,4318,1
1,5,10,0.845726,6,35,29,0,4,34042,33,4756,18.5,4318,1
1,5,10,0.845726,6,0,-6,0,2,57506,79,4756,52.5,4318,1
1,5,10,0.845726,18,9,-9,0,2,1632,22,4756,18,4318,1
1,5,10,0.845726,16,8,-8,0,3,1632,37,4756,27,4318,0
1,5,7,0.588647,55,26,-29,0,1,70716,99,4776,98,4338,1
1,5,7,0.588647,12,3,-9,0,1,73558,12,4776,11,4338,0
1,5,7,0.588647,2,1,-1,0,1,21309,4,4776,3,4338,0
1,5,7,0.588647,1,5,4,0,1,69465,36,4776,35,4338,0
1,5,7,0.588647,2,3,1,0,1,69465,42,4776,41,4338,0
1,5,7,0.588647,0,1,1,0,1,82019,29,4776,28,4338,0
1,5,7,0.588647,6,4,-2,0,1,26479,4,4776,3,4338,1
1,5,7,0.588647,55,26,-29,0,3,70716,335,4776,268.5,4338,1
1,5,7,0.588647,12,3,-9,0,2,73558,35,4776,28,4338,0
1,5,7,0.588647,2,1,-1,0,1,21309,12,4776,11,4338,0
1,5,7,0.588647,1,5,4,0,4,69465,141,4776,106.5,4338,0
1,5,7,0.588647,2,3,1,0,3,69465,124,4776,105.5,4338,0
1,5,7,0.588647,0,1,1,0,1,82019,59,4776,58,4338,0
1,5,7,0.588647,6,4,-2,0,3,26479,32,4776,20,4338,1
1,1,1,0,2,0,-2,1,1,4867,37,4790,36,4352,0
1,1,1,0,2,0,-2,1,4,4867,142,4790,107.5,4352,0
1,1,1,0,10,1,-9,0,1,5902,43,4792,42,4354,0
1,1,1,0,10,1,-9,0,3,5902,125,4792,106.5,4354,0
1,3,6,0.720685,1,3,2,0,1,17123,100,4794,99,4356,1
1,3,6,0.720685,32,0,-32,0,1,57697,37,4794,36,4356,0
1,3,6,0.720685,1,41,40,0,1,17123,13,4794,12,4356,0
1,3,6,0.720685,43,12,-31,0,1,4281,48,4794,47,4356,1
1,3,6,0.720685,1,2,1,0,1,4281,56,4794,55,4356,1
1,3,6,0.720685,1,0,-1,0,1,12256,38,4794,37,4356,1
1,3,6,0.720685,1,3,2,0,3,17123,336,4794,269.5,4356,1
1,3,6,0.720685,32,0,-32,0,5,57697,132,4794,103,4356,0
1,3,6,0.720685,1,41,40,0,2,17123,36,4794,29,4356,0
1,3,6,0.720685,43,12,-31,0,2,4281,131,4794,116.5,4356,1
1,3,6,0.720685,1,2,1,0,4,4281,175,4794,132.5,4356,1
1,3,6,0.720685,1,0,-1,0,4,12256,143,4794,108.5,4356,1
1,5,8,0.81656,31,32,1,0,1,82950,10,4806,9,4368,0
1,5,8,0.81656,56,0,-56,0,1,78669,101,4806,100,4368,0
1,5,8,0.81656,1,1,0,0,1,78669,49,4806,48,4368,0
1,5,8,0.81656,3,16,13,0,1,31254,22,4806,21,4368,0
1,5,8,0.81656,12,5,-7,0,1,37316,21,4806,20,4368,0
1,5,8,0.81656,2,38,36,0,1,33245,41,4806,40,4368,0
1,5,8,0.81656,4,4,0,0,1,9392,5,4806,4,4368,1
1,5,8,0.81656,2,2,0,0,1,5011,145,4806,144,4368,0
1,5,8,0.81656,31,32,1,0,3,82950,34,4806,25,4368,0
1,5,8,0.81656,56,0,-56,0,3,78669,337,4806,270.5,4368,0
1,5,8,0.81656,1,1,0,0,2,78669,132,4806,117.5,4368,0
1,5,8,0.81656,3,16,13,0,4,31254,57,4806,39.5,4368,0
1,5,8,0.81656,12,5,-7,0,1,37316,46,4806,45,4368,0
1,5,8,0.81656,2,38,36,0,3,33245,109,4806,88.5,4368,0
1,5,8,0.81656,4,4,0,0,3,9392,33,4806,21,4368,1
1,5,8,0.81656,2,2,0,0,5,5011,519,4806,364,4368,0
1,1,4,0.736203,84,14,-70,0,1,48094,7,4822,6,4384,1
1,1,4,0.736203,1,1,0,0,1,58714,18,4822,17,4384,0
1,1,4,0.736203,30,7,-23,0,1,48094,38,4822,37,4384,0
