ns,nd,nf,entropy,la,ld,lt,fix,NEDV,AGE,NUC,EXP,REXP,SEXP,bug_introducing
1,1,1,0,48,12,291,1,2,76232,5,509,3,485,1
1,1,1,0,1,1,327,0,2,138,6,510,4,486,1
1,1,1,0,0,15,223,0,3,9707,9,511,4.5,487,0
1,1,1,0,1,1,476,1,5,8300,30,512,5.5,488,1
1,1,1,0,19,8,89,1,4,49699,7,407,1.33333,259,0
1,1,1,0,3,6,442,1,3,70637,6,408,1,260,0
1,1,1,0,11,10,311,0,3,70705,24,409,3.83333,261,0
1,1,1,0,19,19,439,0,3,421,7,49,1,49,0
1,1,1,0,2,2,262,1,2,44631,3,57,1,57,0
1,1,1,0,2,2,262,0,2,242,4,58,2,58,0
1,1,1,0,13,8,476,1,5,63642,31,410,8.66667,262,1
1,1,1,0,15,10,481,1,5,7443,32,411,9.66667,263,1
1,1,14,0.617212,135,0,0,0,1,0,1,23,0,23,1
1,1,14,0.617212,378,0,0,0,1,0,1,23,0,23,1
1,1,14,0.617212,6,2,166,0,2,2532,4,23,1,23,1
1,1,14,0.617212,202,231,327,0,4,28038,8,23,3,23,1
1,1,14,0.617212,2,2,173,0,6,20843,18,23,0,23,0
1,1,14,0.617212,3,22,111,0,2,29933,4,23,2,23,0
1,1,14,0.617212,68,0,-1,0,1,0,1,23,0,23,1
1,1,14,0.617212,1,1,27,0,1,2532,2,23,1,23,0
1,1,14,0.617212,5,0,189,0,4,11475,8,23,1,23,0
1,1,1,0,1,1,187,0,5,45346,6,50,0,50,0
1,1,1,0,1,1,52,1,4,83653,6,412,1,264,0
1,1,1,0,27,5,1065,0,2,19638,11,237,8,104,1
1,1,4,0.918579,8,1,378,1,1,85575,2,32,1,32,0
1,1,4,0.918579,41,3,170,1,2,85575,5,32,2,32,1
1,1,4,0.918579,34,3,298,1,4,85575,9,32,4,32,1
1,1,4,0.918579,35,2,194,1,4,85575,9,32,2,32,1
1,1,2,0.619382,2,2,136,1,4,16762,16,413,2.33333,265,0
1,1,2,0.619382,11,11,263,1,4,16172,11,413,3.16667,265,1
1,1,5,0.971406,14,9,131,1,1,32238,2,238,1,133,0
1,1,5,0.971406,18,13,230,1,1,32238,2,238,1,133,0
1,1,5,0.971406,9,6,163,1,1,32238,2,238,1,133,0
1,1,5,0.971406,11,9,176,1,1,32238,2,238,1,133,0
1,1,5,0.971406,20,16,290,1,1,32238,2,238,1,133,0
1,1,3,1,1,1,40,1,1,8979,2,243,1,138,0
1,1,3,1,1,1,113,1,1,8979,2,243,1,138,0
1,1,3,1,1,1,49,1,2,39613,3,243,1,138,0
1,1,1,0,34,22,79,0,5,19919,7,513,2,489,1
1,1,1,0,3,1,575,1,6,57311,31,514,7.83333,490,1
1,1,3,0.850864,1,1,149,1,4,17235,12,246,1,105,0
1,1,3,0.850864,5,5,201,1,4,37688,13,246,0,105,0
1,1,3,0.850864,5,5,199,1,5,26414,8,246,1,105,0
1,1,1,0,4,0,133,0,3,57601,5,249,1,108,0
1,1,1,0,4,0,577,0,6,74229,32,51,3,51,1
1,5,12,0.95003,0,1,136,0,4,35681,17,415,3.33333,267,0
1,5,12,0.95003,0,1,1159,0,3,29197,5,415,0,267,0
1,5,12,0.95003,0,2,236,0,4,27054,6,415,1,267,0
1,5,12,0.95003,1,1,346,0,5,72221,12,415,0.5,267,0
1,5,12,0.95003,0,1,67,0,3,27054,4,415,0,267,0
1,5,12,0.95003,0,1,413,0,7,63258,23,415,3.5,267,0
1,5,12,0.95003,0,1,68,0,2,37938,3,415,0,267,0
1,5,12,0.95003,0,2,54,0,2,37938,3,415,0,267,0
1,5,12,0.95003,0,1,92,0,3,46540,5,415,1.5,267,0
1,5,12,0.95003,0,4,67,0,2,26014,2,415,0,267,0
1,5,12,0.95003,0,1,327,0,2,38420,7,415,1,267,0
1,5,12,0.95003,0,2,105,0,2,60669,3,415,1,267,0
1,1,1,0,1,1,234,1,4,29823,7,427,2,279,0
1,1,1,0,4,4,205,1,4,55167,7,428,0.333333,280,1
1,1,2,0.887976,30,20,385,1,2,72844,3,515,0,491,1
