ns,nd,nf,entropy,la,ld,lt,fix,NEDV,AGE,NUC,EXP,REXP,SEXP,bug_introducing
1,1,7,0.891794,258,0,-258,0,1,0,1,1053,0,1053,1
1,1,7,0.891794,262,0,-262,0,1,0,1,1053,0,1053,1
1,1,7,0.891794,114,0,-114,0,1,0,1,1053,0,1053,1
1,1,7,0.891794,79,0,-79,0,1,0,1,1053,0,1053,1
1,1,7,0.891794,608,0,-608,0,1,0,1,1053,0,1053,1
1,1,7,0.891794,356,0,-356,0,1,0,1,1053,0,1053,1
1,1,7,0.891794,112,0,-112,0,1,0,1,1053,0,1053,1
1,5,9,0.776213,20,0,-20,0,1,0,1,600,0,99,0
1,5,9,0.776213,1,1,0,0,1,77689,2,600,1,99,0
1,5,9,0.776213,27,0,-27,0,1,0,1,600,0,99,1
1,5,9,0.776213,40,0,-40,0,1,0,1,600,0,99,0
1,5,9,0.776213,73,0,-73,0,1,0,1,600,0,99,0
1,5,9,0.776213,38,0,-38,0,1,0,1,600,0,99,0
1,5,9,0.776213,2,0,-2,0,1,77689,2,600,1,99,0
1,5,9,0.776213,2,0,-2,0,1,77689,2,600,1,99,0
1,5,9,0.776213,4,1,-3,0,1,77689,2,600,1,99,0
1,5,9,0.776213,20,0,-20,0,1,0,1,600,0,203,0
1,5,9,0.776213,1,1,0,0,1,77689,2,600,1,203,0
1,5,9,0.776213,27,0,-27,0,1,0,1,600,0,203,1
1,5,9,0.776213,40,0,-40,0,1,0,1,600,0,203,0
1,5,9,0.776213,73,0,-73,0,1,0,1,600,0,203,0
1,5,9,0.776213,38,0,-38,0,1,0,1,600,0,203,0
1,5,9,0.776213,2,0,-2,0,1,77689,2,600,1,203,0
1,5,9,0.776213,2,0,-2,0,1,77689,2,600,1,203,0
1,5,9,0.776213,4,1,-3,0,1,77689,2,600,1,203,0
1,1,1,0,2,0,-2,0,1,63044,2,618,1,108,0
1,1,1,0,2,0,-2,0,1,63044,2,618,1,212,0
1,3,10,0.956984,11,0,-11,0,1,0,1,48,0,6,0
1,3,10,0.956984,11,0,-11,0,1,0,1,48,0,6,0
1,3,10,0.956984,35,0,-35,0,1,0,1,48,0,6,0
1,3,10,0.956984,15,0,-15,0,1,0,1,48,0,6,0
1,3,10,0.956984,17,0,-17,0,1,0,1,48,0,6,0
1,3,10,0.956984,26,0,-26,0,1,0,1,48,0,6,0
1,3,10,0.956984,16,0,-16,0,1,0,1,48,0,6,0
1,3,10,0.956984,15,0,-15,0,1,0,1,48,0,6,0
1,3,10,0.956984,13,0,-13,0,1,0,1,48,0,6,0
1,3,10,0.956984,37,0,-37,0,1,0,1,48,0,6,0
1,1,1,0,21,2,-19,0,6,24364,16,1060,1.5,1060,0
1,1,7,0.55201,0,2,2,1,1,82224,2,1061,1,1061,0
1,1,7,0.55201,0,2,2,1,1,82224,2,1061,1,1061,0
1,1,7,0.55201,0,2,2,1,1,82224,2,1061,1,1061,0
1,1,7,0.55201,0,2,2,1,1,82224,2,1061,1,1061,0
1,1,7,0.55201,0,3,3,1,1,82224,2,1061,1,1061,0
1,1,7,0.55201,13,24,11,1,1,82224,2,1061,1,1061,0
1,1,7,0.55201,0,3,3,1,1,82224,2,1061,1,1061,0
1,1,1,0,39,7,-32,0,5,48533,18,1068,4,1068,1
1,1,1,0,5,1,-4,0,7,72960,67,1069,21,1069,0
1,1,4,0.920625,3,3,0,0,1,7316,6,1070,4,1070,0
1,1,4,0.920625,1,1,0,0,1,7316,5,1070,3,1070,0
1,1,4,0.920625,7,0,-7,0,2,5788,11,1070,7,1070,0
1,1,4,0.920625,1,2,1,0,6,47811,41,1070,13.5,1070,0
1,1,2,0.982859,10,1,-9,0,1,3841,3,1074,2,1074,0
1,1,2,0.982859,15,0,-15,0,1,3841,3,1074,2,1074,0
1,1,1,0,14,0,-14,0,6,41348,15,1076,3,1076,0
1,6,30,0.904526,67,0,-67,0,1,0,1,58,0,16,0
1,6,30,0.904526,137,0,-137,0,1,0,1,58,0,16,0
1,6,30,0.904526,28,0,-28,0,1,0,1,58,0,16,0
1,6,30,0.904526,106,0,-106,0,1,0,1,58,0,16,0
1,6,30,0.904526,118,0,-118,0,1,0,1,58,0,16,0
1,6,30,0.904526,126,0,-126,0,1,0,1,58,0,16,0
1,6,30,0.904526,68,0,-68,0,1,0,1,58,0,16,0
1,6,30,0.904526,158,0,-158,0,1,0,1,58,0,16,0
1,6,30,0.904526,36,0,-36,0,1,0,1,58,0,16,0
1,6,30,0.904526,172,0,-172,0,1,0,1,58,0,16,0
1,6,30,0.904526,70,0,-70,0,1,0,1,58,0,16,0
1,6,30,0.904526,69,0,-69,0,1,0,1,58,0,16,0
1,6,30,0.904526,164,0,-164,0,1,0,1,58,0,16,0
1,6,30,0.904526,36,0,-36,0,1,0,1,58,0,16,0
1,6,30,0.904526,258,0,-258,0,1,0,1,58,0,16,0
1,6,30,0.904526,90,0,-90,0,1,0,1,58,0,16,0
1,6,30,0.904526,86,0,-86,0,1,0,1,58,0,16,0
1,6,30,0.904526,10,0,-10,0,1,0,1,58,0,16,0
1,6,30,0.904526,87,0,-87,0,1,0,1,58,0,16,0
1,6,30,0.904526,63,0,-63,0,1,0,1,58,0,16,0
1,6,30,0.904526,17,0,-17,0,1,0,1,58,0,16,0
1,6,30,0.904526,13,0,-13,0,1,0,1,58,0,16,0
1,6,30,0.904526,154,0,-154,0,1,0,1,58,0,16,0
1,6,30,0.904526,27,0,-27,0,1,0,1,58,0,16,0
1,6,30,0.904526,191,0,-191,0,1,0,1,58,0,16,0
1,6,30,0.904526,127,0,-127,0,1,0,1,58,0,16,0
1,6,30,0.904526,29,0,-29,0,1,0,1,58,0,16,0
1,6,30,0.904526,245,0,-245,0,1,0,1,58,0,16,0
1,6,30,0.904526,29,0,-29,0,1,0,1,58,0,16,0
1,6,30,0.904526,226,0,-226,0,1,0,1,58,0,16,0
1,6,30,0.904526,86,0,-86,0,1,0,1,58,0,16,0
1,6,30,0.904526,10,0,-10,0,1,0,1,58,0,16,0
1,6,30,0.904526,86,0,-86,0,1,0,1,58,0,16,0
1,6,30,0.904526,63,0,-63,0,1,0,1,58,0,16,0
1,6,30,0.904526,17,0,-17,0,1,0,1,58,0,16,0
1,6,30,0.904526,34,0,-34,0,1,0,1,58,0,16,0
1,6,30,0.904526,154,0,-154,0,1,0,1,58,0,16,0
1,6,30,0.904526,37,0,-37,0,1,0,1,58,0,16,0
1,6,30,0.904526,526,0,-526,0,1,0,1,58,0,16,0
1,6,30,0.904526,32,0,-32,0,1,0,1,58,0,16,0
1,6,30,0.904526,9,0,-9,0,1,0,1,58,0,16,0
1,6,30,0.904526,174,0,-174,0,1,0,1,58,0,16,0
1,7,14,0.891422,5,1,-4,0,1,29372,3,620,2,109,0
1,7,14,0.891422,19,0,-19,0,1,0,1,620,0,109,0
1,7,14,0.891422,23,3,-20,0,1,29372,3,620,2,109,0
1,7,14,0.891422,29,0,-29,0,1,0,1,620,0,109,0
1,7,14,0.891422,33,0,-33,0,1,0,1,620,0,109,0
1,7,14,0.891422,131,0,-131,0,1,0,1,620,0,109,0
1,7,14,0.891422,76,0,-76,0,1,0,1,620,0,109,0
1,7,14,0.891422,100,0,-100,0,1,0,1,620,0,109,0
1,7,14,0.891422,45,0,-45,0,1,0,1,620,0,109,0
1,7,14,0.891422,57,0,-57,0,1,0,1,620,0,109,0
1,7,14,0.891422,52,0,-52,0,1,0,1,620,0,109,0
1,7,14,0.891422,115,0,-115,0,1,0,1,620,0,109,0
1,7,14,0.891422,4,1,-3,0,1,1855,3,620,2,109,0
1,7,14,0.891422,5,1,-4,0,1,29372,3,620,2,213,0
1,7,14,0.891422,19,0,-19,0,1,0,1,620,0,213,0
1,7,14,0.891422,23,3,-20,0,1,29372,3,620,2,213,0
1,7,14,0.891422,29,0,-29,0,1,0,1,620,0,213,0
1,7,14,0.891422,33,0,-33,0,1,0,1,620,0,213,0
1,7,14,0.891422,131,0,-131,0,1,0,1,620,0,213,0
1,7,14,0.891422,76,0,-76,0,1,0,1,620,0,213,0
1,7,14,0.891422,100,0,-100,0,1,0,1,620,0,213,0
1,7,14,0.891422,45,0,-45,0,1,0,1,620,0,213,0
1,7,14,0.891422,57,0,-57,0,1,0,1,620,0,213,0
1,7,14,0.891422,52,0,-52,0,1,0,1,620,0,213,0
1,7,14,0.891422,115,0,-115,0,1,0,1,620,0,213,0
1,7,14,0.891422,4,1,-3,0,1,1855,3,620,2,213,0
