ns,nd,nf,entropy,la,ld,lt,fix,NEDV,AGE,NUC,EXP,REXP,SEXP,bug_introducing
1,2,2,0.985228,49,11,-38,1,3,5286,16,1675,4,1588,1
1,2,2,0.985228,41,4,-37,1,3,5286,10,1675,3,1588,1
1,2,2,0.991076,1,3,2,0,3,52379,17,1677,5,1590,0
1,2,2,0.991076,1,4,3,0,3,52379,11,1677,4,1590,0
1,1,1,0,11,19,8,0,3,61743,4,1679,1,1592,0
1,3,3,0.917188,21,25,4,0,3,2934,5,1680,2,1593,1
1,3,3,0.917188,1,18,17,0,3,7213,18,1680,6,1593,1
1,3,3,0.917188,1,19,18,0,3,7213,12,1680,5,1593,1
1,1,1,0,4,0,-4,1,2,79715,6,372,4,372,1
1,2,2,0.95008,11,30,19,1,3,29790,19,1683,7,1596,0
1,2,2,0.95008,4,20,16,1,3,29790,13,1683,6,1596,0
1,1,1,0,1,4,3,1,3,23634,6,1685,3,1598,0
1,1,1,0,8,9,1,0,4,29964,20,1664,16,1620,1
1,2,2,0.721928,5,1,-4,0,3,84148,7,1665,4,1621,0
1,2,2,0.721928,19,5,-14,0,3,70556,7,1665,3,1621,0
1,2,3,0.930068,5,5,0,0,4,27369,29,1667,21,1623,1
1,2,3,0.930068,20,0,-20,0,3,70690,8,1667,4,1623,0
1,2,3,0.930068,0,28,28,0,3,84282,5,1667,2,1623,0
1,13,23,0.931437,7,0,-7,0,3,77865,8,1670,4,1626,0
1,13,23,0.931437,0,6,6,0,3,5057,6,1670,2,1626,1
1,13,23,0.931437,2,1,-1,0,3,5057,7,1670,4,1626,1
1,13,23,0.931437,3,3,0,0,3,83454,16,1670,10,1626,0
1,13,23,0.931437,11,10,-1,0,4,77865,6,1670,1,1626,0
1,13,23,0.931437,3,2,-1,0,4,77865,6,1670,1,1626,0
1,13,23,0.931437,2,1,-1,0,3,77865,5,1670,1,1626,0
1,13,23,0.931437,2,2,0,0,4,19407,10,1670,3,1626,0
1,13,23,0.931437,6,6,0,0,3,42934,8,1670,3,1626,0
1,13,23,0.931437,3,2,-1,0,3,77865,8,1670,4,1626,1
1,13,23,0.931437,1,4,3,0,3,7309,8,1670,5,1626,1
1,13,23,0.931437,2,1,-1,0,3,5057,6,1670,3,1626,0
1,13,23,0.931437,5,4,-1,0,3,83390,20,1670,10,1626,1
1,13,23,0.931437,1,1,0,0,3,77865,8,1670,4,1626,0
1,13,23,0.931437,1,1,0,0,3,5057,5,1670,2,1626,0
1,13,23,0.931437,2,1,-1,0,3,77865,9,1670,5,1626,0
1,13,23,0.931437,0,1,1,0,5,77865,14,1670,8,1626,0
1,13,23,0.931437,8,0,-8,0,3,5057,4,1670,1,1626,1
1,13,23,0.931437,1,1,0,0,3,34016,13,1670,7,1626,0
1,13,23,0.931437,2,2,0,0,4,49035,6,1670,2,1626,0
1,13,23,0.931437,6,0,-6,0,3,5057,5,1670,2,1626,1
1,13,23,0.931437,1,1,0,0,3,7175,9,1670,5,1626,0
1,13,23,0.931437,3,2,-1,0,3,11172,9,1670,6,1626,0
1,13,23,0.931437,2,1,-1,0,3,5057,4,1670,1,1626,0
1,13,23,0.931437,3,1,-2,0,3,5057,4,1670,1,1626,0
1,13,23,0.931437,5,0,-5,0,3,5057,4,1670,1,1626,1
1,13,23,0.931437,1,1,0,0,3,77865,5,1670,1,1626,0
1,5,8,0.955554,8,6,-2,0,3,80099,20,1697,16,1653,0
1,5,8,0.955554,3,2,-1,0,4,5,12,1697,6,1653,0
1,5,8,0.955554,3,2,-1,0,3,33167,11,1697,7,1653,0
1,5,8,0.955554,3,3,0,0,3,7291,5,1697,2,1653,0
1,5,8,0.955554,3,3,0,0,4,7492,17,1697,0,1653,0
1,5,8,0.955554,7,6,-1,0,4,2234,7,1697,3,1653,1
