ns,nd,nf,entropy,la,ld,lt,fix,NEDV,AGE,NUC,EXP,REXP,SEXP,bug_introducing
1,1,1,0,32,16,216,0,1,55391,6,887,5,55,1
1,1,1,0,1,1,232,0,1,1224,7,888,6,56,0
1,1,1,0,1,1,232,0,1,256,8,889,7,57,0
1,7,13,0.863488,11,6,244,0,5,77004,12,63,0,63,1
1,7,13,0.863488,11,6,295,0,4,28733,18,63,0,63,0
1,7,13,0.863488,14,0,377,0,3,2556,9,63,0,63,1
1,7,13,0.863488,0,12,152,0,4,30437,9,63,0,63,0
1,7,13,0.863488,0,15,129,0,2,77004,8,63,0,63,0
1,7,13,0.863488,99,0,0,0,1,0,1,63,0,63,1
1,7,13,0.863488,119,0,0,0,1,0,1,63,0,63,1
1,7,13,0.863488,40,0,0,0,1,0,1,63,0,63,0
1,7,13,0.863488,43,0,0,0,1,0,1,63,0,63,1
1,7,13,0.863488,93,0,0,0,1,0,1,63,0,63,1
1,7,13,0.863488,14,0,804,0,5,77004,22,63,2,63,0
1,7,13,0.863488,7,1,328,0,4,56624,21,63,0,63,0
1,7,13,0.863488,25,35,893,0,5,10392,33,63,0,63,1
1,3,7,0.740394,2,5,300,0,4,8053,19,76,1,76,1
1,3,7,0.740394,5,5,99,0,1,8053,2,76,1,76,1
1,3,7,0.740394,1,1,119,0,1,8053,2,76,1,76,1
1,3,7,0.740394,3,4,40,0,1,8053,2,76,1,76,1
1,3,7,0.740394,2,2,43,0,1,8053,2,76,1,76,1
1,3,7,0.740394,45,0,0,0,1,0,1,76,0,76,1
1,3,7,0.740394,2,4,334,0,4,8053,22,76,1,76,0
1,5,7,0.94673,2,1,249,0,5,10401,13,83,1,83,0
1,5,7,0.94673,4,4,297,0,4,2348,20,83,2,83,0
1,5,7,0.94673,8,0,98,0,3,62365,7,83,0,83,1
1,5,7,0.94673,10,0,80,0,2,62365,6,83,0,83,0
1,5,7,0.94673,1,1,45,0,1,2348,2,83,1,83,1
1,5,7,0.94673,8,1,233,0,4,63837,18,83,3,83,1
1,5,7,0.94673,4,4,332,0,4,2348,23,83,2,83,0
1,3,4,0.906359,2,1,391,0,3,17805,10,90,1,90,0
1,3,4,0.906359,6,4,119,0,1,9752,3,90,2,90,0
1,3,4,0.906359,7,2,39,0,1,9752,3,90,2,90,0
1,3,3,0.732522,21,4,235,0,1,0,1,65,0,42,0
1,3,3,0.732522,139,69,199,0,2,66679,12,65,1,42,1
1,3,3,0.732522,71,0,-1,0,1,0,1,65,0,42,1
1,4,15,0.853711,5,2,297,1,4,4130,21,93,3,93,0
1,4,15,0.853711,19,0,114,1,3,44968,9,93,0,93,0
1,4,15,0.853711,2,2,106,1,3,4130,8,93,1,93,0
1,4,15,0.853711,19,0,89,1,2,71155,13,93,0,93,0
1,4,15,0.853711,3,22,99,1,1,6478,3,93,2,93,0
1,4,15,0.853711,4,10,121,1,1,83126,4,93,3,93,0
1,4,15,0.853711,7,2,44,1,1,83126,4,93,3,93,0
1,4,15,0.853711,62,0,0,1,1,0,1,93,0,93,0
1,4,15,0.853711,64,0,0,1,1,0,1,93,0,93,0
1,4,15,0.853711,0,12,43,1,1,6478,3,93,2,93,0
1,4,15,0.853711,3,15,43,1,1,0,1,93,0,93,1
1,4,15,0.853711,3,18,45,1,1,4130,3,93,2,93,0
1,4,15,0.853711,71,0,0,1,1,0,1,93,0,93,0
1,4,15,0.853711,3,1,240,1,4,4130,19,93,4,93,0
1,4,15,0.853711,0,2,883,1,5,14531,34,93,1,93,0
1,3,5,0.703888,1,1,106,0,3,2109,9,108,2,108,0
1,3,5,0.703888,0,9,62,0,1,2109,2,108,1,108,0
1,3,5,0.703888,31,0,30,0,1,2109,4,108,3,108,0
1,3,5,0.703888,1,2,36,0,1,0,1,108,0,108,0
1,3,5,0.703888,2,3,242,0,4,2109,20,108,5,108,0
1,7,24,0.875175,5,5,250,0,5,27860,14,113,2,113,1
1,7,24,0.875175,7,7,300,0,4,23730,22,113,4,113,1
1,7,24,0.875175,7,7,392,0,3,20456,11,113,2,113,1
1,7,24,0.875175,5,5,133,0,3,23730,10,113,1,113,0
1,7,24,0.875175,6,6,106,0,3,21621,10,113,3,113,0
1,7,24,0.875175,5,5,108,0,2,23730,14,113,1,113,0
1,7,24,0.875175,4,4,90,0,2,27860,7,113,1,113,0
1,7,24,0.875175,26,7,80,0,1,0,1,113,0,113,1
1,7,24,0.875175,21,12,115,0,1,0,1,113,0,113,1
1,7,24,0.875175,7,11,49,0,1,0,1,113,0,113,0
1,7,24,0.875175,3,3,53,0,1,0,1,113,0,113,0
1,7,24,0.875175,4,5,64,0,1,0,1,113,0,113,0
1,7,24,0.875175,72,0,0,0,1,0,1,113,0,113,1
1,7,24,0.875175,2,2,31,0,1,0,1,113,0,113,0
1,7,24,0.875175,60,0,0,0,1,0,1,113,0,113,0
1,7,24,0.875175,1,1,93,0,1,0,1,113,0,113,0
1,7,24,0.875175,2,2,35,0,1,0,1,113,0,113,0
1,7,24,0.875175,4,4,71,0,1,0,1,113,0,113,0
1,7,24,0.875175,8,8,818,0,5,38261,23,113,3,113,1
1,7,24,0.875175,4,4,241,0,4,21621,21,113,6,113,0
1,7,24,0.875175,5,5,332,0,4,27860,24,113,3,113,0
1,7,24,0.875175,22,22,881,0,5,23730,35,113,2,113,1
1,1,1,0,88,23,72,0,1,1848,2,135,1,135,0
1,1,2,0,44,0,31,0,1,2784,2,136,1,136,0
1,1,2,0,0,0,60,0,1,2784,2,136,1,136,0
1,2,3,0.631245,5,0,137,0,1,1378,3,138,2,138,0
1,2,3,0.631245,6,28,60,0,1,442,3,138,2,138,0
1,2,3,0.631245,4,1,241,0,4,3226,22,138,7,138,0
1,3,5,0.660922,2,2,392,0,3,4492,12,141,3,141,0
1,3,5,0.660922,35,18,124,0,1,4492,2,141,1,141,1
1,3,5,0.660922,69,0,0,0,1,0,1,141,0,141,1
1,3,5,0.660922,2,2,818,0,5,4492,24,141,4,141,0
1,1,4,0.961144,8,0,53,0,1,5273,2,145,1,145,0
1,1,4,0.961144,14,2,63,0,1,5273,2,145,1,145,0
1,1,4,0.961144,7,0,35,0,1,5273,2,145,1,145,0
1,1,4,0.961144,10,2,71,0,1,5273,2,145,1,145,0
1,1,3,0.864974,2,4,300,0,4,5999,23,149,5,149,0
1,1,3,0.864974,1,1,133,0,3,5999,11,149,2,149,0
1,1,3,0.864974,1,1,108,0,2,5999,15,149,2,149,0
1,1,1,0,18,2,893,1,5,81757,33,0,0,0,1
1,1,1,0,1,1,909,0,5,304,34,1,1,1,1
1,1,1,0,1,1,909,0,5,11871,35,2,2,2,1
1,1,1,0,5,1,111,0,3,3722,9,3,0,3,0
1,1,1,0,241,0,0,1,1,0,1,68,0,45,1
1,1,1,0,243,91,269,0,2,186,13,69,2,46,1
1,15,20,0.634748,173,329,435,0,1,0,1,70,0,47,1
1,15,20,0.634748,134,216,435,0,1,0,1,70,0,47,0
1,15,20,0.634748,28,50,204,0,2,1327,2,70,0,47,1
1,15,20,0.634748,2,6,33,0,2,66916,2,70,0,47,0
1,15,20,0.634748,5,5,31,0,3,9260,6,70,0,47,1
1,15,20,0.634748,11,19,233,0,5,70324,19,70,1,47,1
1,15,20,0.634748,1,1,139,0,4,80123,8,70,0,47,1
1,15,20,0.634748,1,1,71,0,2,66916,7,70,0,47,0
1,15,20,0.634748,1,1,221,0,5,60248,7,70,0,47,0
1,15,20,0.634748,5,6,53,0,3,7492,5,70,0,47,0
