,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,41.61,86.67,49.73,97.19,21.73,48.63,35.52,59.01,35.07,32.74,50.79,
ROS,51.98,60.38,58.04,97.74,34.46,53.79,40.11,60.8,43.78,49.82,55.09,
RUS,55.15,88.43,63.28,99.27,40.65,53.43,43.06,60.9,46.84,58.81,60.98,
Smote,52.06,87.58,56.93,97.62,32.76,44.69,39.63,60.67,41.24,51.36,56.45,
Bag,42.64,88.55,49.79,97.25,21.83,47.72,34.77,60.03,34.34,38.89,51.58,
ROSBag,50.59,61.21,57.63,98.14,31.28,60.39,39.53,63.86,44.3,49.69,55.66,
RUSBag,56.85,93.09,65.3,99.76,41.87,58.22,44.82,62.49,49.8,59.79,63.2,
SmoteBag,50.93,89.77,56.83,97.65,31.41,47.0,39.92,62.07,40.78,50.3,56.67,
Boost,45.03,83.19,52.33,97.26,26.35,56.24,38.7,63.7,41.15,41.74,54.57,
ROSBoost,46.61,81.93,52.64,97.18,28.14,52.45,38.5,63.04,41.62,41.94,54.4,
RUSBoost,51.6,69.08,57.75,98.19,35.13,52.99,42.01,63.83,45.53,49.09,56.52,
SmoteBoost,47.7,81.94,54.44,97.27,30.6,53.82,40.56,63.43,42.47,44.25,55.65,

