,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,45.37,84.06,11.96,97.51,16.88,33.31,45.32,25.98,19.22,8.22,38.78,
ROS,57.47,86.29,28.29,97.84,17.72,47.32,50.47,25.54,24.38,15.41,45.07,
RUS,57.09,82.1,23.02,98.0,18.16,46.21,50.0,25.67,23.36,14.27,43.79,
Smote,58.81,87.23,38.25,97.53,17.76,57.95,51.34,25.38,26.51,40.97,50.17,
Bag,47.88,84.11,12.82,97.47,16.97,33.04,46.01,25.91,20.73,8.87,39.38,
ROSBag,58.19,86.75,30.35,97.78,17.53,49.98,50.13,25.54,23.62,10.79,45.07,
RUSBag,57.83,85.67,19.78,97.84,17.23,47.45,49.56,25.61,23.63,12.0,43.66,
SmoteBag,58.28,87.31,38.27,97.53,17.68,58.0,51.31,25.33,26.57,41.04,50.13,
Boost,45.21,79.26,11.86,97.51,16.48,31.11,45.34,37.4,25.48,8.7,39.83,
ROSBoost,54.39,81.11,19.38,97.67,17.55,34.26,49.87,27.62,23.85,20.99,42.67,
RUSBoost,53.26,75.28,17.81,97.78,17.62,31.76,49.3,28.45,23.95,19.99,41.52,
SmoteBoost,59.33,85.74,22.98,97.45,18.38,45.65,50.77,27.88,27.22,32.19,46.76,

