,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,41.74,81.09,48.5,96.63,21.96,45.59,33.28,61.32,34.23,35.06,49.94,
ROS,50.7,67.14,56.26,97.79,31.22,53.4,40.35,61.75,42.74,47.5,54.89,
RUS,57.23,68.34,62.59,99.28,43.1,54.42,44.15,62.46,47.01,55.81,59.44,
Smote,49.23,76.62,54.63,97.59,32.12,44.15,40.4,62.32,39.73,45.34,54.21,
Bag,41.64,84.7,48.3,97.2,21.52,44.71,33.72,61.23,34.61,37.68,50.53,
ROSBag,53.29,61.58,58.69,98.33,32.82,60.06,43.35,64.06,47.08,52.16,57.14,
RUSBag,60.6,75.71,65.5,99.9,47.6,60.43,47.27,64.0,50.85,61.52,63.34,
SmoteBag,50.43,73.64,56.98,98.09,34.35,47.81,42.13,64.01,42.55,50.53,56.05,
Boost,43.04,78.83,49.75,96.74,25.11,52.39,37.09,62.28,40.49,38.35,52.41,
ROSBoost,43.92,78.68,50.94,96.65,26.44,51.62,37.65,63.05,40.55,38.36,52.79,
RUSBoost,46.11,66.28,53.05,97.22,31.65,50.17,38.89,63.29,41.3,38.75,52.67,
SmoteBoost,44.04,78.9,51.28,96.79,27.66,50.86,37.44,63.02,40.55,37.83,52.84,

