,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,39.6,79.46,68.68,92.92,57.69,6.26,39.46,26.38,7.71,7.95,42.61,
ROS,65.98,83.66,39.09,100.0,30.34,59.05,43.06,35.06,44.34,55.62,55.62,
RUS,65.07,83.41,39.08,100.0,36.94,59.26,45.84,34.1,45.85,60.5,57.01,
Smote,67.63,84.72,38.78,100.0,29.96,59.62,42.89,35.71,43.05,65.52,56.79,
Bag,17.42,79.46,68.49,92.92,55.63,6.57,32.86,26.33,8.0,7.87,39.55,
ROSBag,66.75,84.08,38.79,100.0,28.7,59.7,42.57,34.28,43.85,56.35,55.51,
RUSBag,65.84,83.44,38.82,100.0,36.75,59.49,45.86,33.34,45.33,62.17,57.1,
SmoteBag,67.74,85.02,38.8,100.0,29.79,59.61,42.5,35.54,42.59,66.01,56.76,
Boost,20.7,78.32,48.44,92.69,10.58,9.64,15.17,27.72,13.4,7.47,32.41,
ROSBoost,57.91,78.71,38.47,99.96,28.47,49.39,38.92,35.38,39.41,44.97,51.16,
RUSBoost,59.57,80.12,39.17,99.97,29.87,53.23,41.09,34.37,40.69,49.46,52.75,
SmoteBoost,59.31,78.08,38.95,99.99,28.88,50.47,39.67,35.75,38.29,49.93,51.93,

