project, methodName, recall-1, precision-1, fMeasure-1, auc
MyAnt,Simple, 49.8, 73.8, 59.4,84.3
,ROS, 61.3, 59.2, 60.2,84.1
,RUS, 72.1, 48.6, 58.0,83.5
,Smote, 59.6, 61.4, 60.4,84.4
,Bag, 50.7, 77.4, 61.3,86.6
,ROSBag, 64.2, 60.5, 62.3,86.5
,RUSBag, 77.3, 48.2, 59.3,86.2
,SmoteBag, 61.5, 61.0, 61.2,86.4
,Boost, 51.1, 71.1, 59.4,81.9
,ROSBoost, 51.9, 67.7, 58.7,83.0
,RUSBoost, 55.1, 64.1, 59.2,82.5
,SmoteBoost, 52.2, 67.3, 58.8,82.6

MyBuck,Simple, 28.1, 52.5, 36.6,77.0
,ROS, 45.0, 41.6, 43.2,77.4
,RUS, 68.6, 30.0, 41.7,77.3
,Smote, 46.1, 43.3, 44.6,78.1
,Bag, 29.2, 59.8, 39.2,80.7
,ROSBag, 50.7, 44.5, 47.4,80.3
,RUSBag, 76.1, 31.2, 44.3,81.2
,SmoteBag, 52.0, 44.9, 48.2,80.4
,Boost, 30.6, 51.4, 38.3,76.3
,ROSBoost, 33.4, 48.3, 39.5,75.9
,RUSBoost, 47.2, 39.3, 42.8,76.5
,SmoteBoost, 36.0, 48.2, 41.2,76.7

MyFlink,Simple, 49.0, 74.2, 59.0,84.7
,ROS, 60.3, 60.5, 60.4,84.9
,RUS, 72.6, 48.3, 58.0,84.9
,Smote, 57.3, 65.2, 61.0,85.1
,Bag, 49.0, 77.0, 59.9,87.5
,ROSBag, 63.3, 62.3, 62.8,87.3
,RUSBag, 77.4, 49.2, 60.2,87.5
,SmoteBag, 60.5, 65.6, 62.9,87.3
,Boost, 50.5, 71.1, 59.0,83.4
,ROSBoost, 51.9, 69.4, 59.4,83.4
,RUSBoost, 55.1, 65.1, 59.6,83.5
,SmoteBoost, 52.4, 69.1, 59.6,83.6

MyHadoop,Simple, 69.5, 76.2, 72.7,95.6
,ROS, 81.1, 68.7, 74.4,95.9
,RUS, 93.9, 53.4, 68.1,95.7
,Smote, 77.1, 69.0, 72.8,96.0
,Bag, 72.4, 76.3, 74.3,97.2
,ROSBag, 84.1, 68.9, 75.8,97.2
,RUSBag, 97.9, 51.4, 67.5,97.2
,SmoteBag, 80.4, 68.3, 73.9,97.0
,Boost, 71.6, 76.3, 73.9,92.2
,ROSBoost, 71.6, 75.8, 73.6,95.8
,RUSBoost, 73.8, 72.8, 73.3,96.0
,SmoteBoost, 72.0, 75.4, 73.7,95.9

MyItextpdf,Simple, 26.2, 51.1, 34.6,75.6
,ROS, 43.8, 41.5, 42.6,75.9
,RUS, 67.1, 32.4, 43.7,76.1
,Smote, 45.3, 42.8, 44.0,76.7
