project, methodName, recall-1, precision-1, fMeasure-1, auc
MyAnt,Simple, 50.8, 66.4, 57.5,77.6
,ROS, 63.6, 49.6, 55.7,72.2
,RUS, 71.5, 44.8, 55.1,76.5
,Smote, 64.9, 50.1, 56.5,76.3
,Bag, 52.2, 69.3, 59.5,84.6
,ROSBag, 61.6, 57.1, 59.2,83.8
,RUSBag, 74.6, 44.9, 56.0,83.4
,SmoteBag, 63.7, 53.5, 58.1,83.5
,Boost, 54.0, 62.5, 57.9,82.4
,ROSBoost, 56.0, 60.8, 58.3,82.6
,RUSBoost, 63.0, 52.4, 57.2,81.5
,SmoteBoost, 57.3, 58.6, 57.9,82.6

MyBuck,Simple, 28.9, 58.6, 38.7,70.3
,ROS, 50.7, 33.1, 40.1,65.3
,RUS, 71.7, 30.2, 42.5,71.5
,Smote, 50.1, 40.1, 44.6,67.7
,Bag, 32.8, 58.7, 42.1,78.9
,ROSBag, 48.3, 42.2, 45.0,77.3
,RUSBag, 76.1, 32.4, 45.4,80.2
,SmoteBag, 51.2, 44.3, 47.5,76.4
,Boost, 37.3, 47.0, 41.6,75.3
,ROSBoost, 37.6, 43.1, 40.1,75.6
,RUSBoost, 52.0, 35.2, 41.9,74.5
,SmoteBoost, 41.0, 42.0, 41.4,76.2

MyFlink,Simple, 50.4, 71.8, 59.3,78.8
,ROS, 64.1, 49.7, 56.0,73.3
,RUS, 74.0, 44.7, 55.7,78.6
,Smote, 61.1, 58.0, 59.5,78.7
,Bag, 50.7, 74.4, 60.3,85.8
,ROSBag, 62.1, 60.5, 61.3,85.1
,RUSBag, 77.4, 47.3, 58.8,86.3
,SmoteBag, 60.5, 64.1, 62.3,85.8
,Boost, 54.3, 65.5, 59.4,84.3
,ROSBoost, 54.9, 63.0, 58.6,83.5
,RUSBoost, 63.5, 53.7, 58.2,83.7
,SmoteBoost, 57.2, 62.1, 59.6,84.1

MyHadoop,Simple, 67.3, 70.7, 69.0,93.5
,ROS, 79.8, 63.0, 70.4,86.7
,RUS, 94.2, 50.8, 66.0,93.1
,Smote, 78.6, 64.4, 70.8,91.6
,Bag, 71.1, 74.4, 72.7,96.8
,ROSBag, 80.8, 67.5, 73.5,96.0
,RUSBag, 97.7, 50.0, 66.2,96.6
,SmoteBag, 80.2, 65.7, 72.2,96.1
,Boost, 73.2, 72.2, 72.7,96.2
,ROSBoost, 72.3, 72.3, 72.3,96.2
,RUSBoost, 80.6, 65.3, 72.1,95.9
,SmoteBoost, 73.7, 72.1, 72.9,96.2

MyItextpdf,Simple, 24.4, 47.7, 32.2,68.2
,ROS, 49.3, 33.1, 39.5,64.2
,RUS, 66.0, 29.1, 40.3,69.3
,Smote, 51.2, 36.4, 42.5,68.6
,Bag, 27.0, 51.5, 35.4,76.3
,ROSBag, 45.8, 41.3, 43.4,76.6
,RUSBag, 71.3, 31.5, 43.7,77.5
,SmoteBag, 49.3, 39.9, 44.1,76.6
,Boost, 33.0, 42.9, 37.3,73.3
,ROSBoost, 36.0, 42.4, 38.9,73.8
,RUSBoost, 51.5, 34.4, 41.2,72.6
,SmoteBoost, 40.2, 42.1, 41.1,74.7

MyJedit,Simple, 63.7, 68.7, 66.1,82.5
,ROS, 71.7, 59.4, 65.0,77.2
,RUS, 77.0, 53.8, 63.3,77.8
,Smote, 65.3, 55.8, 60.1,78.0
,Bag, 63.2, 75.1, 68.7,88.3
,ROSBag, 80.1, 71.5, 75.5,90.6
,RUSBag, 83.9, 59.9, 69.9,87.8
,SmoteBag, 69.3, 60.3, 64.5,84.3
,Boost, 70.9, 77.5, 74.1,90.0
,ROSBoost, 67.2, 71.3, 69.2,87.4
,RUSBoost, 70.8, 64.1, 67.3,85.5
,SmoteBoost, 68.8, 71.8, 70.3,88.0

MyLucene,Simple, 48.2, 57.6, 52.5,71.4
,ROS, 58.8, 45.5, 51.3,68.9
,RUS, 70.3, 42.3, 52.8,71.9
,Smote, 58.9, 50.4, 54.3,73.4
,Bag, 47.7, 64.3, 54.7,81.9
,ROSBag, 58.6, 55.5, 57.0,81.4
,RUSBag, 74.4, 46.6, 57.3,81.5
,SmoteBag, 59.8, 55.6, 57.6,81.5
,Boost, 50.4, 60.1, 54.8,80.6
,ROSBoost, 50.2, 57.2, 53.4,79.3
,RUSBoost, 61.7, 51.2, 55.9,79.4
,SmoteBoost, 53.4, 56.8, 55.0,80.0

MySynapse,Simple, 81.2, 83.3, 82.2,91.2
,ROS, 84.9, 76.9, 80.7,87.7
,RUS, 86.5, 74.8, 80.2,88.6
,Smote, 85.4, 78.5, 81.8,90.7
,Bag, 82.9, 85.5, 84.1,94.5
,ROSBag, 88.4, 82.4, 85.3,95.1
,RUSBag, 88.3, 78.3, 83.0,93.7
,SmoteBag, 87.0, 80.3, 83.6,93.7
,Boost, 85.1, 87.3, 86.1,95.5
,ROSBoost, 84.8, 83.9, 84.3,94.6
,RUSBoost, 87.1, 82.6, 84.7,95.0
,SmoteBoost, 85.4, 84.6, 85.0,95.0

MyTomcat,Simple, 46.9, 55.5, 50.7,70.6
,ROS, 59.7, 48.1, 53.2,68.2
,RUS, 69.2, 44.9, 54.5,69.8
,Smote, 57.0, 51.8, 54.2,70.8
,Bag, 46.2, 64.7, 53.8,79.7
,ROSBag, 60.8, 56.3, 58.4,80.0
,RUSBag, 74.4, 49.9, 59.7,79.8
,SmoteBag, 56.4, 55.0, 55.7,78.9
,Boost, 53.2, 59.6, 56.2,78.4
,ROSBoost, 54.0, 57.9, 55.9,77.8
,RUSBoost, 61.1, 53.5, 57.0,77.2
,SmoteBoost, 55.5, 57.4, 56.4,78.0

MyVoldemort,Simple, 37.4, 55.1, 44.4,68.1
,ROS, 56.3, 45.0, 50.0,63.6
,RUS, 70.0, 43.1, 53.3,65.8
,Smote, 59.2, 47.4, 52.6,66.6
,Bag, 44.4, 56.9, 49.9,74.9
,ROSBag, 57.0, 51.4, 54.1,74.0
,RUSBag, 72.2, 46.4, 56.5,74.5
,SmoteBag, 58.2, 50.4, 54.0,73.4
,Boost, 46.4, 52.0, 49.0,72.6
,ROSBoost, 46.4, 51.6, 48.8,71.8
,RUSBoost, 55.7, 48.8, 52.0,71.8
,SmoteBoost, 49.1, 51.4, 50.2,72.3

