project, methodName, recall-1, precision-1, fMeasure-1, auc
MyAnt,Simple, 56.5, 41.9, 48.1,76.4
,ROS, 72.8, 38.6, 50.4,76.1
,RUS, 72.8, 38.4, 50.3,76.1
,Smote, 73.5, 37.6, 49.8,75.9
,Bag, 59.1, 42.1, 49.2,76.7
,ROSBag, 73.5, 38.9, 50.9,76.6
,RUSBag, 73.6, 38.9, 50.9,76.5
,SmoteBag, 72.8, 37.5, 49.5,76.2
,Boost, 56.2, 41.9, 48.0,72.0
,ROSBoost, 68.7, 39.3, 50.0,72.4
,RUSBoost, 67.8, 39.3, 49.8,72.2
,SmoteBoost, 74.5, 38.0, 50.3,70.8

MyBuck,Simple, 48.7, 23.3, 31.5,67.8
,ROS, 86.4, 21.1, 33.9,67.6
,RUS, 79.3, 21.2, 33.4,67.4
,Smote, 88.7, 20.7, 33.6,67.5
,Bag, 53.2, 22.8, 31.9,67.8
,ROSBag, 88.4, 21.1, 34.1,67.7
,RUSBag, 83.8, 21.2, 33.8,67.9
,SmoteBag, 88.7, 20.7, 33.6,67.5
,Boost, 14.9, 27.2, 19.1,69.7
,ROSBoost, 79.4, 21.0, 33.1,66.2
,RUSBoost, 73.9, 21.2, 32.9,66.1
,SmoteBoost, 84.8, 20.8, 33.4,66.5

MyFlink,Simple, 12.5, 40.7, 19.2,64.5
,ROS, 33.8, 36.9, 35.1,63.5
,RUS, 29.2, 34.8, 31.6,62.9
,Smote, 45.8, 30.4, 36.6,61.9
,Bag, 13.8, 41.3, 20.7,64.5
,ROSBag, 36.0, 41.6, 38.5,64.7
,RUSBag, 26.2, 38.5, 31.1,64.7
,SmoteBag, 46.0, 30.5, 36.7,62.0
,Boost, 12.4, 41.1, 19.1,64.4
,ROSBoost, 23.5, 35.3, 27.7,62.8
,RUSBoost, 22.8, 35.3, 27.3,62.3
,SmoteBoost, 27.2, 32.5, 28.9,62.4

MyHadoop,Simple, 96.7, 44.8, 61.2,94.1
,ROS, 97.8, 44.0, 60.7,94.1
,RUS, 97.9, 44.2, 60.9,94.1
,Smote, 97.5, 43.9, 60.5,94.1
,Bag, 96.9, 44.6, 61.1,94.2
,ROSBag, 97.8, 44.0, 60.7,94.2
,RUSBag, 97.8, 44.1, 60.8,94.3
,SmoteBag, 97.5, 43.9, 60.5,94.1
,Boost, 96.7, 44.8, 61.2,91.1
,ROSBoost, 97.6, 44.0, 60.7,90.5
,RUSBoost, 97.6, 44.2, 60.8,91.5
,SmoteBoost, 97.5, 43.9, 60.5,89.8

MyItextpdf,Simple, 28.8, 46.7, 35.7,69.2
,ROS, 33.7, 39.6, 36.4,68.7
,RUS, 34.8, 37.5, 36.1,68.1
,Smote, 35.1, 40.7, 37.7,68.8
,Bag, 29.4, 47.1, 36.2,68.9
,ROSBag, 33.7, 40.3, 36.7,69.1
,RUSBag, 34.9, 39.6, 37.1,69.0
,SmoteBag, 35.0, 40.9, 37.8,68.8
,Boost, 24.8, 47.2, 32.5,68.8
,ROSBoost, 33.8, 38.3, 35.9,65.0
,RUSBoost, 34.6, 37.7, 36.0,65.2
,SmoteBoost, 35.7, 37.8, 36.7,65.7

MyJedit,Simple, 45.4, 50.8, 48.0,72.1
,ROS, 68.7, 43.6, 53.3,71.6
,RUS, 67.0, 43.9, 52.9,71.6
,Smote, 83.3, 39.7, 53.7,70.8
,Bag, 46.1, 51.7, 48.7,72.7
,ROSBag, 72.9, 43.7, 54.6,72.7
,RUSBag, 69.3, 44.5, 54.2,72.7
,SmoteBag, 83.4, 39.7, 53.8,70.8
,Boost, 45.0, 52.2, 48.3,71.8
,ROSBoost, 51.7, 49.3, 50.2,71.2
,RUSBoost, 48.5, 50.6, 49.2,71.4
,SmoteBoost, 67.5, 44.1, 53.2,69.1

MyLucene,Simple, 70.0, 38.1, 49.3,73.4
,ROS, 87.3, 31.5, 46.3,73.3
,RUS, 84.3, 32.8, 47.2,73.4
,Smote, 91.0, 29.5, 44.6,72.7
,Bag, 69.9, 38.7, 49.8,74.2
,ROSBag, 88.2, 31.1, 46.0,74.0
,RUSBag, 85.2, 32.3, 46.8,74.2
,SmoteBag, 91.2, 29.6, 44.7,72.9
,Boost, 70.0, 38.3, 49.5,72.0
,ROSBoost, 83.2, 32.5, 46.7,70.5
,RUSBoost, 81.0, 33.5, 47.4,70.4
,SmoteBoost, 89.4, 29.7, 44.6,71.6

MySynapse,Simple, 38.4, 66.4, 48.7,74.7
,ROS, 40.1, 64.8, 49.5,73.6
,RUS, 40.1, 64.8, 49.5,74.2
,Smote, 41.0, 64.2, 50.0,73.9
,Bag, 38.6, 66.0, 48.7,74.5
,ROSBag, 40.3, 64.6, 49.7,74.7
,RUSBag, 40.3, 64.8, 49.7,74.7
,SmoteBag, 40.9, 64.2, 50.0,74.0
,Boost, 54.8, 63.5, 58.8,78.4
,ROSBoost, 43.2, 63.7, 51.4,73.4
,RUSBoost, 44.2, 63.5, 52.1,74.3
,SmoteBoost, 43.9, 63.5, 51.9,73.7

MyTomcat,Simple, 27.1, 59.6, 37.3,69.4
,ROS, 34.6, 54.0, 42.0,69.1
,RUS, 33.5, 55.8, 41.8,69.3
,Smote, 37.5, 50.7, 43.0,68.8
,Bag, 29.3, 59.3, 39.2,69.5
,ROSBag, 33.7, 56.2, 42.1,69.6
,RUSBag, 33.9, 56.8, 42.4,69.6
,SmoteBag, 37.5, 51.1, 43.2,68.9
,Boost, 35.7, 50.2, 41.5,67.4
,ROSBoost, 34.6, 53.6, 41.9,67.8
,RUSBoost, 34.9, 54.5, 42.3,67.9
