project, methodName, recall-1, precision-1, fMeasure-1, auc
MyAnt,Simple, 3.8, 61.5, 7.2,51.5
,ROS, 85.6, 37.8, 52.5,70.6
,RUS, 84.2, 37.9, 52.2,70.3
,Smote, 88.0, 37.8, 52.9,71.1
,Bag, 6.8, 66.6, 12.4,58.6
,ROSBag, 86.6, 38.0, 52.8,74.1
,RUSBag, 85.4, 38.2, 52.8,74.2
,SmoteBag, 88.1, 37.9, 53.0,72.4
,Boost, 23.5, 52.7, 32.3,77.4
,ROSBoost, 75.2, 39.0, 51.4,76.1
,RUSBoost, 77.0, 38.3, 51.2,74.9
,SmoteBoost, 76.9, 39.1, 51.8,76.3

MyBuck,Simple, 0.0, 0.0, 0.0,50.0
,ROS, 86.4, 22.3, 35.4,66.5
,RUS, 86.0, 22.0, 35.0,66.0
,Smote, 87.8, 22.3, 35.6,66.9
,Bag, 0.0, 0.0, 0.0,50.1
,ROSBag, 87.0, 22.2, 35.4,68.5
,RUSBag, 86.3, 22.0, 35.1,69.0
,SmoteBag, 88.2, 22.4, 35.7,67.6
,Boost, 2.4, 40.8, 4.5,70.8
,ROSBoost, 80.4, 22.3, 34.9,66.4
,RUSBoost, 82.0, 22.1, 34.8,66.1
,SmoteBoost, 79.8, 22.5, 35.0,66.6

MyFlink,Simple, 0.0, 0.0, 0.0,50.0
,ROS, 42.3, 32.9, 37.0,60.2
,RUS, 42.0, 33.0, 36.9,60.2
,Smote, 41.7, 33.1, 36.9,60.2
,Bag, 0.0, 0.0, 0.0,50.2
,ROSBag, 41.6, 33.1, 36.8,61.0
,RUSBag, 41.5, 33.3, 36.9,60.5
,SmoteBag, 41.6, 33.1, 36.9,60.2
,Boost, 0.5, 39.3, 0.9,64.4
,ROSBoost, 42.8, 32.7, 37.0,61.6
,RUSBoost, 42.8, 32.5, 36.9,60.8
,SmoteBoost, 42.9, 32.7, 37.1,60.8

MyHadoop,Simple, 54.0, 69.5, 60.8,75.2
,ROS, 100.0, 44.4, 61.5,90.6
,RUS, 100.0, 44.4, 61.5,90.6
,Smote, 100.0, 44.4, 61.5,90.6
,Bag, 51.6, 70.5, 59.6,80.9
,ROSBag, 100.0, 44.4, 61.5,90.6
,RUSBag, 100.0, 44.4, 61.5,90.6
,SmoteBag, 100.0, 44.4, 61.5,90.6
