@relation 'MyItextpdf-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 50 -T 0'

@attribute cumulative_bug_count numeric
@attribute la numeric
@attribute AvgLine numeric
@attribute MaxCyclomaticModified_delta numeric
@attribute CountLineComment_delta numeric
@attribute CountLineCodeExe_delta numeric
@attribute SumCyclomaticModified_delta numeric
@attribute s63 numeric
@attribute s91 numeric
@attribute s128 numeric
@attribute s143 numeric
@attribute s149 numeric
@attribute s202 numeric
@attribute s236 numeric
@attribute s279 numeric
@attribute s393 numeric
@attribute s414 numeric
@attribute s466 numeric
@attribute s490 numeric
@attribute s543 numeric
@attribute s626 numeric
@attribute s665 numeric
@attribute s682 numeric
@attribute s732 numeric
@attribute s738 numeric
@attribute s740 numeric
@attribute s782 numeric
@attribute s792 numeric
@attribute s830 numeric
@attribute s833 numeric
@attribute s855 numeric
@attribute s856 numeric
@attribute s857 numeric
@attribute s877 numeric
@attribute s880 numeric
@attribute s1589 numeric
@attribute s2013 numeric
@attribute s3252 numeric
@attribute s3485 numeric
@attribute s3567 numeric
@attribute s3569 numeric
@attribute s5396 numeric
@attribute s5598 numeric
@attribute s6026 numeric
@attribute s6177 numeric
@attribute s6234 numeric
@attribute s6323 numeric
@attribute s6802 numeric
@attribute s6839 numeric
@attribute s9333 numeric
@attribute s9355 numeric
@attribute s9584 numeric
@attribute s9674 numeric
@attribute s10415 numeric
@attribute s10525 numeric
@attribute s11324 numeric
@attribute s11425 numeric
@attribute s11535 numeric
@attribute s11771 numeric
@attribute s11957 numeric
@attribute s12840 numeric
@attribute s13157 numeric
@attribute s14371 numeric
@attribute bug_introducing {0,1}

@data
2,1,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,10,0,4,2,2,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,5,0,22,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20,5,0,22,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20,5,0,22,4,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,28,-10,43,151,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,28,-10,43,151,56,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,3,28,-10,43,151,56,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,14,28,-10,43,151,56,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,3,1,11,0,0,3,1,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,4,28,-10,43,151,56,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,9,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,3,28,-10,43,151,56,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,1,5,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,28,-10,43,151,56,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,5,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,28,-10,43,151,56,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,20,28,-10,43,151,56,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,8,5,16,0,0,1,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,169,28,-10,43,151,56,0,0,0,0,0,4,30,0,0,0,34,9,17,0,0,0,9,14,49,0,0,14,1,18,0,54,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,31,28,-10,43,151,56,0,0,0,0,0,0,8,0,0,0,7,2,3,0,0,0,5,3,16,0,0,4,1,7,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,4,28,-10,43,151,56,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,7,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,20,28,-10,43,151,56,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,6,0,27,41,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,6,0,27,41,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,6,0,27,41,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,71,6,0,27,41,17,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,7,5,20,2,0,1,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
