@relation 'MyLucene-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 50 -T 0'

@attribute cumulative_change_count numeric
@attribute cumulative_bug_count numeric
@attribute entropy numeric
@attribute la numeric
@attribute CountDeclInstanceVariable_delta numeric
@attribute CountDeclClass_delta numeric
@attribute s7 numeric
@attribute s110 numeric
@attribute s121 numeric
@attribute s122 numeric
@attribute s143 numeric
@attribute s363 numeric
@attribute s592 numeric
@attribute s649 numeric
@attribute s657 numeric
@attribute s1034 numeric
@attribute s1038 numeric
@attribute s1055 numeric
@attribute s1163 numeric
@attribute s1164 numeric
@attribute s1238 numeric
@attribute s1316 numeric
@attribute s1419 numeric
@attribute s1621 numeric
@attribute s2069 numeric
@attribute s2366 numeric
@attribute s2424 numeric
@attribute s4249 numeric
@attribute s5421 numeric
@attribute bug_introducing {0,1}

@data
16,3,0.567596,12,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,0.567596,36,0,0,1,0,0,1,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0
18,3,0.567596,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
75,28,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,4,0.876716,15,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,0.876716,4,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
76,27,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
77,28,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,28,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
42,17,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,29,0.936611,3,0,0,1,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1
80,30,0.936611,5,0,0,1,0,0,2,0,0,0,6,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,1
81,31,0.936611,8,0,0,1,0,0,0,0,0,0,0,0,5,5,2,2,0,0,0,0,0,0,0,0,0,0,1
82,32,0.936611,3,0,0,1,0,0,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1
4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,29,0.941696,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,30,0.941696,2,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
78,30,0.941696,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,31,0.941696,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,32,0.941696,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
81,33,0.941696,3,0,0,1,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,34,0.782839,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,35,0.782839,6,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,35,0.782839,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,36,0.782839,7,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0.540877,135,2,2,1,1101,0,1,371,0,0,0,0,0,0,2,7,6,0,1,0,0,0,0,0,0,0,1
1,1,0.540877,378,6,2,1,1121,0,28,921,0,0,1,0,16,21,13,14,0,0,19,1,0,0,0,0,0,0,1
8,6,0.540877,3,0,0,1,1,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,7,0.540877,3,0,0,1,1,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,3,0.540877,202,5,2,1,120,0,26,851,0,0,2,0,9,43,22,23,13,0,10,3,0,0,0,0,0,0,1
36,8,0.540877,2,0,0,1,1,0,6,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0
8,1,0.540877,0,0,0,1,1,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.540877,0,0,0,1,1,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0.540877,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0.540877,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.540877,68,1,2,1,13,0,2,4,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,1
2,0,0.540877,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
15,4,0.540877,5,0,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,9,0.954434,20,0,0,1,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
28,10,0.954434,7,0,0,1,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0.835558,8,0,0,1,1,0,5,151,0,0,1,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0
10,7,0.835558,2,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,0.835558,4,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,7,0.835558,1,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8,0.835558,4,1,0,1,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,8,0.835558,17,1,0,1,0,0,1,11,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
15,9,0.835558,5,1,0,1,0,0,0,111,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,10,0.835558,8,1,0,1,0,0,0,121,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,3,0.835558,2,1,1,1,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,0.835558,1,1,1,1,0,0,2,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,4,0.835558,1,1,1,1,0,0,0,11,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1
19,4,0.835558,2,1,1,1,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
