@relation 'MyTomcat-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 50 -T 0'

@attribute change_log_length numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute lt numeric
@attribute CountDeclMethodProtected_delta numeric
@attribute AvgLine_delta numeric
@attribute CountLineComment_delta numeric
@attribute CountLineCodeExe_delta numeric
@attribute s33 numeric
@attribute s178 numeric
@attribute s360 numeric
@attribute s364 numeric
@attribute s595 numeric
@attribute s606 numeric
@attribute s930 numeric
@attribute s1048 numeric
@attribute s1111 numeric
@attribute s1299 numeric
@attribute s1315 numeric
@attribute s1391 numeric
@attribute s1530 numeric
@attribute s1948 numeric
@attribute s1979 numeric
@attribute s2605 numeric
@attribute s2863 numeric
@attribute s3048 numeric
@attribute s3077 numeric
@attribute s3235 numeric
@attribute s3308 numeric
@attribute s3376 numeric
@attribute s3404 numeric
@attribute s5176 numeric
@attribute bug_introducing {0,1}

@data
337,2,0.701358,2,2,0,1,5,10,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
337,2,0.701358,1,1,0,1,5,10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,2,0.701358,12,12,0,1,5,10,1,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
337,2,0.701358,34,45,0,1,5,10,1,0,0,0,0,0,0,0,0,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1
337,2,0.701358,1,1,0,6,1,23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
337,2,0.701358,1,1,0,6,1,23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,2,0.701358,12,12,0,6,1,23,1,0,0,0,0,0,0,0,0,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
337,2,0.701358,2,4,0,6,1,23,1,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
337,2,0.701358,25,27,0,6,1,23,1,0,0,0,0,0,0,0,0,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
198,2,0.991076,1,4,0,-1,0,-2,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,2,0.991076,1,5,0,-1,0,-3,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1,0.944623,2,6,0,0,-8,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1,0.944623,5,12,0,0,-8,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1,0.944623,3,8,0,0,-8,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
