MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
45.99,65.69,73.72,56.93,45.26,59.85,68.61,52.55
48.18,59.85,70.8,61.31,46.72,54.74,67.15,54.01
52.55,63.5,73.72,59.12,45.26,62.77,69.34,57.66
46.72,63.5,72.99,60.58,44.53,59.85,67.88,56.93
48.18,63.5,72.99,59.12,49.64,59.12,70.07,53.28
51.09,62.77,70.07,59.85,45.26,61.31,67.15,56.93
49.64,64.96,72.99,56.93,45.99,58.39,72.26,54.01
45.99,65.69,73.72,59.85,43.8,58.39,71.53,57.66
47.45,62.77,75.18,59.12,44.53,59.85,70.07,54.74
45.99,63.5,72.99,59.12,43.8,59.85,70.8,56.2
46.72,61.31,72.26,56.2,46.72,58.39,67.88,52.55
45.99,64.23,73.72,60.58,42.34,57.66,69.34,54.74
48.91,64.23,75.91,55.47,43.8,59.12,69.34,56.93
48.91,64.96,74.45,58.39,48.18,56.2,70.07,54.01
48.18,59.12,70.8,56.93,43.07,60.58,68.61,56.93
51.82,64.96,72.26,60.58,44.53,59.85,71.53,57.66
43.07,62.77,73.72,59.12,43.8,62.04,70.8,57.66
49.64,65.69,76.64,61.31,45.26,63.5,72.99,59.12
49.64,63.5,72.26,58.39,47.45,62.04,65.69,58.39
50.36,61.31,75.18,59.85,47.45,59.12,67.88,58.39
46.72,62.04,74.45,55.47,45.99,57.66,70.07,56.2
47.45,61.31,74.45,57.66,43.07,59.12,72.26,53.28
46.72,59.12,73.72,60.58,42.34,54.01,68.61,56.93
48.91,64.23,73.72,60.58,45.99,59.12,72.26,56.2
48.91,63.5,75.91,59.85,45.26,60.58,71.53,54.01
48.91,62.77,71.53,62.04,47.45,62.77,71.53,54.74
47.45,60.58,72.26,54.74,45.26,56.93,70.8,51.82
45.99,61.31,70.8,56.93,46.72,57.66,66.42,55.47
47.45,63.5,72.99,59.85,45.26,58.39,71.53,56.93
48.91,62.77,72.99,59.12,48.18,59.12,72.26,56.93
46.72,64.23,75.91,59.12,43.8,60.58,70.8,56.2
48.18,62.77,72.26,56.2,45.99,57.66,67.15,51.82
50.36,67.88,72.99,60.58,47.45,59.85,70.07,59.12
50.36,61.31,69.34,60.58,47.45,58.39,67.15,54.74
48.91,62.77,75.18,62.04,49.64,62.04,70.8,56.93
49.64,61.31,72.26,56.93,47.45,59.12,70.07,55.47
46.72,63.5,72.99,56.93,47.45,58.39,70.07,55.47
46.72,62.04,75.18,62.04,45.26,58.39,70.8,58.39
49.64,62.04,72.26,60.58,49.64,59.85,67.15,56.93
48.18,64.23,75.91,56.93,49.64,59.85,70.8,55.47
49.64,64.96,75.18,57.66,45.99,58.39,70.07,56.2
49.64,65.69,75.18,62.77,48.91,59.85,72.26,56.2
46.72,65.69,73.72,57.66,42.34,62.04,71.53,58.39
47.45,62.77,73.72,59.12,44.53,60.58,69.34,56.2
47.45,62.77,70.8,56.2,44.53,59.12,69.34,54.74
50.36,64.96,71.53,56.93,43.07,60.58,68.61,56.2
50.36,63.5,75.18,58.39,48.91,61.31,69.34,54.01
49.64,61.31,75.18,59.12,45.99,59.85,73.72,55.47
51.09,63.5,71.53,59.12,44.53,58.39,72.99,54.74
44.53,64.96,74.45,59.12,43.07,54.01,67.15,56.2
47.45,59.12,70.07,57.66,43.8,55.47,67.15,53.28
45.99,62.77,71.53,59.85,46.72,59.85,67.88,55.47
48.18,61.31,73.72,59.85,44.53,59.12,68.61,56.93
46.72,61.31,71.53,58.39,43.8,59.12,70.8,56.2
48.91,62.77,75.91,56.93,43.8,56.93,70.07,53.28
46.72,61.31,70.8,62.04,43.8,56.2,68.61,56.2
47.45,62.77,73.72,60.58,43.8,61.31,70.07,56.93
50.36,63.5,72.26,62.04,46.72,59.85,72.26,56.93
47.45,58.39,71.53,59.12,45.26,56.2,72.26,54.01
48.91,64.23,73.72,56.2,44.53,57.66,68.61,53.28
46.72,60.58,71.53,58.39,44.53,57.66,69.34,55.47
48.91,61.31,73.72,56.2,45.26,59.12,71.53,51.82
48.18,59.85,75.18,59.12,46.72,57.66,71.53,56.2
48.91,64.23,70.07,58.39,45.99,59.12,70.07,56.2
48.18,62.04,75.18,59.12,45.26,59.12,70.8,57.66
49.64,65.69,72.26,57.66,47.45,59.85,72.26,54.01
49.64,63.5,73.72,59.12,46.72,60.58,70.07,54.74
48.18,65.69,74.45,57.66,44.53,59.12,68.61,54.01
45.99,65.69,73.72,59.12,43.8,59.85,70.07,54.74
50.36,62.77,74.45,59.85,46.72,60.58,70.8,58.39
47.45,64.23,73.72,58.39,45.26,57.66,71.53,54.74
49.64,66.42,73.72,59.12,45.99,60.58,70.8,53.28
48.91,64.23,75.91,61.31,43.8,60.58,72.26,56.93
48.18,63.5,75.91,62.04,43.8,59.85,70.8,55.47
47.45,63.5,70.8,54.74,40.15,59.12,70.8,54.01
47.45,62.77,71.53,59.85,45.99,60.58,70.07,56.93
48.18,64.96,75.91,62.77,44.53,62.04,71.53,59.85
49.64,65.69,77.37,58.39,47.45,59.85,69.34,56.93
51.82,65.69,75.18,59.12,47.45,60.58,70.8,57.66
49.64,63.5,72.99,58.39,48.18,62.04,70.8,56.2
45.26,61.31,75.18,55.47,42.34,58.39,69.34,51.82
49.64,64.96,72.99,58.39,44.53,62.77,72.99,58.39
48.18,59.85,72.99,60.58,45.99,57.66,74.45,56.2
48.18,62.04,73.72,59.12,43.8,62.04,70.8,56.2
48.91,66.42,75.91,59.12,47.45,59.85,69.34,58.39
47.45,64.23,71.53,59.12,46.72,59.12,70.07,56.93
47.45,61.31,72.99,59.12,45.99,57.66,70.07,55.47
48.91,63.5,74.45,59.85,41.61,61.31,71.53,54.74
45.26,62.04,71.53,58.39,43.8,61.31,67.15,53.28
44.53,59.12,72.99,59.85,43.8,59.12,70.8,54.74
49.64,62.04,72.99,59.12,48.18,59.12,70.07,57.66
49.64,64.96,74.45,59.12,43.07,61.31,71.53,57.66
48.18,63.5,73.72,56.93,43.8,57.66,69.34,56.2
48.18,61.31,71.53,57.66,43.8,59.85,70.07,55.47
48.91,62.04,72.99,59.85,45.26,58.39,69.34,59.12
45.26,62.04,74.45,57.66,46.72,63.5,72.99,56.2
47.45,64.96,76.64,59.85,43.8,62.04,70.8,56.2
46.72,62.04,72.99,59.12,44.53,60.58,67.88,54.01
51.09,63.5,74.45,57.66,43.07,63.5,71.53,55.47
47.45,59.85,75.91,58.39,47.45,56.2,70.8,54.01

