MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
48.53,62.45,68.5,58.24,50.18,58.61,66.3,56.59
48.35,62.27,69.41,59.16,44.14,57.69,66.3,56.23
48.53,60.81,69.41,59.16,45.79,59.16,66.3,57.51
49.27,60.81,70.33,57.88,47.25,59.16,66.67,55.68
47.8,62.09,69.41,58.42,45.6,59.52,64.84,56.59
48.17,61.54,69.41,59.89,46.34,59.52,67.4,56.78
49.63,62.09,69.41,59.16,45.24,59.71,66.12,55.13
47.07,60.81,67.77,58.97,45.79,57.33,65.75,56.59
47.44,62.64,69.41,58.24,44.14,57.69,66.85,56.41
49.45,60.44,68.86,58.06,45.05,58.79,65.93,55.68
48.72,61.72,69.78,58.79,47.44,58.42,67.03,55.31
47.8,60.81,69.05,59.71,46.15,58.97,67.22,57.33
48.35,60.44,67.58,58.42,45.97,58.61,66.67,56.59
47.62,61.17,68.86,58.97,44.69,58.61,67.03,57.69
49.08,61.72,68.5,59.52,45.42,58.97,67.58,57.33
48.35,61.17,69.23,60.26,46.89,58.24,67.4,55.86
48.72,59.89,69.05,59.16,45.6,58.97,65.93,56.78
48.9,62.45,71.25,58.06,43.96,58.42,67.22,55.49
49.45,62.27,68.5,58.79,43.96,59.34,66.85,56.41
47.44,63.19,68.32,58.61,45.42,58.06,66.67,57.33
47.99,61.54,70.15,59.71,46.52,58.79,65.75,55.68
47.99,63.19,69.6,58.97,46.15,59.52,65.02,55.68
47.8,60.99,67.95,59.71,44.51,58.24,66.3,56.59
48.72,62.64,69.05,60.26,45.97,59.89,66.12,57.14
47.99,62.45,68.68,57.69,45.05,59.52,65.57,55.86
47.07,60.99,67.4,58.24,45.24,58.42,66.12,56.04
48.9,61.36,69.41,59.34,45.05,59.52,66.48,56.04
46.89,60.07,68.86,58.24,44.69,57.14,64.65,54.95
49.08,60.26,66.67,59.16,45.79,57.88,64.84,56.23
47.44,60.99,68.5,56.78,44.69,56.78,66.67,56.04
46.89,62.64,69.41,59.34,44.32,59.34,66.67,56.04
48.72,62.64,68.5,59.71,45.97,59.52,67.03,56.59
48.9,62.64,69.78,58.79,46.7,58.79,68.32,56.23
48.35,60.26,69.05,58.24,45.42,59.71,64.47,54.95
48.53,61.36,68.68,58.79,45.79,58.61,66.67,55.49
47.62,59.89,69.05,58.42,44.51,59.16,65.02,55.31
48.35,60.44,68.5,59.89,53.48,58.24,65.2,57.14
49.82,60.81,69.41,57.51,47.07,58.61,66.67,55.68
49.45,61.17,69.23,58.97,45.42,58.61,66.12,57.51
49.82,62.09,69.6,58.42,46.52,58.97,66.48,56.04
50.0,62.45,70.51,59.89,45.97,59.71,65.93,56.41
48.9,61.72,69.23,57.88,46.15,59.52,65.57,55.49
49.08,59.89,69.41,58.61,44.69,57.14,64.65,56.59
47.07,61.72,69.41,59.89,45.05,59.89,65.2,55.49
48.53,61.72,69.05,57.88,44.51,58.24,67.03,56.23
48.72,62.45,69.96,60.44,45.24,58.97,67.58,56.96
47.8,62.82,69.05,58.24,45.24,57.69,66.3,56.78
50.55,62.82,71.98,58.42,47.44,59.71,67.58,55.86
47.62,59.89,68.5,58.61,50.0,58.61,64.84,55.49
47.62,61.9,68.86,58.42,44.69,60.07,67.22,57.14
47.99,59.89,68.5,58.61,45.24,58.61,67.4,56.23
49.82,62.09,69.78,57.33,45.24,60.07,66.3,55.49
47.8,62.27,69.78,58.79,45.97,57.69,65.2,55.31
49.08,61.36,68.68,60.26,46.15,58.79,66.12,56.41
47.62,62.45,69.6,58.06,45.42,57.88,66.48,54.21
49.27,60.62,69.23,58.06,46.52,60.07,65.93,55.49
47.62,62.27,69.96,58.97,45.79,59.16,66.12,56.96
47.44,60.99,69.23,57.51,44.51,58.97,65.75,56.59
47.44,61.54,68.32,58.79,44.87,58.97,65.57,55.31
48.72,62.82,70.51,58.97,45.24,58.24,66.85,56.04
46.7,60.26,68.13,58.06,45.24,58.06,65.75,56.23
49.08,62.45,70.15,58.61,45.24,57.88,65.75,56.04
48.72,60.99,70.33,57.88,46.34,58.61,67.03,56.78
48.72,63.0,69.05,59.16,46.34,59.52,68.13,57.51
47.44,60.81,68.5,58.42,46.7,59.52,67.4,57.14
48.9,60.62,68.86,60.44,48.17,58.79,66.3,57.33
49.63,59.89,69.78,58.79,45.79,57.88,64.65,57.51
47.99,61.54,70.15,56.59,47.44,58.79,66.48,54.95
47.8,61.36,68.68,57.69,45.97,58.79,65.93,56.23
48.35,61.36,67.77,58.97,45.97,58.79,65.2,55.13
48.9,60.99,67.95,57.88,51.1,58.24,66.48,56.59
49.27,61.36,70.15,58.24,47.07,59.52,64.84,56.04
48.9,60.81,67.95,58.24,44.69,58.79,66.3,55.68
49.08,61.17,68.5,58.79,45.79,58.06,66.67,56.04
46.7,62.09,69.05,58.42,54.4,58.06,66.12,55.86
49.45,62.45,68.68,58.61,45.24,58.61,65.57,56.23
49.63,60.99,67.77,59.16,45.79,58.42,65.2,55.68
46.52,60.62,69.23,58.06,43.59,58.42,66.48,56.41
47.8,60.26,70.33,59.89,51.47,57.51,66.85,56.23
49.82,62.64,68.68,60.81,46.89,59.34,66.12,56.23
47.62,61.54,69.05,58.97,45.79,58.61,67.77,56.23
48.17,60.81,69.78,57.69,45.05,58.97,65.93,56.04
48.35,61.36,69.41,58.06,44.87,58.79,66.12,55.49
50.37,61.17,67.77,59.16,45.97,58.97,66.48,55.68
49.45,60.26,69.05,58.06,46.15,58.97,65.57,57.14
47.44,62.09,68.5,57.69,43.22,58.97,66.67,55.49
46.89,60.07,66.85,58.42,44.69,57.51,64.47,54.95
47.99,61.72,67.77,58.79,45.05,59.16,65.75,56.59
46.52,60.26,69.96,58.06,45.6,57.88,66.48,55.31
46.7,60.81,69.23,57.69,44.69,58.97,66.48,55.86
48.35,61.17,68.5,59.34,53.66,58.61,65.02,55.31
48.72,61.36,70.7,59.16,45.24,59.34,66.85,57.33
48.72,60.99,70.51,59.52,45.42,58.79,67.77,56.96
48.35,60.81,68.32,59.16,47.07,58.61,65.38,55.68
49.27,62.09,70.88,58.06,44.87,59.16,67.22,56.04
48.53,61.54,68.5,58.24,44.87,58.06,66.3,55.49
48.53,61.36,69.6,56.96,46.52,57.88,65.02,54.03
47.44,61.9,68.13,57.69,45.42,58.79,65.57,55.86
47.25,61.54,70.88,59.16,45.6,59.16,67.22,56.23
47.07,61.36,69.78,57.14,45.24,58.61,65.75,55.68

