MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
93.42,96.71,98.35,95.06,93.42,95.47,97.94,95.06
93.83,96.3,99.18,96.3,93.42,95.88,98.35,95.06
93.83,96.3,98.35,94.65,93.0,95.06,98.35,94.65
93.42,96.3,97.94,95.88,93.0,95.47,97.53,95.06
93.83,95.06,99.18,94.65,93.0,94.65,97.94,94.24
93.83,95.47,99.18,95.06,93.83,94.65,98.77,94.65
93.83,96.71,98.77,95.88,93.0,95.88,97.94,94.65
93.0,95.06,98.77,94.24,93.0,94.65,97.53,93.83
93.0,96.3,99.18,95.47,93.83,95.47,98.77,95.06
93.83,95.88,98.35,95.06,93.42,95.47,97.53,94.24
92.59,96.3,99.18,94.65,93.42,95.88,99.18,94.65
93.0,96.3,97.94,95.47,93.42,95.47,97.94,95.06
93.42,95.88,98.77,95.88,92.59,95.06,98.77,95.06
93.42,95.06,99.18,94.65,93.0,94.65,97.94,93.83
92.59,94.65,98.77,94.24,92.18,95.06,97.94,93.83
92.59,95.06,98.35,95.06,93.42,95.06,97.12,94.24
93.42,95.88,98.77,95.88,92.59,95.06,97.94,94.24
92.18,96.3,99.18,95.88,92.18,95.88,98.35,95.06
93.0,95.88,97.94,94.65,93.42,96.3,97.94,95.06
93.42,95.88,98.77,95.47,93.42,95.47,98.77,94.65
94.24,96.71,98.35,95.88,93.83,95.88,97.53,95.47
93.42,96.3,98.35,95.47,93.42,95.06,97.94,95.06
93.0,95.06,97.94,94.65,92.59,95.06,97.12,93.42
93.42,96.3,98.35,95.88,93.83,95.06,98.35,94.24
92.59,94.65,98.35,95.06,93.83,94.24,97.94,94.24
92.59,95.88,99.18,94.65,93.42,95.47,98.77,94.65
93.0,95.06,98.35,95.06,93.42,95.47,97.94,94.65
92.59,96.71,98.77,95.47,92.59,95.47,98.77,95.06
94.65,96.3,99.18,95.47,93.42,96.3,98.77,94.65
93.0,95.88,99.18,94.65,92.59,94.65,98.35,94.24
93.42,96.3,97.94,95.88,93.0,95.88,98.35,94.65
93.0,97.53,98.77,95.88,93.42,95.88,98.77,94.24
93.83,96.71,98.35,95.47,93.42,95.88,97.94,95.06
93.42,95.88,97.94,95.47,93.42,95.47,97.53,95.47
93.42,95.88,98.77,95.47,93.42,96.3,97.94,95.06
93.83,96.3,97.94,95.88,93.83,95.47,98.35,95.06
93.42,95.88,98.35,95.88,92.59,95.88,97.12,95.88
93.42,96.71,98.77,95.06,92.59,95.88,97.12,94.65
93.83,96.3,98.35,93.42,93.42,95.47,98.35,94.24
93.42,95.47,97.94,94.65,93.42,95.47,97.94,94.65
93.83,95.47,99.18,95.06,93.42,95.06,98.77,95.06
93.42,95.06,98.77,94.24,93.42,95.47,98.35,93.83
93.42,96.71,98.77,95.06,92.59,95.88,97.94,94.65
93.0,96.3,99.18,95.06,93.0,95.88,98.77,94.65
93.83,95.47,98.77,95.47,93.42,95.47,97.53,95.47
93.83,97.12,98.77,95.47,92.59,95.88,98.35,94.65
93.42,96.3,98.77,95.06,93.83,95.06,97.94,95.06
93.83,95.47,98.35,95.47,93.42,95.47,97.94,94.65
93.83,96.3,98.35,95.88,93.0,96.3,98.35,95.47
93.0,97.12,97.53,95.06,93.42,95.88,97.94,95.06
95.06,95.88,97.53,95.47,93.83,96.3,97.53,95.06
93.42,95.06,98.35,94.65,93.42,95.06,97.94,95.06
93.0,95.88,98.77,95.06,92.18,95.47,98.35,95.06
94.24,95.88,99.18,95.88,93.42,95.06,98.77,95.06
93.83,95.47,99.18,95.47,93.42,95.88,97.94,95.47
92.59,96.3,98.35,95.06,92.18,95.47,97.53,95.06
94.24,96.3,97.53,95.06,92.59,95.47,97.12,94.65
93.0,96.3,98.77,96.3,92.18,95.06,97.53,95.06
93.42,96.71,97.94,95.47,92.59,96.3,98.35,95.06
93.83,96.3,98.35,95.47,93.42,95.47,97.53,95.06
93.42,96.3,99.18,95.88,93.42,95.88,97.53,95.47
93.42,93.83,99.18,93.83,93.42,93.42,98.35,93.83
94.24,96.3,97.94,95.88,93.42,95.06,98.35,95.06
93.0,95.88,98.35,95.88,93.83,95.47,99.18,95.47
93.83,96.3,98.77,95.88,93.83,95.88,98.77,94.65
92.18,95.06,97.94,95.47,93.0,95.06,97.94,94.65
92.59,95.88,99.59,94.24,93.0,95.06,98.77,94.65
92.59,95.88,99.18,95.47,93.42,95.88,98.35,95.06
93.42,95.88,97.94,94.65,93.42,95.06,97.53,94.65
92.18,96.3,98.35,95.47,93.0,95.47,97.94,95.47
93.83,95.88,98.35,94.65,93.0,95.88,98.35,95.47
93.42,95.88,99.18,95.06,91.36,95.88,97.94,94.65
93.83,95.88,98.35,95.47,93.42,96.3,97.94,94.65
93.0,95.47,99.18,95.47,93.42,95.88,98.35,94.65
92.59,95.47,98.77,94.65,92.59,95.06,97.12,94.65
93.42,96.71,98.35,93.83,93.42,95.47,98.35,94.24
94.24,95.88,98.35,95.47,93.42,95.88,98.35,95.06
93.42,96.3,98.77,95.47,93.42,95.47,97.94,93.83
93.0,96.71,98.77,94.65,93.0,95.88,98.77,94.24
93.42,96.71,98.35,95.47,93.0,95.88,98.35,95.47
95.06,96.3,97.53,95.47,93.42,95.47,97.94,94.65
94.65,96.71,97.94,95.47,93.0,95.88,97.53,94.65
93.42,95.88,98.35,95.06,93.0,95.88,97.94,95.06
93.42,95.06,98.35,93.83,93.42,94.65,97.94,93.42
93.42,95.88,98.77,95.06,92.59,95.47,97.53,95.06
93.42,95.06,98.35,95.47,92.59,95.06,97.94,95.06
93.42,95.88,99.18,94.65,93.0,95.06,99.18,95.06
92.59,95.06,97.94,95.47,92.59,95.06,98.35,94.24
93.0,96.3,99.18,94.65,93.0,95.06,98.35,94.65
93.0,96.3,98.77,94.65,93.42,95.06,97.53,95.06
93.42,95.88,98.35,95.88,93.83,95.47,97.94,95.47
93.42,95.88,97.94,95.06,93.83,95.47,97.94,94.24
93.83,95.88,99.18,94.65,93.42,95.47,98.77,93.83
93.42,95.88,97.53,95.47,93.0,95.47,97.53,95.06
93.42,95.88,98.77,95.06,93.0,94.24,98.35,94.24
92.59,95.06,99.18,93.83,93.42,95.06,97.12,94.65
93.0,96.71,98.35,95.47,93.42,95.47,98.35,95.47
93.42,95.47,98.77,94.65,93.42,94.65,97.94,94.65
94.24,96.3,98.77,95.06,93.0,95.88,98.35,95.06
93.83,96.3,98.35,96.3,93.42,95.47,97.12,95.06

