MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
63.83,59.57,72.87,55.85,67.55,54.26,67.02,55.32
56.91,55.85,70.74,54.26,55.85,55.32,63.83,51.06
61.7,57.45,72.87,55.32,62.77,54.26,69.15,54.26
55.32,57.98,69.15,55.32,62.23,54.26,68.09,53.72
56.91,59.04,69.15,56.91,59.57,55.85,64.89,52.13
67.02,58.51,72.34,56.91,65.43,53.72,70.74,52.66
60.64,58.51,71.81,57.98,61.17,55.32,68.09,52.66
53.72,61.17,72.34,57.98,62.77,59.04,70.21,52.66
56.91,55.32,70.21,57.98,61.17,52.66,67.02,53.19
62.77,55.85,67.55,54.79,63.83,53.19,66.49,50.53
56.91,58.51,68.09,55.85,56.91,55.32,64.36,52.13
60.64,58.51,69.15,57.98,68.62,55.85,66.49,54.26
62.23,57.98,72.87,56.38,68.62,53.19,66.49,54.26
53.72,59.57,67.55,58.51,62.77,56.38,65.96,51.6
56.91,56.91,69.15,57.45,61.7,55.32,67.02,52.66
57.45,59.57,70.21,57.98,62.23,57.45,67.02,53.19
62.23,59.04,70.74,58.51,60.11,55.85,66.49,54.26
54.79,58.51,71.28,57.45,63.83,53.72,65.96,54.79
63.3,58.51,67.55,55.32,64.89,55.32,67.55,54.79
68.62,56.91,66.49,56.91,64.36,52.66,64.89,52.66
55.32,57.98,67.02,54.79,59.04,53.72,64.36,51.06
57.98,60.11,70.21,57.45,67.55,54.79,69.15,53.72
62.77,59.04,70.21,55.85,64.36,55.85,68.09,51.6
59.04,56.91,69.68,58.51,53.19,52.13,69.68,53.72
59.57,61.17,72.87,56.38,61.7,57.98,68.09,53.19
56.38,57.98,67.55,56.91,61.17,55.32,67.02,52.66
56.91,56.91,69.68,56.91,57.98,57.98,69.68,53.72
51.06,58.51,69.15,55.85,53.72,55.32,66.49,54.79
59.04,61.17,69.15,55.32,60.64,53.19,68.62,51.06
59.04,57.98,70.74,57.98,67.55,53.19,70.21,52.13
54.79,58.51,72.87,54.26,63.3,54.26,67.55,53.19
55.32,60.11,69.68,55.32,64.89,54.26,68.09,52.66
56.38,60.64,68.62,57.45,60.64,54.79,66.49,51.6
64.36,57.45,68.62,58.51,64.89,55.32,67.02,53.19
56.38,58.51,69.15,57.98,59.04,53.72,64.36,55.32
57.98,55.85,71.28,56.38,64.36,53.72,69.15,52.66
47.87,59.04,71.28,57.98,63.83,52.13,69.15,55.32
55.85,58.51,69.68,57.98,63.3,54.79,70.74,54.79
60.64,59.57,70.21,56.91,60.11,54.26,70.21,52.66
61.7,58.51,70.21,57.45,54.26,54.79,68.62,51.06
61.17,61.17,70.74,54.79,57.98,57.45,69.15,51.6
55.85,60.64,69.15,55.85,69.15,55.32,68.09,51.6
68.09,59.04,69.68,54.26,68.62,56.38,69.15,53.72
55.85,60.11,70.21,55.32,53.72,57.45,69.68,52.13
50.0,59.04,67.02,54.26,69.15,53.72,67.55,52.13
55.85,60.11,69.68,59.04,63.83,52.66,68.09,54.79
62.77,60.64,70.74,59.04,55.85,57.98,68.62,54.26
