MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
72.74,85.16,86.77,86.29,75.0,86.13,86.61,85.48
74.19,82.74,86.45,83.87,70.81,84.19,86.45,83.87
73.06,85.65,88.06,86.77,71.61,86.94,87.42,86.45
72.9,85.32,89.19,87.42,73.39,86.94,88.39,85.81
72.74,82.74,87.26,85.81,71.77,84.52,86.61,84.35
72.74,82.1,89.19,86.29,73.39,85.81,87.26,85.65
73.71,84.68,89.68,87.58,73.71,87.42,89.35,87.26
73.23,83.06,87.42,86.45,71.61,86.13,87.42,85.16
72.42,81.13,86.13,84.35,71.45,83.39,85.81,83.39
71.94,83.06,88.71,86.13,70.81,86.13,88.55,85.32
74.68,85.81,88.55,87.9,74.52,86.61,87.9,86.94
72.9,85.0,88.06,86.45,71.94,86.29,88.06,86.29
70.97,83.71,87.1,85.32,70.97,85.0,86.13,84.68
71.61,83.39,86.29,84.84,69.19,84.52,86.13,84.19
74.35,84.84,89.03,87.9,73.39,87.42,87.9,86.77
71.77,82.58,87.42,85.97,70.32,84.19,87.74,84.84
71.45,84.52,90.32,86.94,73.06,87.42,87.42,86.29
72.1,82.42,86.77,85.16,70.0,84.84,86.94,84.19
75.32,85.32,88.71,87.1,76.45,86.77,88.87,86.61
74.52,86.94,89.35,88.06,73.06,88.06,89.35,88.55
74.19,83.23,88.71,86.77,71.13,85.65,88.06,84.68
72.42,83.71,87.9,86.45,75.48,85.97,87.74,85.81
70.97,82.9,87.1,84.84,69.68,84.19,85.97,84.35
72.58,84.52,89.84,87.1,73.06,86.77,88.39,85.32
72.26,86.29,89.03,89.03,75.48,88.23,89.68,87.58
73.55,84.19,87.1,84.84,71.94,86.29,87.42,85.16
72.26,84.52,88.23,86.13,71.45,85.48,86.61,85.16
71.61,80.97,84.19,82.58,70.65,83.55,84.03,81.94
71.77,83.55,86.29,85.16,69.52,84.35,85.0,83.55
70.81,84.19,86.94,84.68,71.13,85.0,85.97,83.55
71.77,83.87,88.23,85.97,70.81,86.77,86.77,85.81
75.16,85.97,86.61,86.29,73.39,87.26,87.42,85.65
71.77,83.87,86.94,86.29,73.55,86.13,86.45,85.32
72.9,84.68,89.52,85.97,70.65,86.45,88.23,86.29
72.42,84.84,88.39,85.97,72.42,86.94,88.39,85.97
73.71,85.16,88.39,88.39,71.77,85.97,88.23,86.61
74.19,85.81,89.03,88.23,71.61,87.74,88.39,86.77
72.26,83.55,88.23,85.16,70.97,86.29,87.74,84.03
71.45,85.65,87.26,87.58,74.19,87.9,87.9,86.29
74.03,84.35,87.26,85.81,73.55,85.32,87.42,84.52
72.42,83.23,87.1,86.13,70.16,85.16,85.16,84.35
71.29,80.32,86.13,83.55,71.29,83.06,85.81,83.55
70.97,84.03,87.9,86.29,73.55,86.29,86.94,85.48
72.26,84.35,88.71,87.26,72.1,86.61,87.58,85.16
73.23,85.32,89.52,86.61,72.74,86.29,88.23,86.13
73.06,83.87,88.23,84.84,72.26,85.32,86.29,84.19
70.0,84.03,88.06,86.29,70.48,85.0,87.26,85.48
73.23,85.97,87.74,86.29,73.87,86.77,87.42,85.16
74.35,84.03,87.26,86.13,73.23,86.29,86.77,85.48
74.03,85.48,88.23,86.45,71.29,85.97,87.1,86.13
72.26,85.0,88.06,85.32,71.94,85.81,87.26,84.19
72.74,84.68,88.87,87.74,72.9,87.26,88.39,86.77
75.0,84.84,87.58,87.1,74.52,86.29,86.77,85.97
72.26,84.19,86.77,84.84,70.48,83.87,86.13,84.68
76.13,85.65,89.35,88.39,73.23,87.74,89.35,86.45
72.74,85.16,88.87,87.26,73.39,86.29,88.06,85.97
75.48,84.19,87.42,86.45,76.13,85.65,87.9,85.48
69.68,83.71,87.26,85.65,72.26,85.48,87.42,85.32
74.03,84.19,87.1,86.77,73.39,86.13,86.94,85.97
68.55,83.23,87.26,84.52,66.29,83.55,85.0,82.58
70.97,81.29,85.65,85.81,69.35,84.68,85.81,84.68
74.84,85.0,89.84,87.26,74.35,88.71,88.55,87.58
72.58,84.03,87.9,87.1,74.03,85.97,87.42,86.45
73.55,85.97,88.55,87.1,71.61,87.1,88.23,85.81
72.9,85.48,89.19,88.23,70.81,86.45,87.42,87.42
72.9,85.48,88.87,86.77,71.61,86.77,88.06,85.32
72.26,84.68,88.23,87.26,71.77,85.48,86.77,85.16
70.0,85.65,88.23,87.26,70.97,86.61,88.55,86.45
73.23,83.55,86.29,85.97,74.52,85.97,86.45,85.0
75.48,85.97,88.39,87.58,74.52,87.1,87.1,86.94
74.19,83.55,87.74,85.81,71.77,84.52,87.9,84.19
73.06,85.16,89.03,87.58,70.48,86.94,89.35,85.16
73.71,85.81,87.58,87.9,72.1,87.26,88.39,86.45
72.42,81.77,84.19,83.39,71.13,83.55,83.87,81.77
70.48,83.55,87.58,85.48,73.06,84.03,85.16,83.87
74.19,85.65,86.94,86.45,73.39,86.61,86.77,85.97
72.26,83.87,88.23,86.61,70.32,86.29,87.26,85.65
73.06,85.48,87.74,86.77,71.77,86.45,87.42,85.0
72.1,84.03,87.74,86.77,72.1,85.81,86.61,85.81
74.52,85.97,89.35,87.42,75.81,87.42,88.23,87.1
72.9,83.55,88.39,87.1,72.74,86.94,87.42,86.13
72.42,84.35,88.06,84.84,74.35,85.32,86.94,84.19
70.65,83.71,86.94,85.48,72.26,85.65,85.81,85.48
71.45,83.71,87.58,85.97,71.94,86.29,87.74,85.16
72.9,83.55,87.9,86.61,74.52,86.29,86.13,86.13
71.45,84.19,87.42,86.45,76.45,85.32,87.26,86.45
70.97,84.68,88.39,86.45,71.77,86.45,87.58,85.16
72.74,85.97,88.71,88.87,74.68,87.58,88.39,87.74
72.26,83.87,86.13,85.48,71.29,85.16,86.13,85.0
71.77,85.48,87.74,87.1,75.0,86.77,87.42,85.97
74.35,84.03,87.9,86.61,72.74,85.32,86.13,85.65
73.55,84.52,87.74,85.81,73.06,86.94,87.58,85.97
73.06,84.68,88.39,85.81,74.52,86.77,87.26,85.16
71.13,84.68,86.94,86.29,72.42,84.52,86.13,85.16
72.42,85.65,88.71,86.77,72.9,85.97,88.39,85.81
73.87,85.97,89.35,88.71,71.77,87.26,89.52,86.94
73.23,84.52,88.06,86.94,74.68,87.26,87.74,85.65
73.06,85.48,88.23,87.9,71.29,86.61,88.71,86.94
72.42,85.97,88.71,87.9,72.74,87.1,87.42,86.77
73.39,85.48,88.55,86.94,74.03,86.77,87.74,85.65

