MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
41.77,44.3,50.63,47.47,33.54,46.2,47.47,48.73
34.18,47.47,52.53,48.73,34.18,47.47,48.1,47.47
39.24,45.57,47.47,45.57,37.34,45.57,48.1,44.3
38.61,44.94,46.84,44.94,32.91,45.57,45.57,44.3
36.71,45.57,48.1,45.57,33.54,44.3,48.1,46.84
37.34,47.47,46.2,45.57,35.44,46.2,45.57,44.3
34.18,46.84,47.47,47.47,31.65,44.94,46.2,43.04
37.97,48.1,50.0,48.1,34.18,44.94,50.0,45.57
34.18,47.47,51.27,50.0,34.81,46.84,48.73,48.73
37.97,48.73,49.37,45.57,35.44,46.2,46.84,46.84
36.71,47.47,49.37,48.73,35.44,45.57,48.73,44.94
35.44,47.47,48.1,50.63,37.34,46.84,49.37,49.37
35.44,49.37,50.0,47.47,33.54,48.1,47.47,46.2
36.71,47.47,50.63,48.1,37.97,46.84,46.84,46.2
33.54,47.47,46.84,50.0,32.91,46.84,45.57,46.2
37.97,46.84,48.1,48.1,34.18,45.57,48.1,46.84
35.44,48.1,48.1,46.2,32.91,46.84,45.57,45.57
36.71,46.84,49.37,45.57,32.28,49.37,48.73,43.04
39.87,46.84,46.2,48.1,34.18,44.94,45.57,46.2
34.81,47.47,48.73,47.47,37.34,46.2,46.2,47.47
37.97,47.47,49.37,47.47,36.08,46.84,44.94,45.57
34.81,46.84,48.73,46.2,34.18,43.67,46.84,44.3
37.34,46.2,48.1,48.73,37.34,46.2,44.94,48.73
39.24,46.84,49.37,47.47,35.44,44.3,44.3,45.57
41.14,46.84,49.37,48.73,36.08,45.57,46.84,46.84
36.71,48.73,46.84,49.37,35.44,46.84,46.84,47.47
37.34,48.73,50.0,46.84,32.91,46.2,46.84,44.94
35.44,45.57,49.37,47.47,33.54,44.94,50.0,44.94
36.08,48.1,48.1,47.47,32.91,44.3,46.2,46.2
39.24,46.84,48.1,48.73,34.81,48.73,47.47,48.1
37.34,46.84,51.27,47.47,36.08,46.84,46.84,46.84
36.08,44.3,48.1,44.94,34.81,43.67,46.84,44.3
34.18,46.84,48.73,46.2,31.65,45.57,47.47,45.57
36.71,48.73,51.27,49.37,35.44,44.94,49.37,45.57
37.34,46.84,50.63,46.2,34.18,47.47,48.73,44.94
38.61,46.84,48.73,46.84,35.44,46.84,49.37,44.94
37.97,45.57,47.47,46.84,34.18,44.94,50.0,48.1
37.34,46.84,48.73,48.73,34.81,45.57,46.84,44.94
38.61,48.1,51.27,47.47,35.44,48.1,49.37,46.2
37.34,46.2,50.0,47.47,35.44,46.2,46.84,44.3
38.61,48.1,49.37,47.47,36.08,46.2,46.2,44.94
36.71,47.47,50.0,47.47,32.91,45.57,45.57,45.57
36.08,48.73,48.1,49.37,36.71,48.1,48.1,45.57
36.71,44.3,47.47,48.73,32.91,45.57,46.2,43.67
34.81,46.2,50.63,46.2,35.44,46.84,47.47,47.47
36.71,48.1,47.47,47.47,31.65,46.2,50.63,47.47
38.61,47.47,48.73,48.1,36.08,43.04,47.47,44.94
34.81,45.57,50.63,49.37,34.81,46.84,47.47,48.73
41.77,46.84,48.73,48.1,37.97,48.1,48.73,46.2
34.18,46.2,47.47,49.37,34.81,47.47,46.2,48.73
36.71,46.2,49.37,48.1,32.91,44.3,48.1,44.94
38.61,47.47,49.37,51.9,34.18,44.94,50.0,46.84
36.71,46.84,51.27,49.37,34.18,45.57,46.84,47.47
36.08,48.73,49.37,45.57,34.81,46.2,48.1,46.84
36.71,48.73,48.1,47.47,33.54,46.84,49.37,48.1
34.18,48.73,50.0,46.84,31.01,46.84,51.27,43.04
37.34,46.84,50.63,49.37,34.81,46.84,46.84,48.73
37.34,45.57,48.73,48.1,35.44,45.57,48.73,47.47
34.81,47.47,49.37,45.57,34.18,47.47,47.47,48.1
35.44,46.2,48.1,51.27,32.91,45.57,46.84,47.47
34.18,44.94,46.84,47.47,34.81,45.57,46.2,43.67
37.34,47.47,48.73,46.2,34.81,44.94,51.9,45.57
35.44,48.1,47.47,48.73,34.18,45.57,47.47,44.94
36.71,48.1,49.37,48.73,34.18,48.1,48.1,48.1
39.87,48.1,50.0,46.84,36.71,46.2,49.37,47.47
34.81,47.47,47.47,48.1,34.18,46.2,44.94,45.57
37.97,46.2,48.1,48.73,36.08,47.47,48.1,45.57
