MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
76.73,60.89,68.81,73.76,76.73,67.82,65.35,73.76
74.26,62.38,67.33,65.84,74.26,72.28,63.37,78.22
78.22,71.29,70.3,75.25,77.23,74.75,66.83,74.75
76.24,61.88,67.33,71.29,76.24,71.78,64.36,73.76
75.25,60.89,69.31,68.32,75.74,74.75,65.35,75.74
77.72,68.81,70.79,68.32,76.24,74.75,66.34,73.27
77.72,66.83,70.79,67.33,76.24,65.35,66.34,72.77
76.73,59.41,66.83,70.79,75.74,70.3,63.86,74.26
73.27,67.82,68.81,75.25,75.25,72.77,64.85,76.24
76.73,59.9,68.32,73.76,76.73,71.78,64.85,72.77
73.76,60.89,67.82,73.27,74.75,72.77,62.87,72.77
76.73,58.91,66.34,70.79,75.25,74.26,64.36,71.29
77.23,69.8,66.83,72.77,76.73,66.34,65.35,72.28
75.25,58.91,64.85,69.8,77.72,73.76,64.36,76.24
77.23,74.26,69.8,72.77,76.24,71.29,64.36,75.25
76.73,72.77,66.83,68.81,75.25,73.76,63.37,75.25
75.74,60.4,68.81,69.31,75.74,66.34,62.38,76.24
76.73,64.36,70.3,74.26,76.73,73.76,66.83,71.78
78.71,68.32,69.31,69.31,77.72,71.29,66.34,74.26
74.75,67.33,67.82,65.84,74.75,72.28,63.86,70.79
74.26,65.35,69.31,68.81,74.75,67.33,62.38,73.27
78.22,61.39,69.31,74.26,75.74,75.74,65.84,73.27
75.25,70.3,67.33,69.8,76.73,72.77,64.36,70.79
75.25,71.29,68.81,70.79,75.74,73.76,66.83,77.72
78.22,66.83,68.32,67.33,75.74,68.81,64.36,74.26
74.26,62.38,72.28,67.82,74.75,76.73,64.85,72.77
77.72,68.32,70.79,73.76,76.24,72.28,64.85,76.24
76.73,69.31,69.8,72.28,76.73,77.23,63.86,70.79
76.73,61.88,69.31,57.92,75.74,70.3,63.86,76.73
73.76,60.4,70.3,69.8,72.77,58.42,62.87,72.28
76.73,61.88,67.82,74.26,76.24,72.28,64.36,75.74
75.74,61.39,68.81,73.27,75.74,68.32,69.8,71.78
75.25,64.85,67.82,69.8,75.25,68.32,66.34,72.77
76.73,61.39,67.33,66.83,76.24,61.39,64.36,71.78
77.23,61.39,70.79,73.76,75.74,70.79,65.84,75.74
76.73,60.89,67.33,69.8,76.73,62.87,65.84,72.77
76.73,59.41,70.79,65.35,75.74,75.25,66.34,75.74
77.72,60.4,71.78,58.91,76.24,65.35,64.85,66.83
75.74,60.4,70.3,74.26,76.73,71.29,64.36,79.21
76.24,61.39,69.31,63.37,74.26,68.32,64.85,75.74
77.72,61.88,69.31,64.85,76.24,66.83,63.86,74.26
78.22,62.38,68.32,72.77,76.24,74.75,66.34,74.26
77.72,59.41,64.85,67.82,74.75,69.31,60.89,71.29
75.74,69.8,67.82,69.8,75.74,71.29,66.34,76.24
77.23,59.9,66.83,60.89,75.74,65.35,63.86,72.28
76.73,60.4,67.82,72.28,76.73,73.27,62.87,72.77
76.24,58.91,68.81,65.84,76.73,74.26,64.36,71.78
76.73,60.89,66.83,73.76,76.73,71.29,62.87,72.28
76.73,60.89,69.31,73.27,76.73,69.8,67.82,79.21
73.76,65.84,70.3,71.78,75.25,72.77,64.85,73.76
76.24,68.81,69.31,66.83,76.24,71.78,65.84,74.26
77.72,58.91,67.82,70.79,75.25,69.8,64.36,76.73
76.73,61.39,67.82,76.24,75.25,66.34,62.87,76.24
74.75,68.32,69.31,72.28,73.76,72.77,64.85,72.77
74.75,60.4,69.31,74.26,74.75,72.77,63.37,72.77
75.74,68.32,69.8,70.3,74.75,67.33,63.37,76.73
74.75,68.32,68.32,71.78,74.75,71.29,64.85,78.22
75.25,63.86,70.79,60.89,76.73,72.77,67.82,73.76
74.26,62.38,68.81,75.74,76.24,75.25,67.33,77.72
77.72,62.87,68.32,62.87,76.24,63.37,64.85,71.78
76.24,58.42,67.33,72.28,75.25,73.27,66.83,72.77
72.77,58.91,68.32,66.83,75.25,63.37,64.85,73.76
77.72,61.39,71.29,68.32,73.76,74.26,66.83,76.73
76.73,60.89,68.32,67.33,75.74,72.77,66.34,76.73
75.74,60.89,68.81,73.76,77.72,70.3,65.84,71.78
77.23,59.9,70.79,66.34,74.75,75.74,63.86,72.28
73.76,60.4,67.33,70.3,76.24,72.77,64.36,70.79
77.23,60.4,68.32,69.8,77.23,72.77,64.36,76.24
74.75,66.83,69.8,69.31,76.24,69.31,65.84,72.77
77.72,61.88,69.31,70.3,75.25,74.75,62.87,77.23
76.24,60.89,69.31,66.34,74.75,70.3,64.85,74.75
78.71,62.87,67.33,66.83,76.24,71.78,65.35,72.28
77.23,60.4,68.81,74.26,76.24,73.27,64.85,73.76
76.73,60.89,68.32,71.29,75.74,69.8,62.38,72.28
75.25,56.93,68.81,63.86,75.25,70.79,61.88,72.28
75.25,72.77,69.8,70.3,75.25,72.77,61.88,73.27
79.21,63.37,71.29,68.81,78.22,75.25,67.82,73.76
76.73,62.87,72.28,73.27,76.73,70.79,64.36,76.73
76.73,67.33,71.29,71.78,77.23,70.79,62.87,76.24
73.27,59.9,69.31,67.33,75.25,69.8,62.87,75.74
77.23,59.9,68.81,61.39,76.24,57.92,65.35,74.75
77.23,69.31,68.81,64.85,75.25,67.33,62.87,72.77
73.27,60.89,68.32,64.36,76.73,63.37,63.86,76.24
76.73,70.79,66.34,75.74,76.24,73.27,61.88,72.77
75.74,66.34,66.83,73.76,75.25,72.28,60.89,76.73
74.75,59.9,67.33,68.32,73.76,70.3,63.86,75.25
76.73,66.83,66.34,74.26,76.24,68.32,63.37,74.75
74.75,57.92,69.31,62.38,76.73,69.31,64.85,71.78
76.73,68.81,71.29,65.84,76.24,73.76,65.84,76.24
72.77,63.37,68.32,71.29,74.75,64.85,67.82,72.28
77.23,63.37,66.83,66.34,75.74,73.76,66.83,72.28
76.73,59.9,68.81,58.42,75.74,74.75,64.85,73.27
74.26,77.72,70.3,75.74,75.25,73.27,64.85,75.74
77.23,67.82,67.82,58.91,74.26,71.78,61.88,79.21
73.27,62.38,68.32,73.76,75.74,63.37,62.38,73.76
75.25,72.77,68.81,71.29,76.73,72.77,65.35,76.24
74.75,58.91,68.32,73.76,75.74,68.81,63.86,72.28
76.73,64.85,68.81,70.3,74.75,72.77,61.88,75.25
75.25,61.39,68.81,70.3,76.73,73.27,65.35,76.24
77.23,72.77,68.81,68.81,76.24,69.31,63.86,72.28

