MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
56.29,66.23,75.5,74.83,80.79,65.56,72.19,62.91
52.32,66.23,78.15,72.85,79.47,62.91,69.54,61.59
52.98,65.56,78.81,62.25,79.47,64.24,71.52,60.26
50.33,68.87,76.82,78.81,53.64,66.23,72.85,82.12
54.97,64.24,74.83,75.5,50.33,64.24,70.2,79.47
56.95,69.54,76.16,64.9,50.99,68.21,74.17,60.26
78.15,66.23,76.16,63.58,80.13,62.25,68.21,58.28
75.5,68.21,76.16,62.91,82.12,64.9,72.85,58.28
52.98,70.86,77.48,62.25,52.32,65.56,73.51,84.11
94.04,71.52,79.47,64.9,80.79,64.9,76.16,74.17
84.11,68.21,76.82,74.17,86.09,68.21,71.52,78.15
54.3,64.24,75.5,62.91,84.77,64.24,70.86,60.93
78.81,66.89,78.81,74.83,49.67,65.56,73.51,76.82
84.77,64.9,76.16,62.25,82.12,64.9,69.54,73.51
54.3,68.21,74.17,61.59,54.3,65.56,74.17,61.59
52.98,70.2,78.81,62.91,53.64,65.56,75.5,63.58
88.74,65.56,79.47,62.91,49.67,64.24,71.52,58.28
57.62,68.21,74.83,62.91,54.3,64.9,72.85,60.26
82.78,66.89,74.17,61.59,51.66,64.24,68.87,84.77
54.3,67.55,73.51,62.91,82.12,64.9,72.19,60.93
53.64,66.23,78.15,62.91,74.17,62.25,73.51,61.59
54.3,68.87,76.82,65.56,94.04,65.56,73.51,61.59
54.3,64.24,72.85,62.25,51.66,64.24,70.2,60.26
86.75,68.87,74.17,75.5,54.3,64.24,68.87,74.83
55.63,62.91,73.51,63.58,50.33,64.9,69.54,60.26
82.12,66.89,74.17,72.85,48.34,66.89,69.54,72.85
56.29,66.89,73.51,78.15,49.67,64.24,71.52,60.93
50.33,68.21,73.51,63.58,49.67,66.23,73.51,79.47
55.63,67.55,73.51,62.25,50.99,62.25,72.19,74.83
77.48,66.89,74.17,63.58,82.78,63.58,73.51,63.58
93.38,65.56,75.5,62.91,82.78,65.56,71.52,60.93
82.12,67.55,77.48,63.58,52.32,64.9,71.52,60.93
48.34,66.23,75.5,73.51,93.38,66.23,72.85,79.47
55.63,66.23,75.5,64.24,54.3,66.23,72.19,60.26
53.64,69.54,74.83,65.56,82.78,65.56,72.19,60.26
55.63,65.56,74.17,72.19,53.64,66.23,69.54,72.19
51.66,67.55,74.83,61.59,52.32,64.9,70.86,57.62
49.01,66.89,74.17,62.91,88.08,65.56,68.87,80.13
80.13,68.21,76.16,64.9,51.66,65.56,71.52,76.82
81.46,67.55,79.47,62.25,86.09,64.9,72.85,61.59
53.64,65.56,75.5,60.93,53.64,64.9,65.56,60.93
54.3,66.89,73.51,63.58,51.66,64.24,74.83,72.85
59.6,71.52,78.15,66.89,50.33,63.58,72.85,76.16
52.98,66.23,73.51,61.59,93.38,64.24,69.54,74.83
51.66,66.89,73.51,63.58,49.67,64.24,73.51,61.59
55.63,74.17,78.15,62.91,78.15,63.58,70.2,58.94
56.95,67.55,76.82,74.83,82.12,63.58,74.17,60.93
57.62,65.56,75.5,63.58,86.75,60.93,70.2,56.95
86.75,65.56,76.82,62.91,93.38,64.9,68.87,60.26
94.7,67.55,78.15,64.24,82.12,64.24,71.52,82.12
81.46,68.21,76.82,79.47,50.33,67.55,72.85,78.81
52.98,68.21,76.16,60.26,84.77,62.25,74.17,58.94
52.32,74.17,79.47,79.47,81.46,64.24,73.51,80.79
52.32,68.21,76.16,81.46,80.13,66.89,72.19,82.12
56.29,65.56,76.16,63.58,52.98,65.56,70.2,58.94
51.66,68.21,73.51,74.17,87.42,65.56,71.52,78.15
80.79,68.87,78.15,61.59,80.13,66.89,74.17,83.44
56.95,64.9,76.16,66.23,50.99,64.9,74.17,78.15
54.3,70.86,74.17,63.58,49.67,65.56,74.83,60.93
56.29,66.23,74.17,62.25,55.63,64.24,70.2,60.93
50.33,68.87,78.15,62.91,49.67,64.9,72.19,60.93
51.66,68.21,76.82,64.9,49.01,65.56,72.85,65.56
79.47,64.24,74.83,61.59,49.67,62.25,69.54,60.26
52.98,68.21,74.83,60.93,51.66,65.56,72.85,59.6
53.64,68.21,76.16,62.91,54.97,63.58,70.86,80.79
75.5,66.89,78.15,64.24,80.79,64.9,73.51,80.13
52.98,65.56,76.16,61.59,80.79,62.91,70.2,76.16
56.95,69.54,80.79,64.24,54.3,67.55,76.82,81.46
49.67,67.55,73.51,79.47,50.33,64.24,70.2,79.47
81.46,66.23,73.51,82.12,81.46,60.93,69.54,75.5
80.13,66.89,74.83,63.58,50.99,65.56,70.2,78.81
54.3,68.21,76.82,61.59,53.64,65.56,70.2,60.26
52.98,66.23,75.5,65.56,54.97,64.9,73.51,62.91
55.63,66.89,76.16,63.58,84.11,64.9,72.19,57.62
76.16,69.54,74.83,82.78,80.13,68.21,71.52,82.12
54.3,68.21,75.5,80.13,54.3,64.9,74.83,61.59
86.09,66.23,76.16,62.91,80.79,64.24,70.86,82.12
82.12,68.87,76.82,62.25,51.66,66.23,73.51,81.46
81.46,66.89,74.83,60.93,92.05,73.51,75.5,57.62
74.17,69.54,78.15,62.91,80.13,68.21,73.51,58.28
52.98,67.55,76.82,63.58,81.46,65.56,74.83,60.93
54.97,66.89,72.85,62.91,50.33,62.25,72.19,60.26
50.33,64.9,73.51,57.62,47.02,60.26,67.55,56.29
52.98,66.23,74.83,60.93,81.46,64.9,69.54,80.13
52.98,69.54,75.5,61.59,52.32,66.23,72.85,59.6
54.97,64.9,73.51,61.59,52.32,66.23,67.55,57.62
82.12,67.55,78.15,63.58,56.95,64.24,70.2,62.91
50.99,67.55,73.51,62.25,51.66,63.58,71.52,62.25
80.79,65.56,74.83,57.62,80.79,64.9,72.19,55.63
52.98,68.21,76.82,65.56,52.98,64.24,70.86,58.28
53.64,64.24,75.5,63.58,50.99,63.58,70.2,79.47
56.95,64.9,74.17,64.24,52.98,62.91,69.54,57.62
54.3,66.89,75.5,62.91,51.66,60.93,72.19,57.62
56.95,70.2,74.17,76.16,50.33,66.89,70.86,61.59
56.29,68.21,76.82,64.24,81.46,66.23,74.17,61.59
79.47,66.89,75.5,61.59,79.47,64.9,71.52,76.16
86.09,66.23,76.16,78.15,82.12,64.24,71.52,60.93
52.98,66.23,76.82,62.91,53.64,66.89,70.86,60.93
50.99,66.89,74.83,64.9,48.34,64.24,74.17,80.79
81.46,68.87,76.82,62.91,49.67,66.89,72.85,73.51

