MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
39.42,40.88,59.85,50.36,52.55,64.96,74.45,64.23
34.31,42.34,61.31,47.45,51.82,66.42,75.91,62.04
51.09,41.61,54.74,48.18,51.82,69.34,72.99,62.04
31.39,41.61,57.66,44.53,51.09,63.5,75.18,64.23
53.28,35.77,54.74,48.18,54.01,65.69,77.37,62.77
59.85,40.88,59.12,49.64,56.93,60.58,75.18,64.96
35.77,39.42,57.66,43.07,51.09,68.61,74.45,61.31
52.55,40.88,56.93,49.64,50.36,62.77,72.26,59.12
57.66,39.42,54.74,52.55,51.82,65.69,73.72,60.58
48.18,42.34,54.01,48.91,51.09,62.04,72.99,60.58
44.53,43.07,55.47,46.72,54.74,62.77,75.91,61.31
59.12,39.42,62.04,48.18,53.28,63.5,77.37,62.77
51.09,40.88,58.39,50.36,51.82,60.58,77.37,62.04
45.99,37.96,56.93,48.91,48.91,61.31,76.64,63.5
62.04,41.61,53.28,48.91,51.82,64.96,75.91,61.31
36.5,43.8,55.47,53.28,54.74,66.42,75.91,62.77
37.23,37.96,55.47,48.18,48.91,62.04,76.64,64.23
50.36,41.61,59.12,43.8,52.55,64.96,75.18,60.58
56.93,43.8,58.39,50.36,51.82,67.88,79.56,62.77
32.12,41.61,56.2,52.55,52.55,64.23,72.99,64.23
48.91,40.88,54.74,51.09,54.01,64.96,73.72,63.5
43.8,38.69,56.2,48.18,51.09,64.23,77.37,60.58
55.47,41.61,58.39,47.45,50.36,61.31,76.64,62.04
37.96,36.5,54.74,51.82,54.01,62.77,75.91,64.23
64.23,41.61,54.74,50.36,56.2,66.42,74.45,64.96
32.12,40.88,56.2,48.18,55.47,64.23,73.72,57.66
59.12,45.26,53.28,45.99,52.55,63.5,74.45,59.85
32.12,42.34,56.2,47.45,55.47,63.5,78.1,60.58
58.39,43.07,56.93,48.18,51.82,64.23,70.8,56.93
65.69,37.23,59.12,46.72,55.47,59.12,72.99,62.77
33.58,43.07,56.2,44.53,50.36,63.5,77.37,62.04
32.12,41.61,53.28,50.36,51.09,62.77,72.26,62.04
59.12,40.15,61.31,47.45,54.01,66.42,72.99,63.5
34.31,43.8,51.82,48.91,53.28,60.58,76.64,59.85
62.04,43.8,60.58,48.91,55.47,60.58,78.1,61.31
59.85,39.42,53.28,50.36,54.74,65.69,70.8,59.12
48.91,43.07,59.12,53.28,51.82,64.96,74.45,61.31
62.77,43.8,58.39,50.36,60.58,67.88,72.99,62.77
54.74,36.5,54.01,52.55,52.55,64.96,75.18,62.04
32.12,37.96,59.12,51.82,55.47,64.96,75.91,61.31
32.85,39.42,55.47,51.09,53.28,62.04,74.45,62.77
41.61,41.61,55.47,51.09,52.55,67.88,73.72,65.69
62.77,41.61,54.74,50.36,54.01,59.12,75.18,62.04
63.5,42.34,58.39,47.45,51.82,65.69,72.99,62.04
56.2,40.15,62.04,47.45,52.55,67.88,75.18,62.04
45.26,41.61,59.12,51.82,52.55,65.69,74.45,61.31
56.93,41.61,57.66,47.45,53.28,62.77,75.18,64.96
59.12,38.69,53.28,50.36,53.28,62.77,77.37,60.58
53.28,40.15,57.66,47.45,50.36,62.77,75.18,57.66
62.04,37.23,58.39,49.64,51.82,63.5,74.45,64.23
45.99,39.42,52.55,46.72,54.01,60.58,72.99,60.58
32.85,38.69,54.01,49.64,57.66,61.31,76.64,61.31
61.31,43.07,54.01,45.99,51.82,62.77,75.18,61.31
59.12,39.42,54.74,48.18,54.74,62.04,77.37,60.58
58.39,43.07,56.93,50.36,54.01,64.23,75.91,64.23
62.77,40.88,54.74,47.45,50.36,66.42,75.91,62.77
53.28,41.61,52.55,54.01,54.74,64.23,77.37,59.85
