MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
86.49,87.03,96.22,88.65,91.89,95.14,96.76,90.27
85.95,88.65,94.59,89.73,92.97,94.59,97.84,91.89
87.03,87.57,94.05,90.81,91.35,93.51,96.76,92.43
87.03,88.65,93.51,91.89,90.81,92.43,97.3,91.89
87.57,87.57,93.51,91.35,90.81,91.35,94.59,90.81
87.57,87.03,91.35,89.73,90.81,92.97,96.22,91.89
85.95,89.19,94.05,90.81,90.81,94.05,98.38,91.35
86.49,87.03,95.14,88.11,91.35,95.68,95.68,92.43
85.95,85.95,95.68,91.35,89.73,94.59,95.14,92.43
86.49,88.65,92.43,89.73,92.43,92.43,96.22,90.81
88.11,87.57,93.51,89.19,91.89,95.14,95.68,92.43
87.03,88.65,94.05,90.27,93.51,91.89,96.76,91.89
86.49,85.95,94.05,87.57,88.65,92.43,96.22,92.43
88.11,88.65,93.51,91.35,90.27,91.89,94.59,92.97
87.57,88.11,95.14,90.81,89.73,93.51,96.22,91.35
86.49,88.11,94.05,89.73,92.97,91.89,95.68,90.27
84.32,87.57,96.76,88.65,90.27,93.51,95.14,91.89
85.41,88.11,92.43,89.73,90.27,94.05,97.3,91.89
87.57,88.11,92.43,90.81,91.89,93.51,95.68,92.43
85.95,88.65,91.35,89.73,89.73,91.35,95.14,92.97
87.03,87.57,96.22,91.35,90.81,94.59,95.68,91.89
85.41,86.49,95.68,88.65,90.81,93.51,95.68,91.35
85.95,88.11,95.14,89.73,89.73,93.51,95.68,91.89
88.65,88.11,93.51,88.65,89.19,94.05,95.14,89.19
86.49,88.65,93.51,88.65,91.89,92.97,96.22,91.35
86.49,88.65,90.81,90.27,89.73,94.05,96.76,92.97
86.49,88.65,93.51,91.35,91.35,92.97,97.84,93.51
86.49,88.65,96.22,90.81,92.97,92.43,97.84,91.89
86.49,87.57,94.05,88.65,90.27,94.59,96.22,92.97
87.57,87.03,92.97,89.19,91.89,91.89,97.3,92.43
87.57,88.65,96.76,89.73,92.43,93.51,96.76,92.97
85.95,88.65,94.59,90.81,91.35,94.59,96.22,91.89
87.57,88.11,92.97,91.89,89.19,94.05,95.68,91.35
87.57,89.19,96.22,90.27,92.43,92.97,94.05,91.35
88.65,87.57,94.05,89.73,89.19,92.97,94.05,92.97
87.03,88.65,96.22,91.35,92.97,91.35,97.3,91.89
87.57,88.11,93.51,90.27,90.27,92.43,96.22,91.89
85.95,88.65,92.97,88.65,90.81,94.05,96.76,91.89
87.57,88.11,93.51,91.35,90.81,94.59,98.92,92.43
85.41,88.65,95.14,89.73,90.81,94.05,95.14,91.35
88.11,88.65,92.97,89.73,91.89,94.05,96.22,91.35
87.03,88.65,95.14,91.35,91.89,95.68,96.76,91.35
85.41,88.65,92.97,89.73,90.27,92.97,95.14,91.89
88.11,87.57,93.51,90.27,90.27,92.97,96.22,91.89
85.41,87.57,94.59,91.35,93.51,93.51,96.76,91.35
85.41,88.11,92.97,91.89,90.27,92.97,96.76,91.35
86.49,88.65,93.51,90.81,90.81,94.59,98.38,91.89
85.95,88.65,90.81,91.35,91.35,92.97,95.14,91.89
85.95,87.57,95.68,87.57,89.73,94.05,95.68,92.43
85.95,87.03,94.05,88.65,91.89,92.43,94.59,91.89
86.49,89.19,96.22,89.73,91.35,94.05,97.3,88.65
87.03,87.57,89.73,89.73,90.27,91.89,96.76,90.81
87.03,87.03,95.14,90.27,89.19,92.97,93.51,92.97
88.65,88.11,93.51,88.65,90.27,92.97,95.14,90.27
86.49,88.11,94.05,89.73,89.73,90.81,97.3,91.35
87.03,87.03,93.51,90.27,90.81,92.43,96.76,91.89
85.95,88.11,92.97,90.27,90.27,90.81,97.3,90.81
86.49,89.19,95.68,89.19,89.73,93.51,95.14,91.89
85.95,88.11,94.05,92.97,91.35,93.51,97.84,91.89
