MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
50.73,51.83,61.72,56.96,51.28,63.92,70.33,60.07
66.12,63.0,62.09,58.42,51.65,63.37,69.78,61.17
63.37,48.17,61.36,59.34,53.48,63.37,70.15,61.72
52.01,48.9,63.55,57.14,53.3,62.82,69.96,60.26
51.83,64.1,62.64,57.69,52.56,62.45,69.96,59.71
51.83,62.09,62.64,56.78,52.38,63.74,70.51,60.07
55.13,59.52,63.19,57.14,49.82,66.12,69.23,60.81
54.03,48.35,63.55,56.23,52.01,63.74,69.6,59.16
42.86,44.51,63.92,58.24,50.0,63.92,69.41,60.81
63.74,52.38,65.02,56.59,50.0,60.99,68.5,59.89
60.07,57.69,62.45,58.42,51.47,63.92,68.68,62.09
63.92,57.14,62.27,58.97,52.56,63.19,69.96,61.54
56.41,65.02,63.19,56.59,50.55,62.45,68.13,60.44
65.02,61.54,64.1,58.79,51.47,64.47,70.88,60.99
45.05,51.47,65.38,56.96,50.73,62.82,69.96,60.81
54.95,40.66,63.74,56.59,50.92,62.64,69.23,62.27
64.29,51.65,63.19,58.24,52.01,63.74,69.05,60.44
52.01,42.86,63.19,59.71,51.83,60.62,69.05,61.36
63.92,57.14,63.19,58.06,52.93,64.47,69.41,61.54
63.0,59.71,63.37,58.79,53.48,63.74,69.41,62.09
64.1,54.76,64.29,58.79,53.3,64.65,70.51,60.26
53.48,52.2,62.45,58.06,50.73,64.1,69.6,60.44
50.92,43.59,63.55,56.96,51.65,63.19,68.68,58.97
60.81,43.22,65.02,57.14,52.38,63.37,69.41,59.52
44.87,42.49,61.17,57.69,51.65,63.0,68.68,60.99
61.17,52.38,61.72,56.41,52.75,63.92,70.7,60.26
54.4,65.57,62.64,57.69,52.75,64.29,70.15,60.99
39.56,64.1,63.92,58.24,50.92,62.45,68.86,60.07
63.37,62.27,64.1,56.23,51.47,63.55,69.96,61.36
66.12,42.31,63.55,57.33,52.2,64.1,69.23,61.54
66.67,53.85,65.75,56.59,51.28,63.92,69.41,60.81
66.85,62.45,59.16,58.24,52.38,63.0,68.86,60.81
46.89,42.86,63.37,56.78,51.47,65.93,69.23,61.72
58.06,46.15,64.29,56.96,52.56,63.74,70.15,60.99
62.45,52.75,63.0,56.23,52.93,63.74,66.12,61.54
52.93,55.68,63.0,56.41,52.56,63.0,69.6,60.26
64.1,55.86,64.84,55.86,50.73,62.27,69.78,60.99
54.58,61.17,63.55,56.23,52.01,64.29,68.32,60.62
54.4,51.83,64.29,56.59,52.2,65.02,69.05,60.81
62.45,40.11,66.3,56.96,50.55,64.84,71.06,61.54
60.44,42.67,63.19,57.14,54.95,63.37,70.51,58.79
53.48,54.21,61.9,57.33,51.65,62.64,67.95,59.52
61.72,57.14,61.9,56.04,50.55,61.9,70.51,61.9
54.03,46.34,63.0,56.23,51.83,64.1,68.68,60.81
60.44,44.32,63.37,57.88,49.82,64.65,70.7,59.71
62.64,43.77,63.19,58.06,54.21,65.75,69.05,61.72
50.0,52.56,63.55,57.33,51.28,65.93,70.15,59.71
60.62,58.06,65.02,55.86,50.55,65.93,71.61,60.44
44.87,42.67,63.0,57.33,51.65,64.1,69.6,61.36
