MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
89.3,89.3,97.53,95.88,93.42,95.88,100.0,94.65
90.53,90.53,97.12,95.47,93.0,96.71,98.35,93.83
88.07,90.95,97.12,95.88,93.42,95.47,100.0,94.65
90.53,90.12,97.53,94.65,93.42,94.65,98.77,94.24
87.24,89.71,97.53,95.06,92.59,95.47,100.0,95.88
90.95,88.89,96.3,95.88,93.0,93.83,99.18,93.42
89.71,90.53,96.71,95.88,93.0,95.88,98.77,94.65
89.71,89.71,97.12,94.24,92.18,94.65,98.77,94.65
88.48,89.71,97.12,95.88,91.77,96.3,100.0,94.65
89.71,91.36,97.94,94.65,92.18,95.88,98.77,95.06
90.12,90.95,97.94,94.65,93.0,94.65,100.0,93.42
90.12,90.53,98.35,95.06,93.0,95.47,98.77,95.06
88.89,88.89,97.12,95.06,92.18,94.65,99.18,94.24
88.48,90.12,95.88,94.24,93.0,95.06,99.59,94.65
87.65,90.12,97.53,95.47,92.59,96.3,99.59,93.0
89.3,89.71,97.53,95.47,93.0,95.47,98.77,94.24
89.3,88.89,96.71,95.06,91.77,96.3,98.77,95.06
91.77,90.95,97.94,94.24,93.83,94.65,98.35,93.83
88.07,89.71,97.12,96.3,92.59,94.24,99.59,95.06
90.12,90.12,95.47,95.06,92.59,96.71,98.77,95.06
88.48,88.89,97.12,95.88,93.0,95.88,99.59,93.83
91.36,90.12,95.47,96.3,91.77,95.47,99.59,94.65
88.48,90.53,96.71,94.24,93.42,93.83,99.18,94.24
90.95,90.12,98.35,94.65,92.59,95.06,99.59,94.24
90.53,89.71,96.3,95.06,91.77,95.06,99.59,94.65
90.53,90.53,95.88,94.24,92.18,94.65,99.59,93.42
89.3,90.95,95.88,95.47,92.59,95.47,99.18,95.06
89.3,89.3,97.94,94.65,92.59,95.06,99.59,94.65
89.71,89.71,96.3,96.71,93.42,94.65,98.77,94.24
90.12,89.71,96.71,93.83,94.65,95.47,98.77,93.83
89.3,89.71,96.71,94.65,92.59,95.47,99.18,93.83
90.53,90.95,98.77,95.06,92.18,96.3,99.59,94.65
89.3,89.71,97.94,95.88,93.0,96.3,98.77,94.65
89.3,90.53,98.35,94.24,93.0,95.88,99.59,93.83
89.71,90.53,97.94,94.65,94.24,96.71,100.0,93.83
89.3,90.95,98.35,95.88,92.18,95.88,100.0,95.06
89.3,90.53,97.12,94.24,93.0,95.88,99.18,94.65
88.48,89.71,96.71,95.47,92.18,96.3,99.59,94.24
89.71,90.95,95.88,95.47,93.42,95.88,98.77,95.47
88.07,90.12,95.88,94.65,93.0,94.65,99.18,93.83
88.89,89.3,97.94,95.06,93.42,96.3,98.77,94.65
88.89,90.12,96.71,95.88,91.77,95.88,99.59,94.65
88.89,89.71,98.35,94.65,91.36,95.88,98.77,93.83
88.89,90.53,97.94,95.47,93.0,95.06,100.0,95.88
90.12,90.53,97.12,95.88,92.18,96.71,99.59,95.47
90.53,91.77,96.3,94.65,93.0,95.88,98.77,94.65
89.3,91.36,97.12,96.3,93.42,95.47,100.0,93.83
90.53,90.53,95.88,95.06,92.59,95.88,99.59,95.47
88.89,89.3,97.12,94.24,93.0,95.47,100.0,94.24
88.48,89.71,95.88,93.42,92.59,95.88,98.77,94.65
88.89,89.71,96.71,94.24,93.0,95.47,98.77,93.83
88.89,90.12,96.71,95.06,92.59,94.65,100.0,93.83
89.3,90.53,97.12,96.71,93.83,96.3,99.59,95.47
91.36,89.3,97.53,93.42,93.42,96.3,99.18,93.42
90.12,89.71,97.53,95.47,92.59,96.3,99.59,94.24
89.71,90.53,95.88,95.06,92.59,95.06,99.59,94.65
90.12,90.95,96.71,95.06,92.18,94.24,100.0,94.24
90.95,90.12,97.53,95.88,92.59,96.3,99.59,93.83
89.3,89.3,97.12,94.65,93.83,96.3,98.77,94.65
88.48,89.3,97.53,96.3,93.0,95.06,100.0,95.06
90.53,89.71,97.12,93.42,92.59,95.47,99.59,94.24
90.12,90.12,96.71,93.83,93.83,95.06,99.18,94.65
88.89,90.12,96.71,97.12,93.0,95.47,99.18,94.65
88.48,90.95,96.71,95.06,93.0,96.3,99.18,93.42
88.89,89.71,96.71,94.24,92.59,96.3,100.0,94.65
89.71,89.71,95.47,95.06,92.18,95.47,98.35,94.24
87.24,90.53,97.94,95.88,92.18,95.06,100.0,94.65
90.12,90.95,97.53,93.83,91.77,95.47,98.77,94.65
90.95,90.12,95.47,94.65,93.83,96.3,98.77,93.83
88.89,89.71,96.71,95.06,92.59,95.88,98.77,94.24
89.3,90.95,96.71,95.47,92.59,95.47,99.18,94.65
90.12,89.71,97.53,95.47,93.0,95.88,100.0,94.65
90.12,90.95,97.53,94.24,93.0,96.71,100.0,95.06
88.89,90.53,97.53,94.24,93.0,95.88,99.18,94.65
90.12,90.12,97.53,95.06,93.42,93.83,99.59,94.65
88.89,89.3,97.94,94.65,93.0,95.88,99.59,93.83
89.3,90.95,98.35,95.88,93.0,96.3,99.18,93.83
90.53,89.3,97.94,95.47,93.0,95.88,99.59,95.47
89.71,89.3,97.94,97.12,93.42,96.3,100.0,94.24
88.48,90.95,96.3,93.83,93.0,95.47,99.59,95.06
89.71,90.12,97.94,95.88,93.0,94.65,100.0,94.24
89.3,90.95,97.12,94.24,93.42,95.88,98.77,93.42
88.48,88.89,98.77,97.12,92.18,95.47,100.0,94.65
90.12,90.12,97.12,93.42,91.77,94.24,99.59,94.65
89.3,88.89,98.35,95.06,92.59,95.06,99.18,94.24
90.12,90.95,96.71,94.65,93.42,95.06,99.18,94.65
91.77,90.95,97.94,94.65,93.42,95.88,100.0,93.83
89.3,90.12,96.3,95.88,93.0,94.24,99.59,94.24
89.71,90.12,96.71,96.3,92.59,95.47,99.18,94.65
89.3,89.3,95.88,94.65,93.42,95.06,99.18,95.06
90.95,90.95,97.12,94.24,92.59,95.47,99.59,95.06
89.71,90.53,97.94,95.06,93.0,95.88,100.0,95.47
91.36,89.71,97.94,94.24,93.0,94.24,100.0,94.24
89.3,90.95,97.53,94.24,93.0,95.47,100.0,95.47
88.48,90.12,97.53,94.24,93.0,95.06,99.59,95.06
88.48,88.89,97.94,94.65,93.42,96.3,100.0,93.42
89.71,90.95,97.12,94.65,93.0,95.06,98.35,94.65
90.12,90.53,96.71,95.06,93.42,95.47,98.35,94.65
89.71,91.36,97.94,95.88,93.0,96.3,100.0,95.06
91.36,90.53,97.94,93.0,93.42,96.3,100.0,94.65

