MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
66.49,70.21,51.6,61.7,46.28,62.77,69.68,57.98
70.21,69.15,54.26,52.66,56.38,58.51,67.02,50.0
68.62,68.62,57.98,60.64,54.79,59.57,70.21,54.79
66.49,67.02,53.72,68.09,48.94,58.51,66.49,52.66
69.68,66.49,48.4,57.98,54.79,58.51,68.09,54.79
64.36,67.02,56.38,60.64,49.47,57.98,69.68,56.38
67.55,71.81,55.85,59.57,48.94,59.57,70.21,54.79
66.49,68.09,56.38,56.91,44.68,57.98,68.62,54.26
67.55,67.55,55.32,63.83,56.38,56.91,69.68,55.32
67.55,67.55,50.53,48.94,56.38,59.04,70.74,57.45
67.02,67.02,54.79,56.91,45.21,55.85,67.55,52.13
69.15,69.68,58.51,48.94,44.68,60.64,70.21,56.38
66.49,67.02,54.26,44.68,55.85,58.51,70.21,52.66
70.74,67.55,56.91,56.91,51.6,59.04,69.68,55.32
71.28,68.09,57.45,64.89,45.21,59.57,69.15,53.72
67.55,68.09,56.38,40.96,47.34,59.04,68.09,56.91
68.62,62.77,56.91,45.74,45.21,61.7,66.49,53.72
69.15,67.55,54.79,46.28,54.26,61.17,68.62,52.66
64.89,67.02,55.32,43.09,44.15,58.51,67.02,55.85
67.02,64.89,54.26,44.68,43.09,58.51,68.62,52.66
64.89,67.55,57.45,70.74,46.81,56.38,70.74,57.45
67.55,65.96,60.11,50.53,54.79,57.98,67.55,55.32
69.68,65.96,51.6,49.47,56.91,56.38,68.09,54.26
68.09,65.96,55.85,55.85,59.04,55.85,70.21,53.72
67.55,66.49,57.98,65.43,56.91,58.51,69.68,54.79
69.15,67.02,51.06,59.57,43.09,60.64,68.09,55.32
64.36,67.02,57.45,53.72,45.74,60.64,69.15,54.79
61.7,64.36,61.7,63.83,44.68,61.7,69.15,56.91
67.55,64.36,52.66,39.89,46.28,56.91,68.62,51.6
71.28,68.62,54.26,56.91,51.6,57.98,68.62,51.6
68.62,66.49,57.98,68.62,45.21,55.85,70.74,55.85
66.49,65.96,58.51,45.74,44.68,55.85,68.62,54.79
67.55,70.74,54.26,54.79,47.34,57.45,72.34,54.79
70.21,67.02,60.11,44.15,59.57,59.04,71.28,51.06
67.55,68.62,53.72,65.43,62.77,57.98,66.49,59.04
68.09,66.49,54.79,56.38,46.81,59.04,65.43,53.19
67.02,68.09,56.38,57.98,47.34,59.57,68.62,54.79
71.81,69.15,58.51,56.38,42.55,57.45,72.34,56.91
67.02,67.02,55.85,54.79,48.4,60.64,71.81,54.26
69.15,69.68,54.79,61.7,45.74,60.11,69.15,52.66
70.21,67.55,53.19,54.79,43.09,59.57,70.21,53.19
70.21,64.89,57.98,44.68,46.28,58.51,68.62,54.79
67.02,64.89,54.79,60.64,57.98,57.45,70.74,52.66
65.96,61.17,55.32,57.45,57.98,60.11,70.21,56.91
69.15,66.49,56.91,59.04,48.94,59.04,67.02,57.45
68.62,67.55,54.79,70.21,44.15,56.38,63.3,52.13
68.62,67.02,56.38,55.85,47.34,58.51,69.15,57.45
70.74,67.55,52.13,49.47,52.66,57.45,72.87,51.6
69.15,65.96,54.79,57.45,56.38,55.85,66.49,54.26
67.55,68.62,52.13,39.89,43.09,57.45,68.62,52.13
67.55,67.55,55.85,65.43,46.81,61.7,69.15,56.38
69.15,71.81,53.19,60.11,53.72,60.11,68.62,55.85
67.02,69.68,54.79,48.94,64.36,59.57,66.49,55.32
68.09,69.68,54.26,45.74,44.15,55.32,69.68,53.19
71.81,69.68,55.85,53.72,45.74,58.51,68.62,54.26
68.09,68.09,57.45,49.47,42.55,60.11,71.28,53.19
65.96,65.43,50.53,64.36,52.66,56.38,69.15,56.91
70.74,67.02,52.66,42.02,47.34,56.91,69.68,56.91
66.49,67.55,54.26,54.79,47.87,60.11,70.21,57.45
68.62,67.55,55.85,55.32,46.28,59.04,67.55,56.91
