MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
78.23,79.03,82.42,81.61,71.94,84.52,82.58,80.16
79.35,81.29,80.65,79.52,69.35,82.42,80.81,79.35
80.81,76.94,83.87,81.13,71.29,85.81,80.48,79.35
80.81,76.94,82.1,80.97,72.58,86.13,82.26,79.19
83.06,74.03,80.16,80.0,71.94,84.19,81.61,77.9
81.45,80.32,83.71,80.32,70.81,84.19,83.23,79.19
78.06,70.65,83.55,80.97,71.45,86.13,83.71,79.19
76.77,79.52,81.94,81.45,70.48,84.68,83.06,79.19
80.16,78.87,78.87,78.55,70.65,81.94,80.81,77.42
81.29,78.39,81.77,80.81,71.45,85.97,81.29,79.19
78.06,80.32,82.1,82.74,73.39,85.81,83.55,79.84
79.84,78.06,82.42,80.65,70.16,85.32,82.9,81.13
81.29,77.9,79.03,77.9,68.39,83.39,81.77,76.94
80.16,72.58,80.32,79.35,69.84,84.03,81.13,79.35
80.65,81.77,83.06,82.58,71.45,85.81,82.26,81.29
79.52,75.32,82.9,80.32,70.97,85.0,82.42,78.71
80.97,77.9,82.58,79.84,72.1,85.65,81.94,79.84
78.87,79.19,78.87,79.03,68.71,82.9,80.0,77.74
80.16,77.58,83.87,83.39,74.19,86.61,84.03,81.94
82.26,78.55,82.9,80.97,73.06,87.42,84.68,80.32
80.48,78.71,81.94,79.84,70.81,85.32,82.9,78.87
80.81,82.26,82.74,78.06,75.16,85.16,81.94,79.68
82.26,80.16,80.97,78.55,69.68,83.87,82.58,79.68
82.74,79.35,81.94,81.29,71.61,86.94,83.06,80.16
80.0,78.71,83.23,81.77,74.35,86.45,82.58,81.45
78.23,78.87,79.68,78.39,70.32,83.71,81.61,76.94
80.48,77.9,83.71,81.61,70.97,85.48,82.9,80.81
76.94,76.94,79.03,79.68,69.84,82.58,79.19,78.39
79.52,81.61,78.55,77.74,71.77,82.9,81.29,77.9
80.32,79.35,79.68,79.19,70.0,83.23,79.35,78.71
80.32,76.94,82.58,80.32,71.13,85.48,83.06,79.68
81.61,77.26,82.74,82.42,72.26,85.81,81.77,79.68
81.45,81.61,83.23,79.84,72.1,85.0,83.39,78.87
80.16,79.03,83.87,81.77,71.61,85.65,84.52,80.16
82.74,73.71,81.61,81.29,72.42,87.42,83.87,81.45
81.61,80.81,81.45,78.06,70.0,85.0,81.29,80.16
81.29,79.68,81.94,80.65,70.0,83.71,82.1,80.16
82.58,78.39,82.58,80.0,70.0,84.84,83.06,79.68
82.26,79.35,81.94,81.29,72.9,85.97,82.42,79.68
80.16,77.74,81.94,80.32,72.58,84.68,83.39,79.68
83.06,81.13,81.61,80.48,71.77,84.19,82.42,77.26
81.29,78.55,80.81,77.74,70.65,82.74,81.45,77.1
81.45,83.39,83.23,80.32,71.94,85.65,82.26,79.35
79.03,74.19,82.9,81.45,70.16,84.68,82.58,80.65
79.84,76.77,83.06,81.94,70.97,85.32,82.74,79.84
81.94,78.39,82.42,80.48,69.84,86.13,82.9,79.19
80.16,76.29,81.94,80.81,69.03,84.03,81.13,80.48
82.26,78.39,82.1,80.65,71.94,84.35,82.58,80.65
78.55,75.48,81.13,78.55,71.29,85.65,83.23,80.97
78.23,78.06,81.61,80.32,70.81,86.29,82.9,80.65
80.48,78.55,82.74,80.48,70.32,83.39,82.9,80.81
80.32,81.13,83.39,80.97,71.13,83.87,83.23,80.32
80.81,71.45,80.16,80.0,72.74,85.32,83.55,78.87
80.16,76.29,81.29,76.94,71.61,82.9,83.87,79.19
78.23,75.97,83.23,82.26,74.84,85.97,83.23,82.26
81.77,76.77,80.48,81.13,71.29,84.03,80.81,78.87
79.19,79.35,83.06,79.68,71.61,85.65,83.55,79.84
