MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
25.95,33.54,50.63,40.51,41.14,53.16,59.49,49.37
22.78,27.85,45.57,42.41,37.34,49.37,56.33,46.84
37.97,29.75,43.04,37.97,41.14,51.9,55.06,44.94
36.08,25.32,40.51,37.34,37.97,48.73,53.8,44.3
34.18,26.58,43.04,39.87,36.08,49.37,56.96,45.57
29.75,26.58,39.24,38.61,38.61,51.27,51.27,44.94
24.05,28.48,47.47,37.34,39.87,48.73,54.43,48.73
29.11,28.48,44.3,37.97,35.44,50.0,52.53,46.2
24.05,25.95,48.1,39.87,35.44,50.0,55.7,44.94
27.22,25.95,47.47,43.67,41.14,53.16,55.7,48.73
41.14,36.71,40.51,36.08,36.08,51.9,55.06,47.47
37.97,33.54,43.04,37.97,41.77,50.63,56.33,46.2
34.18,33.54,45.57,37.34,37.34,53.16,56.96,44.94
47.47,24.05,40.51,37.97,38.61,49.37,55.06,46.84
34.18,30.38,44.94,37.34,39.87,53.16,54.43,45.57
24.05,44.3,50.0,37.34,40.51,50.0,58.86,50.0
30.38,24.68,44.94,37.97,37.34,51.9,54.43,48.73
20.25,32.91,44.3,37.34,37.97,51.9,58.23,48.1
31.65,34.18,44.3,34.18,38.61,51.9,53.8,44.3
46.84,27.22,40.51,39.24,39.87,48.1,53.16,47.47
44.94,31.65,44.94,41.77,39.24,48.73,55.06,46.84
21.52,27.22,44.94,39.24,37.34,53.8,55.06,50.0
29.11,30.38,45.57,39.87,38.61,51.9,54.43,46.2
26.58,31.65,46.2,37.34,37.34,50.0,52.53,48.73
21.52,31.65,39.87,38.61,40.51,50.0,55.06,46.84
36.71,25.32,44.94,37.34,39.24,53.8,51.27,47.47
30.38,26.58,43.04,39.24,37.34,50.0,53.8,45.57
38.61,25.95,43.04,39.87,37.97,51.27,54.43,49.37
22.15,25.95,43.04,39.24,36.08,53.16,53.8,43.67
25.32,25.32,43.04,34.18,35.44,53.16,56.33,46.84
25.95,31.65,46.2,39.24,39.24,51.9,55.7,44.3
30.38,25.95,47.47,41.14,40.51,50.63,57.59,46.84
23.42,29.11,39.24,36.71,37.34,50.63,52.53,47.47
27.22,27.85,50.0,40.51,37.34,50.63,53.16,48.73
46.2,27.22,43.67,41.14,37.97,51.27,53.8,48.73
40.51,25.95,47.47,40.51,37.34,48.73,57.59,46.84
40.51,32.28,47.47,38.61,36.71,50.63,55.06,45.57
22.78,27.22,48.73,42.41,41.14,52.53,53.16,47.47
24.68,29.75,44.3,34.18,37.97,50.0,53.16,46.84
38.61,29.75,44.94,40.51,41.77,45.57,56.96,47.47
27.85,29.11,42.41,39.87,38.61,53.8,55.7,49.37
20.25,31.01,44.94,38.61,34.81,46.84,52.53,46.84
22.15,28.48,41.14,36.71,38.61,48.1,55.06,46.2
27.85,26.58,44.94,44.3,38.61,44.94,55.7,52.53
24.05,36.08,43.04,37.97,37.97,51.9,55.06,48.1
30.38,29.75,46.2,35.44,35.44,49.37,53.8,44.3
22.78,32.28,45.57,39.24,39.87,51.27,55.06,48.73
25.32,43.04,41.77,40.51,36.08,49.37,56.33,49.37
24.05,31.65,41.14,40.51,40.51,51.27,56.96,46.2
22.15,39.24,42.41,37.97,41.77,50.0,54.43,46.84
18.99,36.71,46.84,41.14,39.24,50.63,53.16,48.73
27.85,27.85,48.1,38.61,39.24,53.16,56.33,47.47
29.75,36.08,48.73,41.77,36.71,53.8,56.33,44.3
23.42,29.11,39.87,36.71,37.97,48.73,51.27,48.1
28.48,27.22,44.94,36.08,38.61,50.63,53.8,47.47
29.75,31.01,42.41,41.77,38.61,50.0,51.27,49.37
