MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
63.93,64.87,74.83,75.1,75.91,77.66,77.52,76.18
62.45,65.68,74.97,74.43,74.83,77.79,78.06,78.06
62.31,66.22,74.97,75.91,76.85,78.73,77.52,77.66
64.2,65.28,77.12,74.29,75.37,78.73,78.47,78.33
62.45,66.35,75.5,76.04,75.37,78.33,78.06,76.58
61.78,66.89,76.85,75.1,76.72,78.73,78.2,77.79
63.26,65.81,76.58,76.72,76.85,79.14,78.47,78.6
64.6,65.81,77.52,75.5,76.31,78.73,79.41,77.79
64.33,65.95,74.7,76.18,76.58,79.0,77.93,77.52
61.24,63.53,74.83,75.37,76.18,77.93,78.6,76.99
62.05,65.41,76.58,76.31,76.04,78.6,78.87,77.66
63.26,66.62,75.64,75.24,76.72,78.33,78.33,78.33
64.6,66.22,75.37,75.77,75.77,78.87,77.79,77.79
62.99,67.03,76.18,76.58,76.31,78.6,79.41,76.99
63.12,66.22,76.18,75.64,75.91,79.14,78.6,77.52
63.66,65.68,76.04,75.5,75.64,77.52,78.73,79.14
62.72,66.35,74.16,74.7,76.04,78.2,78.2,77.79
63.53,65.68,77.12,75.91,75.37,79.14,78.2,79.0
63.39,65.95,75.77,74.97,76.04,76.99,78.06,76.18
62.72,65.68,76.45,75.24,75.5,78.87,77.52,78.73
63.8,64.87,75.1,75.5,75.91,78.87,76.58,77.12
63.53,66.89,74.7,76.04,76.99,79.81,78.73,78.47
62.85,65.81,75.64,76.72,75.37,78.87,78.6,78.33
63.93,64.87,75.5,75.37,75.91,78.47,77.66,77.52
64.06,66.22,76.45,75.64,76.45,79.68,78.33,78.2
63.8,66.89,76.18,75.1,75.91,78.2,78.73,77.25
63.39,65.28,74.97,75.37,76.85,78.33,77.25,77.93
63.8,66.89,76.31,74.97,75.64,78.6,78.33,77.52
61.91,65.28,76.85,75.77,75.91,78.2,77.79,77.52
62.99,67.29,74.83,74.56,76.58,79.0,79.0,77.93
63.12,64.87,75.37,72.95,75.5,77.79,77.25,76.72
63.12,67.16,75.91,75.24,76.31,78.87,78.06,77.66
64.06,66.08,75.77,75.77,76.18,78.6,78.06,77.93
62.72,65.95,75.24,75.77,76.18,79.14,77.79,77.79
62.18,65.55,74.29,75.1,76.31,79.54,77.66,78.06
62.31,64.6,75.37,75.1,76.18,79.68,78.73,78.33
64.33,66.35,77.52,76.99,76.72,78.6,78.47,78.2
65.01,66.49,77.25,74.97,76.18,78.33,77.39,76.72
62.85,65.14,76.04,75.1,76.72,79.0,78.73,78.47
63.66,66.22,74.7,75.64,76.45,79.27,77.93,77.39
64.2,65.81,75.77,76.45,75.37,78.87,78.2,77.25
64.74,65.81,76.18,74.02,75.37,78.87,78.6,77.39
63.26,65.55,75.91,75.1,75.1,79.0,78.2,77.66
63.66,67.83,77.66,77.12,76.18,79.41,78.06,79.0
63.66,65.95,75.64,76.31,76.45,78.06,78.2,77.39
64.06,66.62,76.04,75.5,75.5,77.39,77.66,77.93
62.85,67.43,75.24,74.7,75.77,78.47,78.2,77.66
62.45,66.35,75.1,74.43,75.5,78.47,77.66,78.47
63.66,66.62,76.72,75.37,76.18,77.93,78.2,76.99
62.05,68.1,75.77,75.1,75.1,79.0,77.39,78.47
64.06,67.03,75.91,76.72,76.18,78.87,78.87,78.06
63.39,66.08,76.18,75.24,75.77,78.33,78.06,77.79
64.06,65.55,76.85,75.64,76.45,79.54,78.6,77.39
63.93,65.01,75.24,75.24,77.12,78.33,76.99,77.12
62.31,66.22,76.04,75.91,74.02,76.72,77.52,78.06
64.87,66.22,77.39,76.45,76.45,79.0,77.79,78.06
