MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
72.77,72.77,55.45,68.81,62.38,64.85,71.78,61.39
73.27,73.76,57.43,73.27,71.78,63.86,72.28,59.41
71.29,72.28,71.78,69.8,70.79,65.84,75.25,62.38
73.76,71.78,46.04,48.02,73.27,61.88,70.79,60.89
70.79,74.26,45.54,73.27,71.29,63.37,70.79,58.91
72.77,70.79,54.46,66.34,73.76,63.37,72.28,58.42
71.29,72.77,50.5,66.83,72.28,65.84,70.79,63.37
73.27,72.28,61.88,71.29,73.76,60.4,71.78,52.97
72.77,72.77,66.34,70.3,75.25,63.37,71.78,56.93
71.29,74.26,44.55,70.79,73.27,63.86,73.76,58.42
70.79,70.3,51.49,65.84,68.81,65.84,69.8,61.39
71.78,73.27,52.97,72.77,70.79,61.39,69.31,59.9
72.77,73.27,68.32,73.76,71.29,62.87,69.31,58.91
72.77,71.29,49.01,48.51,70.79,59.9,71.29,59.41
73.27,72.28,50.5,75.74,68.81,65.35,69.8,70.79
71.78,75.25,50.0,74.26,65.35,63.86,71.29,62.38
71.78,72.28,49.01,48.51,69.31,61.39,69.8,61.39
71.29,74.26,50.99,70.3,70.3,62.87,69.8,58.42
70.79,72.28,61.39,74.75,73.27,62.38,68.32,57.92
70.79,73.76,46.04,68.81,73.27,62.87,67.33,56.44
71.78,72.28,59.41,69.8,71.29,64.36,72.28,61.39
71.29,71.78,48.51,75.74,61.88,58.91,70.79,59.9
71.29,74.26,47.03,72.28,73.27,62.87,70.3,55.94
71.29,72.77,51.49,73.76,75.25,63.37,70.3,58.42
70.3,73.76,50.5,53.47,57.92,61.88,70.79,57.43
71.78,72.28,49.5,57.92,74.75,66.34,71.29,60.89
70.79,73.76,71.29,70.3,70.3,59.9,69.8,61.88
68.81,73.76,52.48,65.84,67.82,62.87,72.28,60.89
71.29,73.76,63.86,56.93,70.79,64.85,72.28,59.9
70.79,73.76,59.9,77.23,69.8,60.89,74.26,59.9
72.28,72.77,68.32,71.29,71.78,60.89,70.3,62.87
70.3,73.76,51.49,68.32,65.35,61.88,70.3,61.39
71.29,71.29,52.97,64.85,69.31,60.4,73.76,57.92
71.29,70.3,50.99,63.86,74.26,56.44,71.78,62.38
71.29,73.27,50.0,71.29,69.31,60.4,71.29,58.91
69.8,72.77,67.82,57.92,72.77,64.85,70.79,63.37
73.27,73.76,68.81,70.3,73.76,64.36,67.33,59.9
69.8,74.26,63.86,70.79,73.27,63.86,71.78,59.9
71.78,72.77,51.49,75.25,69.8,61.88,69.31,62.38
69.31,71.78,67.33,51.98,71.78,63.37,71.29,59.41
71.78,72.77,68.32,61.39,75.25,64.85,72.28,58.42
72.28,73.76,67.82,71.29,69.8,63.37,75.74,63.37
71.78,72.77,49.5,75.74,69.31,64.85,68.32,59.9
