MaxBag,ROSMaxBag,RUSMaxBag,SmoteMaxBag,VoteBag,ROSVoteBag,RUSVoteBag,SmoteVoteBag
84.77,86.09,70.86,75.5,56.95,68.87,74.83,77.48
33.11,92.72,73.51,64.24,54.97,69.54,72.85,93.38
93.38,94.04,72.85,63.58,82.12,66.23,73.51,66.23
84.77,79.47,70.2,94.7,80.79,67.55,72.85,95.36
86.09,84.77,72.19,81.46,58.94,68.87,75.5,78.81
86.09,78.15,94.7,62.91,81.46,66.23,74.83,76.82
92.05,80.13,69.54,63.58,57.62,67.55,74.17,72.85
84.77,85.43,68.21,62.91,81.46,64.9,74.17,65.56
92.05,93.38,68.87,86.09,53.64,66.23,74.83,85.43
86.09,81.46,66.89,80.79,74.83,71.52,76.16,76.82
92.05,75.5,67.55,74.17,58.94,64.9,74.83,66.89
85.43,82.12,75.5,64.24,75.5,68.21,76.82,64.24
86.09,93.38,70.2,63.58,56.29,67.55,78.15,65.56
29.8,86.09,67.55,95.36,56.95,67.55,72.85,66.89
82.78,87.42,70.2,62.25,57.62,74.17,76.16,79.47
85.43,79.47,71.52,62.25,80.13,65.56,75.5,68.21
36.42,81.46,73.51,65.56,53.64,64.24,75.5,73.51
83.44,94.7,75.5,62.91,52.98,65.56,73.51,95.36
85.43,43.71,70.2,62.91,55.63,64.24,74.83,78.15
84.11,84.11,73.51,68.87,52.32,67.55,74.17,63.58
94.7,92.72,70.86,78.15,55.63,66.89,74.17,64.24
94.04,80.79,70.86,64.24,54.97,68.21,77.48,94.04
81.46,78.15,66.89,68.21,75.5,68.21,72.85,66.23
82.78,92.05,66.89,64.24,82.12,67.55,71.52,77.48
85.43,93.38,66.23,61.59,54.97,69.54,75.5,78.81
90.73,85.43,68.87,77.48,55.63,67.55,74.17,77.48
92.72,84.11,72.85,63.58,54.3,66.23,77.48,77.48
39.74,93.38,71.52,78.15,54.97,66.23,74.83,95.36
84.77,92.72,66.23,77.48,54.3,66.89,75.5,74.17
93.38,93.38,75.5,82.12,83.44,68.87,76.82,78.15
84.77,78.81,66.23,92.05,54.97,66.89,77.48,65.56
83.44,93.38,71.52,64.9,52.98,77.48,72.85,74.83
30.46,93.38,72.85,63.58,52.98,75.5,72.85,67.55
91.39,79.47,73.51,63.58,81.46,67.55,76.82,67.55
84.11,77.48,68.21,63.58,54.97,68.87,75.5,79.47
92.72,93.38,66.89,60.26,56.95,67.55,75.5,77.48
86.75,94.04,68.87,60.26,57.62,64.24,72.85,59.6
94.04,83.44,71.52,64.9,73.51,80.13,76.16,74.17
84.11,92.72,73.51,77.48,58.94,65.56,76.16,66.23
83.44,94.04,93.38,78.15,82.12,68.21,76.16,78.81
35.76,84.77,71.52,63.58,56.29,71.52,75.5,73.51
39.07,83.44,72.85,60.93,54.97,69.54,75.5,66.89
84.77,93.38,71.52,65.56,82.78,66.23,74.17,64.9
83.44,94.04,68.87,62.25,54.97,66.23,73.51,94.7
36.42,40.4,70.86,76.16,58.28,65.56,72.19,94.7
84.11,86.09,72.19,75.5,56.95,68.21,76.16,64.24
85.43,94.7,73.51,63.58,80.79,72.19,74.83,80.13
38.41,94.04,74.83,62.25,53.64,67.55,74.83,62.91
