project, method, recall-1, precision-1, fMeasure-1, auc
MyAnt,MaxBag, 32.66, 85.6, 47.18,87.4
,ROSMaxBag, 44.23, 86.78, 58.56,90.46
,RUSMaxBag, 63.42, 68.72, 65.89,90.62
,SmoteMaxBag, 55.27, 72.51, 62.68,91.24
,VoteBag, 62.36, 78.18, 69.35,91.54
,ROSVoteBag, 74.57, 68.17, 71.21,91.87
,RUSVoteBag, 86.96, 63.43, 73.35,92.64
,SmoteVoteBag, 72.19, 70.87, 71.51,90.18

MyBuck,MaxBag, 23.04, 67.69, 34.33,87.36
,ROSMaxBag, 25.1, 83.0, 38.51,86.62
,RUSMaxBag, 61.22, 45.85, 52.39,87.67
,SmoteMaxBag, 41.05, 58.15, 48.09,88.49
,VoteBag, 39.38, 73.09, 51.15,86.25
,ROSVoteBag, 58.17, 56.1, 57.1,88.5
,RUSVoteBag, 81.58, 43.46, 56.7,89.59
,SmoteVoteBag, 48.3, 59.4, 53.24,83.59

MyFlink,MaxBag, 39.1, 79.52, 52.4,87.69
,ROSMaxBag, 41.88, 91.04, 57.36,87.67
,RUSMaxBag, 69.66, 52.75, 60.02,88.16
,SmoteMaxBag, 58.61, 70.24, 63.89,89.96
,VoteBag, 52.36, 83.25, 64.28,88.07
,ROSVoteBag, 67.29, 68.87, 68.06,89.9
,RUSVoteBag, 81.18, 52.12, 63.48,88.78
,SmoteVoteBag, 64.25, 70.11, 67.05,87.63

MyHadoop,MaxBag, 43.14, 75.83, 54.95,95.88
,ROSMaxBag, 48.93, 79.43, 60.53,95.18
,RUSMaxBag, 89.25, 52.47, 66.07,95.47
,SmoteMaxBag, 72.31, 70.04, 71.14,96.26
,VoteBag, 63.84, 77.88, 70.15,94.25
,ROSVoteBag, 82.81, 68.64, 75.06,95.68
,RUSVoteBag, 98.5, 46.01, 62.71,94.74
,SmoteVoteBag, 71.7, 70.33, 71.0,90.77

MyItextpdf,MaxBag, 19.42, 61.17, 29.43,84.98
,ROSMaxBag, 24.95, 77.57, 37.72,84.83
,RUSMaxBag, 58.17, 47.96, 52.54,86.05
,SmoteMaxBag, 43.46, 62.68, 51.29,87.06
,VoteBag, 45.7, 72.86, 56.14,85.44
,ROSVoteBag, 61.31, 59.77, 60.52,87.79
,RUSVoteBag, 79.53, 46.48, 58.66,88.35
,SmoteVoteBag, 57.32, 62.97, 60.0,85.06

MyJedit,MaxBag, 35.83, 91.42, 51.46,87.11
,ROSMaxBag, 56.3, 92.5, 69.98,90.05
,RUSMaxBag, 83.48, 88.62, 85.96,93.24
,SmoteMaxBag, 81.47, 90.91, 85.93,95.18
,VoteBag, 71.84, 87.64, 78.95,93.72
,ROSVoteBag, 87.02, 84.99, 85.98,94.88
,RUSVoteBag, 85.93, 73.5, 79.22,92.86
,SmoteVoteBag, 81.01, 85.58, 83.22,93.78

MyLucene,MaxBag, 24.59, 65.0, 35.57,81.58
,ROSMaxBag, 29.78, 78.89, 43.16,83.4
,RUSMaxBag, 57.46, 62.42, 59.78,84.9
,SmoteMaxBag, 47.04, 65.24, 54.62,84.86
,VoteBag, 52.34, 76.86, 62.25,86.27
,ROSVoteBag, 69.73, 66.79, 68.21,88.47
,RUSVoteBag, 80.21, 60.49, 68.95,89.14
,SmoteVoteBag, 62.81, 67.93, 65.24,85.18

MySynapse,MaxBag, 66.5, 97.23, 78.97,95.71
,ROSMaxBag, 70.43, 97.54, 81.79,95.94
,RUSMaxBag, 85.62, 94.6, 89.88,97.34
,SmoteMaxBag, 85.12, 94.84, 89.71,97.87
,VoteBag, 86.47, 92.5, 89.38,97.54
,ROSVoteBag, 91.54, 90.14, 90.83,97.88
,RUSVoteBag, 91.69, 86.91, 89.23,97.13
,SmoteVoteBag, 90.01, 89.82, 89.91,97.02

MyTomcat,MaxBag, 18.99, 72.23, 30.0,75.32
,ROSMaxBag, 25.54, 80.73, 38.72,76.08
,RUSMaxBag, 49.51, 56.46, 52.7,78.48
,SmoteMaxBag, 46.61, 64.79, 54.16,82.72
,VoteBag, 49.47, 71.28, 58.37,81.82
,ROSVoteBag, 63.21, 62.5, 62.84,82.86
,RUSVoteBag, 72.8, 58.98, 65.15,83.56
,SmoteVoteBag, 59.88, 67.7, 63.53,82.8

MyVoldemort,MaxBag, 34.91, 64.16, 45.15,81.22
,ROSMaxBag, 39.78, 66.49, 49.74,80.78
,RUSMaxBag, 71.76, 57.47, 63.8,84.02
,SmoteMaxBag, 64.26, 61.98, 63.08,84.06
,VoteBag, 55.52, 69.62, 61.75,83.03
,ROSVoteBag, 68.41, 61.03, 64.49,83.06
,RUSVoteBag, 76.12, 59.38, 66.7,83.9
,SmoteVoteBag, 65.8, 64.72, 65.24,80.9

