RUSBag,RUSMaxBag,RUSVoteBag
98.38,97.3,97.3
92.43,97.84,98.38
93.51,95.68,96.22
96.22,96.76,97.3
92.97,94.05,96.76
89.73,96.22,94.59
98.92,97.84,96.76
93.51,92.43,95.14
93.51,95.68,97.3
94.59,97.3,95.68
95.68,97.3,96.76
94.59,96.76,97.84
92.97,96.76,96.22
92.43,87.57,95.68
96.22,95.14,97.3
89.19,92.43,93.51
93.51,95.14,94.59
98.38,96.76,96.76
97.3,96.76,96.76
92.43,93.51,97.3
89.73,98.38,95.14
95.14,94.05,96.22
94.05,95.68,96.22
94.05,95.14,97.3
94.59,89.73,98.38
95.68,95.14,97.84
89.73,90.81,96.22
97.84,98.92,95.14
98.92,98.38,98.38
95.14,95.68,95.68
90.27,92.97,97.3
92.43,96.22,96.76
97.84,97.84,96.76
95.14,93.51,96.76
97.3,96.22,96.22
95.14,94.05,96.76
91.35,98.38,98.38
93.51,98.38,98.38
97.3,94.05,98.38
95.14,96.22,96.76
87.57,84.86,93.51
91.35,90.27,94.05
96.22,95.14,96.76
94.05,90.81,94.59
98.38,98.38,97.84
98.38,97.3,96.22
94.05,92.43,95.68
96.76,89.73,94.05
95.14,94.05,96.76
96.76,97.84,96.76
94.05,96.22,95.68
97.3,97.84,96.22
94.05,95.68,96.22
85.95,90.81,94.05
95.14,94.59,97.84
96.76,95.14,96.22
94.59,97.3,97.3
95.68,97.3,96.22
96.76,96.22,96.22
92.43,98.38,96.76
96.76,97.84,94.59
95.68,98.38,97.3
94.59,95.68,96.22
94.59,95.68,95.14
93.51,95.68,96.76
93.51,92.97,96.76
90.27,89.73,96.76
97.84,95.68,97.3
92.97,96.22,96.22
98.38,95.14,95.14
96.22,95.68,96.76
98.38,97.84,96.76
95.14,95.68,96.76
92.43,94.05,96.22
97.3,93.51,96.76
95.14,95.14,95.14
96.22,97.3,95.68
97.3,96.76,96.22
94.05,94.59,94.59
91.35,90.27,96.22
90.27,90.81,97.84
95.68,95.14,97.84
88.65,97.3,97.84
95.14,96.22,96.22
95.68,95.14,96.22
95.14,96.22,97.3
97.84,98.38,97.84
90.27,89.73,94.05
94.05,96.22,95.68
96.22,94.05,98.38
94.59,96.76,96.22
92.43,94.59,96.76
95.68,97.84,96.22
91.35,97.84,96.76
89.73,96.76,95.14
94.05,96.22,95.68
98.38,98.38,96.76
96.22,89.73,96.76
96.22,95.14,96.76
96.76,96.76,96.76

