RUSBag,RUSMaxBag,RUSVoteBag
98.35,98.35,97.94
99.59,99.18,98.35
98.77,98.35,98.35
97.94,97.94,97.53
99.59,99.18,97.94
99.18,99.18,98.77
98.77,98.77,97.94
98.77,98.77,97.53
99.59,99.18,98.77
97.94,98.35,97.53
99.18,99.18,99.18
98.35,97.94,97.94
99.18,98.77,98.77
99.18,99.18,97.94
98.35,98.77,97.94
98.35,98.35,97.12
99.18,98.77,97.94
99.18,99.18,98.35
98.35,97.94,97.94
98.77,98.77,98.77
98.77,98.35,97.53
98.35,98.35,97.94
97.94,97.94,97.12
98.77,98.35,98.35
99.18,98.35,97.94
98.77,99.18,98.77
98.35,98.35,97.94
99.18,98.77,98.77
99.18,99.18,98.77
99.18,99.18,98.35
98.77,97.94,98.35
99.59,98.77,98.77
98.77,98.35,97.94
97.94,97.94,97.53
98.77,98.77,97.94
98.35,97.94,98.35
98.35,98.35,97.12
99.59,98.77,97.12
98.77,98.35,98.35
97.94,97.94,97.94
99.18,99.18,98.77
98.77,98.77,98.35
98.35,98.77,97.94
99.18,99.18,98.77
99.18,98.77,97.53
98.77,98.77,98.35
99.18,98.77,97.94
98.35,98.35,97.94
98.77,98.35,98.35
97.94,97.53,97.94
98.35,97.53,97.53
99.18,98.35,97.94
98.77,98.77,98.35
99.18,99.18,98.77
98.77,99.18,97.94
98.35,98.35,97.53
98.77,97.53,97.12
98.35,98.77,97.53
98.77,97.94,98.35
97.94,98.35,97.53
99.59,99.18,97.53
99.18,99.18,98.35
99.18,97.94,98.35
99.18,98.35,99.18
99.18,98.77,98.77
97.94,97.94,97.94
99.59,99.59,98.77
99.18,99.18,98.35
98.35,97.94,97.53
98.77,98.35,97.94
98.77,98.35,98.35
98.35,99.18,97.94
99.59,98.35,97.94
98.77,99.18,98.35
98.77,98.77,97.12
98.77,98.35,98.35
99.18,98.35,98.35
97.94,98.77,97.94
99.18,98.77,98.77
98.77,98.35,98.35
98.35,97.53,97.94
97.94,97.94,97.53
97.94,98.35,97.94
97.94,98.35,97.94
98.77,98.77,97.53
98.77,98.35,97.94
99.59,99.18,99.18
98.35,97.94,98.35
99.18,99.18,98.35
98.77,98.77,97.53
98.77,98.35,97.94
98.35,97.94,97.94
99.18,99.18,98.77
97.94,97.53,97.53
99.59,98.77,98.35
98.77,99.18,97.12
98.35,98.35,98.35
99.18,98.77,97.94
99.18,98.77,98.35
98.35,98.35,97.12

