RUSBag,RUSMaxBag,RUSVoteBag
87.58,86.77,86.61
86.94,86.45,86.45
88.23,88.06,87.42
89.19,89.19,88.39
88.55,87.26,86.61
90.97,89.19,87.26
90.32,89.68,89.35
88.55,87.42,87.42
87.42,86.13,85.81
89.84,88.71,88.55
89.35,88.55,87.9
89.52,88.06,88.06
87.26,87.1,86.13
86.77,86.29,86.13
89.19,89.03,87.9
88.06,87.42,87.74
90.81,90.32,87.42
88.06,86.77,86.94
88.71,88.71,88.87
90.16,89.35,89.35
89.19,88.71,88.06
88.23,87.9,87.74
88.23,87.1,85.97
90.0,89.84,88.39
89.84,89.03,89.68
88.55,87.1,87.42
87.9,88.23,86.61
85.48,84.19,84.03
87.58,86.29,85.0
88.06,86.94,85.97
88.55,88.23,86.77
88.23,86.61,87.42
88.87,86.94,86.45
90.0,89.52,88.23
89.35,88.39,88.39
89.35,88.39,88.23
89.19,89.03,88.39
88.39,88.23,87.74
88.71,87.26,87.9
89.35,87.26,87.42
87.26,87.1,85.16
86.77,86.13,85.81
87.9,87.9,86.94
88.87,88.71,87.58
89.03,89.52,88.23
87.58,88.23,86.29
88.87,88.06,87.26
88.55,87.74,87.42
87.58,87.26,86.77
88.71,88.23,87.1
88.23,88.06,87.26
89.03,88.87,88.39
88.06,87.58,86.77
87.42,86.77,86.13
90.65,89.35,89.35
89.19,88.87,88.06
88.55,87.42,87.9
88.23,87.26,87.42
88.23,87.1,86.94
87.26,87.26,85.0
86.61,85.65,85.81
90.16,89.84,88.55
88.87,87.9,87.42
88.87,88.55,88.23
89.19,89.19,87.42
89.03,88.87,88.06
88.06,88.23,86.77
88.87,88.23,88.55
87.74,86.29,86.45
88.87,88.39,87.1
89.19,87.74,87.9
90.48,89.03,89.35
88.71,87.58,88.39
85.0,84.19,83.87
87.26,87.58,85.16
88.55,86.94,86.77
88.71,88.23,87.26
88.39,87.74,87.42
87.74,87.74,86.61
89.52,89.35,88.23
88.71,88.39,87.42
89.03,88.06,86.94
87.26,86.94,85.81
88.06,87.58,87.74
88.23,87.9,86.13
87.9,87.42,87.26
89.35,88.39,87.58
88.87,88.71,88.39
87.26,86.13,86.13
89.03,87.74,87.42
87.58,87.9,86.13
88.71,87.74,87.58
88.06,88.39,87.26
87.26,86.94,86.13
89.84,88.71,88.39
90.48,89.35,89.52
89.03,88.06,87.74
89.35,88.23,88.71
89.03,88.71,87.42
88.87,88.55,87.74

